Salt,Temperatures_K,Thermal_Conductivity_W_mK
0.5454LiF-0.3636NaF-0.091UF4,"923.000000,926.808081,930.616162,934.424242,938.232323,942.040404,945.848485,949.656566,953.464646,957.272727,961.080808,964.888889,968.696970,972.505051,976.313131,980.121212,983.929293,987.737374,991.545455,995.353535,999.161616,1002.969697,1006.777778,1010.585859,1014.393939,1018.202020,1022.010101,1025.818182,1029.626263,1033.434343,1037.242424,1041.050505,1044.858586,1048.666667,1052.474747,1056.282828,1060.090909,1063.898990,1067.707071,1071.515152,1075.323232,1079.131313,1082.939394,1086.747475,1090.555556,1094.363636,1098.171717,1101.979798,1105.787879,1109.595960,1113.404040,1117.212121,1121.020202,1124.828283,1128.636364,1132.444444,1136.252525,1140.060606,1143.868687,1147.676768,1151.484848,1155.292929,1159.101010,1162.909091,1166.717172,1170.525253,1174.333333,1178.141414,1181.949495,1185.757576,1189.565657,1193.373737,1197.181818,1200.989899,1204.797980,1208.606061,1212.414141,1216.222222,1220.030303,1223.838384,1227.646465,1231.454545,1235.262626,1239.070707,1242.878788,1246.686869,1250.494949,1254.303030,1258.111111,1261.919192,1265.727273,1269.535354,1273.343434,1277.151515,1280.959596,1284.767677,1288.575758,1292.383838,1296.191919,1300.000000","0.189745,0.189391,0.189036,0.188681,0.188327,0.187972,0.187617,0.187262,0.186908,0.186553,0.186198,0.185843,0.185488,0.185133,0.184777,0.184422,0.184067,0.183712,0.183356,0.183001,0.182646,0.182290,0.181935,0.181579,0.181223,0.180868,0.180512,0.180156,0.179800,0.179445,0.179089,0.178733,0.178377,0.178021,0.177664,0.177308,0.176952,0.176596,0.176239,0.175883,0.175527,0.175170,0.174814,0.174457,0.174100,0.173744,0.173387,0.173030,0.172673,0.172316,0.171960,0.171603,0.171245,0.170888,0.170531,0.170174,0.169817,0.169459,0.169102,0.168745,0.168387,0.168030,0.167672,0.167314,0.166957,0.166599,0.166241,0.165883,0.165525,0.165167,0.164809,0.164451,0.164093,0.163735,0.163376,0.163018,0.162660,0.162301,0.161943,0.161584,0.161226,0.160867,0.160508,0.160149,0.159790,0.159432,0.159073,0.158713,0.158354,0.157995,0.157636,0.157277,0.156917,0.156558,0.156199,0.155839,0.155479,0.155120,0.154760,0.154400"
0.6LiF-0.4NaF,"930.000000,932.727273,935.454545,938.181818,940.909091,943.636364,946.363636,949.090909,951.818182,954.545455,957.272727,960.000000,962.727273,965.454545,968.181818,970.909091,973.636364,976.363636,979.090909,981.818182,984.545455,987.272727,990.000000,992.727273,995.454545,998.181818,1000.909091,1003.636364,1006.363636,1009.090909,1011.818182,1014.545455,1017.272727,1020.000000,1022.727273,1025.454545,1028.181818,1030.909091,1033.636364,1036.363636,1039.090909,1041.818182,1044.545455,1047.272727,1050.000000,1052.727273,1055.454545,1058.181818,1060.909091,1063.636364,1066.363636,1069.090909,1071.818182,1074.545455,1077.272727,1080.000000,1082.727273,1085.454545,1088.181818,1090.909091,1093.636364,1096.363636,1099.090909,1101.818182,1104.545455,1107.272727,1110.000000,1112.727273,1115.454545,1118.181818,1120.909091,1123.636364,1126.363636,1129.090909,1131.818182,1134.545455,1137.272727,1140.000000,1142.727273,1145.454545,1148.181818,1150.909091,1153.636364,1156.363636,1159.090909,1161.818182,1164.545455,1167.272727,1170.000000,1172.727273,1175.454545,1178.181818,1180.909091,1183.636364,1186.363636,1189.090909,1191.818182,1194.545455,1197.272727,1200.000000","1.166301,1.165211,1.164120,1.163030,1.161939,1.160848,1.159758,1.158667,1.157577,1.156486,1.155395,1.154305,1.153214,1.152123,1.151033,1.149942,1.148852,1.147761,1.146670,1.145580,1.144489,1.143399,1.142308,1.141217,1.140127,1.139036,1.137945,1.136855,1.135764,1.134674,1.133583,1.132492,1.131402,1.130311,1.129220,1.128130,1.127039,1.125949,1.124858,1.123767,1.122677,1.121586,1.120495,1.119405,1.118314,1.117224,1.116133,1.115042,1.113952,1.112861,1.111770,1.110680,1.109589,1.108499,1.107408,1.106317,1.105227,1.104136,1.103045,1.101955,1.100864,1.099774,1.098683,1.097592,1.096502,1.095411,1.094320,1.093230,1.092139,1.091049,1.089958,1.088867,1.087777,1.086686,1.085595,1.084505,1.083414,1.082323,1.081233,1.080142,1.079052,1.077961,1.076870,1.075780,1.074689,1.073598,1.072508,1.071417,1.070326,1.069236,1.068145,1.067055,1.065964,1.064873,1.063783,1.062692,1.061601,1.060511,1.059420,1.058329"
0.5BeF2-0.5LiF,"654.000000,657.494949,660.989899,664.484848,667.979798,671.474747,674.969697,678.464646,681.959596,685.454545,688.949495,692.444444,695.939394,699.434343,702.929293,706.424242,709.919192,713.414141,716.909091,720.404040,723.898990,727.393939,730.888889,734.383838,737.878788,741.373737,744.868687,748.363636,751.858586,755.353535,758.848485,762.343434,765.838384,769.333333,772.828283,776.323232,779.818182,783.313131,786.808081,790.303030,793.797980,797.292929,800.787879,804.282828,807.777778,811.272727,814.767677,818.262626,821.757576,825.252525,828.747475,832.242424,835.737374,839.232323,842.727273,846.222222,849.717172,853.212121,856.707071,860.202020,863.696970,867.191919,870.686869,874.181818,877.676768,881.171717,884.666667,888.161616,891.656566,895.151515,898.646465,902.141414,905.636364,909.131313,912.626263,916.121212,919.616162,923.111111,926.606061,930.101010,933.595960,937.090909,940.585859,944.080808,947.575758,951.070707,954.565657,958.060606,961.555556,965.050505,968.545455,972.040404,975.535354,979.030303,982.525253,986.020202,989.515152,993.010101,996.505051,1000.000000","1.042736,1.042486,1.042236,1.041986,1.041736,1.041486,1.041236,1.040986,1.040736,1.040487,1.040237,1.039987,1.039737,1.039487,1.039237,1.038987,1.038737,1.038487,1.038237,1.037987,1.037737,1.037487,1.037237,1.036988,1.036738,1.036488,1.036238,1.035988,1.035738,1.035488,1.035238,1.034988,1.034738,1.034488,1.034238,1.033988,1.033738,1.033488,1.033239,1.032989,1.032739,1.032489,1.032239,1.031989,1.031739,1.031489,1.031239,1.030989,1.030739,1.030489,1.030239,1.029989,1.029740,1.029490,1.029240,1.028990,1.028740,1.028490,1.028240,1.027990,1.027740,1.027490,1.027240,1.026990,1.026740,1.026490,1.026240,1.025991,1.025741,1.025491,1.025241,1.024991,1.024741,1.024491,1.024241,1.023991,1.023741,1.023491,1.023241,1.022991,1.022741,1.022491,1.022242,1.021992,1.021742,1.021492,1.021242,1.020992,1.020742,1.020492,1.020242,1.019992,1.019742,1.019492,1.019242,1.018992,1.018743,1.018493,1.018243,1.017993"
0.34BeF2-0.66LiF,"713.150000,718.067677,722.985354,727.903030,732.820707,737.738384,742.656061,747.573737,752.491414,757.409091,762.326768,767.244444,772.162121,777.079798,781.997475,786.915152,791.832828,796.750505,801.668182,806.585859,811.503535,816.421212,821.338889,826.256566,831.174242,836.091919,841.009596,845.927273,850.844949,855.762626,860.680303,865.597980,870.515657,875.433333,880.351010,885.268687,890.186364,895.104040,900.021717,904.939394,909.857071,914.774747,919.692424,924.610101,929.527778,934.445455,939.363131,944.280808,949.198485,954.116162,959.033838,963.951515,968.869192,973.786869,978.704545,983.622222,988.539899,993.457576,998.375253,1003.292929,1008.210606,1013.128283,1018.045960,1022.963636,1027.881313,1032.798990,1037.716667,1042.634343,1047.552020,1052.469697,1057.387374,1062.305051,1067.222727,1072.140404,1077.058081,1081.975758,1086.893434,1091.811111,1096.728788,1101.646465,1106.564141,1111.481818,1116.399495,1121.317172,1126.234848,1131.152525,1136.070202,1140.987879,1145.905556,1150.823232,1155.740909,1160.658586,1165.576263,1170.493939,1175.411616,1180.329293,1185.246970,1190.164646,1195.082323,1200.000000","1.460408,1.459232,1.458057,1.456881,1.455705,1.454529,1.453354,1.452178,1.451002,1.449826,1.448650,1.447475,1.446299,1.445123,1.443947,1.442771,1.441595,1.440419,1.439243,1.438067,1.436891,1.435715,1.434539,1.433363,1.432187,1.431011,1.429835,1.428659,1.427483,1.426307,1.425131,1.423954,1.422778,1.421602,1.420426,1.419250,1.418073,1.416897,1.415721,1.414545,1.413368,1.412192,1.411016,1.409839,1.408663,1.407487,1.406310,1.405134,1.403957,1.402781,1.401604,1.400428,1.399252,1.398075,1.396898,1.395722,1.394545,1.393369,1.392192,1.391016,1.389839,1.388662,1.387486,1.386309,1.385132,1.383956,1.382779,1.381602,1.380425,1.379248,1.378072,1.376895,1.375718,1.374541,1.373364,1.372187,1.371010,1.369833,1.368657,1.367480,1.366303,1.365126,1.363949,1.362771,1.361594,1.360417,1.359240,1.358063,1.356886,1.355709,1.354532,1.353354,1.352177,1.351000,1.349823,1.348645,1.347468,1.346291,1.345114,1.343936"
0.5LiCl-0.5KCl,"738.000000,741.656566,745.313131,748.969697,752.626263,756.282828,759.939394,763.595960,767.252525,770.909091,774.565657,778.222222,781.878788,785.535354,789.191919,792.848485,796.505051,800.161616,803.818182,807.474747,811.131313,814.787879,818.444444,822.101010,825.757576,829.414141,833.070707,836.727273,840.383838,844.040404,847.696970,851.353535,855.010101,858.666667,862.323232,865.979798,869.636364,873.292929,876.949495,880.606061,884.262626,887.919192,891.575758,895.232323,898.888889,902.545455,906.202020,909.858586,913.515152,917.171717,920.828283,924.484848,928.141414,931.797980,935.454545,939.111111,942.767677,946.424242,950.080808,953.737374,957.393939,961.050505,964.707071,968.363636,972.020202,975.676768,979.333333,982.989899,986.646465,990.303030,993.959596,997.616162,1001.272727,1004.929293,1008.585859,1012.242424,1015.898990,1019.555556,1023.212121,1026.868687,1030.525253,1034.181818,1037.838384,1041.494949,1045.151515,1048.808081,1052.464646,1056.121212,1059.777778,1063.434343,1067.090909,1070.747475,1074.404040,1078.060606,1081.717172,1085.373737,1089.030303,1092.686869,1096.343434,1100.000000","0.460281,0.459587,0.458893,0.458199,0.457505,0.456811,0.456117,0.455423,0.454729,0.454035,0.453341,0.452647,0.451953,0.451259,0.450565,0.449871,0.449177,0.448483,0.447788,0.447094,0.446400,0.445706,0.445012,0.444318,0.443624,0.442930,0.442236,0.441542,0.440848,0.440154,0.439460,0.438766,0.438072,0.437378,0.436684,0.435990,0.435296,0.434602,0.433908,0.433214,0.432520,0.431826,0.431132,0.430438,0.429744,0.429050,0.428356,0.427662,0.426968,0.426274,0.425580,0.424886,0.424192,0.423498,0.422804,0.422110,0.421416,0.420722,0.420028,0.419334,0.418639,0.417945,0.417251,0.416557,0.415863,0.415169,0.414475,0.413781,0.413087,0.412393,0.411699,0.411005,0.410311,0.409617,0.408923,0.408229,0.407535,0.406841,0.406147,0.405453,0.404759,0.404065,0.403371,0.402677,0.401983,0.401289,0.400595,0.399901,0.399207,0.398513,0.397819,0.397125,0.396431,0.395737,0.395043,0.394349,0.393655,0.392961,0.392267,0.391573"
0.637LiCl-0.363KCl,"665.150000,669.542424,673.934848,678.327273,682.719697,687.112121,691.504545,695.896970,700.289394,704.681818,709.074242,713.466667,717.859091,722.251515,726.643939,731.036364,735.428788,739.821212,744.213636,748.606061,752.998485,757.390909,761.783333,766.175758,770.568182,774.960606,779.353030,783.745455,788.137879,792.530303,796.922727,801.315152,805.707576,810.100000,814.492424,818.884848,823.277273,827.669697,832.062121,836.454545,840.846970,845.239394,849.631818,854.024242,858.416667,862.809091,867.201515,871.593939,875.986364,880.378788,884.771212,889.163636,893.556061,897.948485,902.340909,906.733333,911.125758,915.518182,919.910606,924.303030,928.695455,933.087879,937.480303,941.872727,946.265152,950.657576,955.050000,959.442424,963.834848,968.227273,972.619697,977.012121,981.404545,985.796970,990.189394,994.581818,998.974242,1003.366667,1007.759091,1012.151515,1016.543939,1020.936364,1025.328788,1029.721212,1034.113636,1038.506061,1042.898485,1047.290909,1051.683333,1056.075758,1060.468182,1064.860606,1069.253030,1073.645455,1078.037879,1082.430303,1086.822727,1091.215152,1095.607576,1100.000000","0.510759,0.509906,0.509054,0.508201,0.507348,0.506496,0.505643,0.504790,0.503938,0.503085,0.502232,0.501379,0.500527,0.499674,0.498821,0.497969,0.497116,0.496263,0.495410,0.494558,0.493705,0.492852,0.492000,0.491147,0.490294,0.489441,0.488589,0.487736,0.486883,0.486030,0.485178,0.484325,0.483472,0.482619,0.481767,0.480914,0.480061,0.479208,0.478356,0.477503,0.476650,0.475797,0.474944,0.474092,0.473239,0.472386,0.471533,0.470680,0.469828,0.468975,0.468122,0.467269,0.466416,0.465564,0.464711,0.463858,0.463005,0.462152,0.461299,0.460447,0.459594,0.458741,0.457888,0.457035,0.456182,0.455329,0.454477,0.453624,0.452771,0.451918,0.451065,0.450212,0.449359,0.448506,0.447654,0.446801,0.445948,0.445095,0.444242,0.443389,0.442536,0.441683,0.440830,0.439977,0.439124,0.438272,0.437419,0.436566,0.435713,0.434860,0.434007,0.433154,0.432301,0.431448,0.430595,0.429742,0.428889,0.428036,0.427183,0.426330"
0.5NaCl-0.5KCl,"930.000000,932.727273,935.454545,938.181818,940.909091,943.636364,946.363636,949.090909,951.818182,954.545455,957.272727,960.000000,962.727273,965.454545,968.181818,970.909091,973.636364,976.363636,979.090909,981.818182,984.545455,987.272727,990.000000,992.727273,995.454545,998.181818,1000.909091,1003.636364,1006.363636,1009.090909,1011.818182,1014.545455,1017.272727,1020.000000,1022.727273,1025.454545,1028.181818,1030.909091,1033.636364,1036.363636,1039.090909,1041.818182,1044.545455,1047.272727,1050.000000,1052.727273,1055.454545,1058.181818,1060.909091,1063.636364,1066.363636,1069.090909,1071.818182,1074.545455,1077.272727,1080.000000,1082.727273,1085.454545,1088.181818,1090.909091,1093.636364,1096.363636,1099.090909,1101.818182,1104.545455,1107.272727,1110.000000,1112.727273,1115.454545,1118.181818,1120.909091,1123.636364,1126.363636,1129.090909,1131.818182,1134.545455,1137.272727,1140.000000,1142.727273,1145.454545,1148.181818,1150.909091,1153.636364,1156.363636,1159.090909,1161.818182,1164.545455,1167.272727,1170.000000,1172.727273,1175.454545,1178.181818,1180.909091,1183.636364,1186.363636,1189.090909,1191.818182,1194.545455,1197.272727,1200.000000","0.425310,0.424767,0.424225,0.423683,0.423140,0.422598,0.422056,0.421513,0.420971,0.420429,0.419887,0.419344,0.418802,0.418260,0.417717,0.417175,0.416633,0.416090,0.415548,0.415006,0.414464,0.413921,0.413379,0.412837,0.412294,0.411752,0.411210,0.410667,0.410125,0.409583,0.409041,0.408498,0.407956,0.407414,0.406871,0.406329,0.405787,0.405245,0.404702,0.404160,0.403618,0.403075,0.402533,0.401991,0.401448,0.400906,0.400364,0.399822,0.399279,0.398737,0.398195,0.397652,0.397110,0.396568,0.396025,0.395483,0.394941,0.394399,0.393856,0.393314,0.392772,0.392229,0.391687,0.391145,0.390602,0.390060,0.389518,0.388976,0.388433,0.387891,0.387349,0.386806,0.386264,0.385722,0.385180,0.384637,0.384095,0.383553,0.383010,0.382468,0.381926,0.381383,0.380841,0.380299,0.379757,0.379214,0.378672,0.378130,0.377587,0.377045,0.376503,0.375960,0.375418,0.374876,0.374334,0.373791,0.373249,0.372707,0.372164,0.371622"
0.3CaCl2-0.7LiCl,"771.150000,776.491919,781.833838,787.175758,792.517677,797.859596,803.201515,808.543434,813.885354,819.227273,824.569192,829.911111,835.253030,840.594949,845.936869,851.278788,856.620707,861.962626,867.304545,872.646465,877.988384,883.330303,888.672222,894.014141,899.356061,904.697980,910.039899,915.381818,920.723737,926.065657,931.407576,936.749495,942.091414,947.433333,952.775253,958.117172,963.459091,968.801010,974.142929,979.484848,984.826768,990.168687,995.510606,1000.852525,1006.194444,1011.536364,1016.878283,1022.220202,1027.562121,1032.904040,1038.245960,1043.587879,1048.929798,1054.271717,1059.613636,1064.955556,1070.297475,1075.639394,1080.981313,1086.323232,1091.665152,1097.007071,1102.348990,1107.690909,1113.032828,1118.374747,1123.716667,1129.058586,1134.400505,1139.742424,1145.084343,1150.426263,1155.768182,1161.110101,1166.452020,1171.793939,1177.135859,1182.477778,1187.819697,1193.161616,1198.503535,1203.845455,1209.187374,1214.529293,1219.871212,1225.213131,1230.555051,1235.896970,1241.238889,1246.580808,1251.922727,1257.264646,1262.606566,1267.948485,1273.290404,1278.632323,1283.974242,1289.316162,1294.658081,1300.000000","0.418725,0.418051,0.417377,0.416703,0.416029,0.415355,0.414680,0.414006,0.413332,0.412658,0.411984,0.411310,0.410636,0.409961,0.409287,0.408613,0.407939,0.407265,0.406591,0.405917,0.405242,0.404568,0.403894,0.403220,0.402546,0.401872,0.401198,0.400523,0.399849,0.399175,0.398501,0.397827,0.397153,0.396479,0.395804,0.395130,0.394456,0.393782,0.393108,0.392434,0.391760,0.391085,0.390411,0.389737,0.389063,0.388389,0.387715,0.387041,0.386366,0.385692,0.385018,0.384344,0.383670,0.382996,0.382322,0.381647,0.380973,0.380299,0.379625,0.378951,0.378277,0.377603,0.376928,0.376254,0.375580,0.374906,0.374232,0.373558,0.372883,0.372209,0.371535,0.370861,0.370187,0.369513,0.368839,0.368164,0.367490,0.366816,0.366142,0.365468,0.364794,0.364120,0.363445,0.362771,0.362097,0.361423,0.360749,0.360075,0.359401,0.358726,0.358052,0.357378,0.356704,0.356030,0.355356,0.354681,0.354007,0.353333,0.352659,0.351985"
0.5097CaCl2-0.4903NaCl,"779.150000,784.411111,789.672222,794.933333,800.194444,805.455556,810.716667,815.977778,821.238889,826.500000,831.761111,837.022222,842.283333,847.544444,852.805556,858.066667,863.327778,868.588889,873.850000,879.111111,884.372222,889.633333,894.894444,900.155556,905.416667,910.677778,915.938889,921.200000,926.461111,931.722222,936.983333,942.244444,947.505556,952.766667,958.027778,963.288889,968.550000,973.811111,979.072222,984.333333,989.594444,994.855556,1000.116667,1005.377778,1010.638889,1015.900000,1021.161111,1026.422222,1031.683333,1036.944444,1042.205556,1047.466667,1052.727778,1057.988889,1063.250000,1068.511111,1073.772222,1079.033333,1084.294444,1089.555556,1094.816667,1100.077778,1105.338889,1110.600000,1115.861111,1121.122222,1126.383333,1131.644444,1136.905556,1142.166667,1147.427778,1152.688889,1157.950000,1163.211111,1168.472222,1173.733333,1178.994444,1184.255556,1189.516667,1194.777778,1200.038889,1205.300000,1210.561111,1215.822222,1221.083333,1226.344444,1231.605556,1236.866667,1242.127778,1247.388889,1252.650000,1257.911111,1263.172222,1268.433333,1273.694444,1278.955556,1284.216667,1289.477778,1294.738889,1300.000000","0.416073,0.415423,0.414773,0.414123,0.413473,0.412823,0.412173,0.411523,0.410873,0.410223,0.409573,0.408923,0.408273,0.407623,0.406973,0.406323,0.405673,0.405023,0.404373,0.403724,0.403074,0.402424,0.401774,0.401124,0.400474,0.399824,0.399174,0.398524,0.397874,0.397224,0.396574,0.395924,0.395274,0.394624,0.393974,0.393324,0.392674,0.392024,0.391374,0.390725,0.390075,0.389425,0.388775,0.388125,0.387475,0.386825,0.386175,0.385525,0.384875,0.384225,0.383575,0.382925,0.382275,0.381625,0.380975,0.380325,0.379675,0.379025,0.378376,0.377726,0.377076,0.376426,0.375776,0.375126,0.374476,0.373826,0.373176,0.372526,0.371876,0.371226,0.370576,0.369926,0.369276,0.368626,0.367976,0.367326,0.366677,0.366027,0.365377,0.364727,0.364077,0.363427,0.362777,0.362127,0.361477,0.360827,0.360177,0.359527,0.358877,0.358227,0.357577,0.356927,0.356277,0.355627,0.354978,0.354328,0.353678,0.353028,0.352378,0.351728"
0.282CaCl2-0.718KCl,"921.150000,924.976768,928.803535,932.630303,936.457071,940.283838,944.110606,947.937374,951.764141,955.590909,959.417677,963.244444,967.071212,970.897980,974.724747,978.551515,982.378283,986.205051,990.031818,993.858586,997.685354,1001.512121,1005.338889,1009.165657,1012.992424,1016.819192,1020.645960,1024.472727,1028.299495,1032.126263,1035.953030,1039.779798,1043.606566,1047.433333,1051.260101,1055.086869,1058.913636,1062.740404,1066.567172,1070.393939,1074.220707,1078.047475,1081.874242,1085.701010,1089.527778,1093.354545,1097.181313,1101.008081,1104.834848,1108.661616,1112.488384,1116.315152,1120.141919,1123.968687,1127.795455,1131.622222,1135.448990,1139.275758,1143.102525,1146.929293,1150.756061,1154.582828,1158.409596,1162.236364,1166.063131,1169.889899,1173.716667,1177.543434,1181.370202,1185.196970,1189.023737,1192.850505,1196.677273,1200.504040,1204.330808,1208.157576,1211.984343,1215.811111,1219.637879,1223.464646,1227.291414,1231.118182,1234.944949,1238.771717,1242.598485,1246.425253,1250.252020,1254.078788,1257.905556,1261.732323,1265.559091,1269.385859,1273.212626,1277.039394,1280.866162,1284.692929,1288.519697,1292.346465,1296.173232,1300.000000","0.350713,0.350145,0.349578,0.349011,0.348443,0.347876,0.347309,0.346741,0.346174,0.345607,0.345039,0.344472,0.343905,0.343337,0.342770,0.342203,0.341635,0.341068,0.340501,0.339933,0.339366,0.338799,0.338231,0.337664,0.337097,0.336529,0.335962,0.335395,0.334827,0.334260,0.333693,0.333125,0.332558,0.331991,0.331423,0.330856,0.330289,0.329721,0.329154,0.328587,0.328020,0.327452,0.326885,0.326318,0.325750,0.325183,0.324616,0.324048,0.323481,0.322914,0.322346,0.321779,0.321212,0.320644,0.320077,0.319510,0.318943,0.318375,0.317808,0.317241,0.316673,0.316106,0.315539,0.314971,0.314404,0.313837,0.313270,0.312702,0.312135,0.311568,0.311000,0.310433,0.309866,0.309298,0.308731,0.308164,0.307597,0.307029,0.306462,0.305895,0.305327,0.304760,0.304193,0.303626,0.303058,0.302491,0.301924,0.301357,0.300789,0.300222,0.299655,0.299087,0.298520,0.297953,0.297386,0.296818,0.296251,0.295684,0.295117,0.294549"
