Composition,Method,Temperature_K,Thermal_Conductivity_W_mK
NaCl,Present Model,1073.8,0.4980038048129731
NaCl,Present Model,1077.0949494949496,0.4965857068777448
NaCl,Present Model,1080.389898989899,0.49516955540912616
NaCl,Present Model,1083.6848484848485,0.49375535040711716
NaCl,Present Model,1086.979797979798,0.49234309187171804
NaCl,Present Model,1090.2747474747475,0.49093277980292865
NaCl,Present Model,1093.569696969697,0.489524414200749
NaCl,Present Model,1096.8646464646465,0.48811799506517906
NaCl,Present Model,1100.159595959596,0.486713522396219
NaCl,Present Model,1103.4545454545455,0.4853109961938685
NaCl,Present Model,1106.7494949494949,0.483910416458128
NaCl,Present Model,1110.0444444444445,0.48251178318899685
NaCl,Present Model,1113.3393939393939,0.48111509638647587
NaCl,Present Model,1116.6343434343435,0.4797203560505644
NaCl,Present Model,1119.9292929292928,0.47832756218126293
NaCl,Present Model,1123.2242424242424,0.47693671477857097
NaCl,Present Model,1126.5191919191918,0.47554781384248873
NaCl,Present Model,1129.8141414141414,0.47416085937301633
NaCl,Present Model,1133.1090909090908,0.4727758513701537
NaCl,Present Model,1136.4040404040404,0.4713927898339008
NaCl,Present Model,1139.6989898989898,0.4700116747642576
NaCl,Present Model,1142.9939393939394,0.46863250616122415
NaCl,Present Model,1146.2888888888888,0.4672552840248005
NaCl,Present Model,1149.5838383838384,0.46588000835498666
NaCl,Present Model,1152.8787878787878,0.46450667915178245
NaCl,Present Model,1156.1737373737374,0.4631352964151879
NaCl,Present Model,1159.4686868686867,0.4617658601452033
NaCl,Present Model,1162.7636363636364,0.4603983703418284
NaCl,Present Model,1166.0585858585857,0.45903282700506326
NaCl,Present Model,1169.3535353535353,0.45766923013490785
NaCl,Present Model,1172.6484848484847,0.4563075797313622
NaCl,Present Model,1175.9434343434343,0.4549478757944261
NaCl,Present Model,1179.238383838384,0.4535901183240998
NaCl,Present Model,1182.5333333333333,0.45223430732038356
NaCl,Present Model,1185.8282828282827,0.4508804427832769
NaCl,Present Model,1189.1232323232323,0.4495285247127799
NaCl,Present Model,1192.418181818182,0.4481785531088926
NaCl,Present Model,1195.7131313131313,0.4468305279716153
NaCl,Present Model,1199.0080808080809,0.4454844493009475
NaCl,Present Model,1202.3030303030303,0.44414031709688967
NaCl,Present Model,1205.5979797979799,0.44279813135944135
NaCl,Present Model,1208.8929292929292,0.4414578920886029
NaCl,Present Model,1212.1878787878788,0.4401195992843742
NaCl,Present Model,1215.4828282828282,0.4387832529467552
NaCl,Present Model,1218.7777777777778,0.437448853075746
NaCl,Present Model,1222.0727272727272,0.4361163996713466
NaCl,Present Model,1225.3676767676768,0.43478589273355683
NaCl,Present Model,1228.6626262626262,0.4334573322623769
NaCl,Present Model,1231.9575757575758,0.4321307182578066
NaCl,Present Model,1235.2525252525252,0.4308060507198461
NaCl,Present Model,1238.5474747474748,0.4294833296484955
NaCl,Present Model,1241.8424242424242,0.4281625550437546
NaCl,Present Model,1245.1373737373738,0.42684372690562317
NaCl,Present Model,1248.4323232323231,0.4255268452341018
NaCl,Present Model,1251.7272727272727,0.42421191002919
NaCl,Present Model,1255.0222222222221,0.42289892129088813
NaCl,Present Model,1258.3171717171717,0.4215878790191957
NaCl,Present Model,1261.612121212121,0.42027878321411344
NaCl,Present Model,1264.9070707070707,0.4189716338756406
NaCl,Present Model,1268.20202020202,0.4176664310037777
NaCl,Present Model,1271.4969696969697,0.4163631745985243
NaCl,Present Model,1274.791919191919,0.41506186465988093
NaCl,Present Model,1278.0868686868687,0.41376250118784724
NaCl,Present Model,1281.3818181818183,0.4124650841824231
NaCl,Present Model,1284.6767676767677,0.4111696136436089
NaCl,Present Model,1287.971717171717,0.40987608957140437
NaCl,Present Model,1291.2666666666667,0.40858451196580964
NaCl,Present Model,1294.5616161616163,0.40729488082682463
NaCl,Present Model,1297.8565656565656,0.4060071961544493
NaCl,Present Model,1301.1515151515152,0.40472145794868375
NaCl,Present Model,1304.4464646464646,0.4034376662095281
NaCl,Present Model,1307.7414141414142,0.40215582093698204
NaCl,Present Model,1311.0363636363636,0.4008759221310457
NaCl,Present Model,1314.3313131313132,0.3995979697917192
NaCl,Present Model,1317.6262626262626,0.3983219639190025
NaCl,Present Model,1320.9212121212122,0.39704790451289557
NaCl,Present Model,1324.2161616161616,0.39577579157339815
NaCl,Present Model,1327.5111111111112,0.3945056251005106
NaCl,Present Model,1330.8060606060606,0.39323740509423294
NaCl,Present Model,1334.1010101010102,0.39197113155456503
NaCl,Present Model,1337.3959595959595,0.3907068044815066
NaCl,Present Model,1340.6909090909091,0.38944442387505807
NaCl,Present Model,1343.9858585858585,0.38818398973521934
NaCl,Present Model,1347.2808080808081,0.3869255020619903
NaCl,Present Model,1350.5757575757575,0.38566896085537095
NaCl,Present Model,1353.870707070707,0.3844143661153614
NaCl,Present Model,1357.1656565656565,0.3831617178419617
NaCl,Present Model,1360.460606060606,0.38191101603517164
NaCl,Present Model,1363.7555555555555,0.3806622606949913
NaCl,Present Model,1367.050505050505,0.3794154518214207
NaCl,Present Model,1370.3454545454547,0.37817058941445986
NaCl,Present Model,1373.640404040404,0.37692767347410894
NaCl,Present Model,1376.9353535353534,0.3756867040003676
NaCl,Present Model,1380.230303030303,0.37444768099323605
NaCl,Present Model,1383.5252525252527,0.37321060445271426
NaCl,Present Model,1386.820202020202,0.37197547437880213
NaCl,Present Model,1390.1151515151514,0.3707422907715
NaCl,Present Model,1393.410101010101,0.36951105363080733
NaCl,Present Model,1396.7050505050506,0.3682817629567245
NaCl,Present Model,1400.0,0.3670544187492515
