Salt,Temperatures_K,Thermal_Conductivity_W_mK
0.5454LiF-0.3636NaF-0.091UF4,"923.000000,926.808081,930.616162,934.424242,938.232323,942.040404,945.848485,949.656566,953.464646,957.272727,961.080808,964.888889,968.696970,972.505051,976.313131,980.121212,983.929293,987.737374,991.545455,995.353535,999.161616,1002.969697,1006.777778,1010.585859,1014.393939,1018.202020,1022.010101,1025.818182,1029.626263,1033.434343,1037.242424,1041.050505,1044.858586,1048.666667,1052.474747,1056.282828,1060.090909,1063.898990,1067.707071,1071.515152,1075.323232,1079.131313,1082.939394,1086.747475,1090.555556,1094.363636,1098.171717,1101.979798,1105.787879,1109.595960,1113.404040,1117.212121,1121.020202,1124.828283,1128.636364,1132.444444,1136.252525,1140.060606,1143.868687,1147.676768,1151.484848,1155.292929,1159.101010,1162.909091,1166.717172,1170.525253,1174.333333,1178.141414,1181.949495,1185.757576,1189.565657,1193.373737,1197.181818,1200.989899,1204.797980,1208.606061,1212.414141,1216.222222,1220.030303,1223.838384,1227.646465,1231.454545,1235.262626,1239.070707,1242.878788,1246.686869,1250.494949,1254.303030,1258.111111,1261.919192,1265.727273,1269.535354,1273.343434,1277.151515,1280.959596,1284.767677,1288.575758,1292.383838,1296.191919,1300.000000","0.580835,0.579745,0.578655,0.577565,0.576474,0.575382,0.574290,0.573197,0.572104,0.571010,0.569915,0.568820,0.567725,0.566629,0.565532,0.564435,0.563337,0.562239,0.561140,0.560041,0.558941,0.557841,0.556741,0.555639,0.554538,0.553435,0.552333,0.551230,0.550126,0.549022,0.547917,0.546812,0.545707,0.544601,0.543494,0.542387,0.541280,0.540172,0.539064,0.537955,0.536846,0.535736,0.534626,0.533516,0.532405,0.531294,0.530182,0.529070,0.527958,0.526845,0.525732,0.524618,0.523504,0.522390,0.521275,0.520160,0.519044,0.517928,0.516812,0.515696,0.514579,0.513462,0.512344,0.511226,0.510108,0.508989,0.507870,0.506751,0.505631,0.504512,0.503391,0.502271,0.501150,0.500029,0.498908,0.497786,0.496664,0.495542,0.494420,0.493297,0.492174,0.491051,0.489927,0.488804,0.487680,0.486556,0.485431,0.484307,0.483182,0.482057,0.480932,0.479806,0.478681,0.477555,0.476429,0.475303,0.474177,0.473050,0.471923,0.470797"
0.6LiF-0.4NaF,"930.000000,932.727273,935.454545,938.181818,940.909091,943.636364,946.363636,949.090909,951.818182,954.545455,957.272727,960.000000,962.727273,965.454545,968.181818,970.909091,973.636364,976.363636,979.090909,981.818182,984.545455,987.272727,990.000000,992.727273,995.454545,998.181818,1000.909091,1003.636364,1006.363636,1009.090909,1011.818182,1014.545455,1017.272727,1020.000000,1022.727273,1025.454545,1028.181818,1030.909091,1033.636364,1036.363636,1039.090909,1041.818182,1044.545455,1047.272727,1050.000000,1052.727273,1055.454545,1058.181818,1060.909091,1063.636364,1066.363636,1069.090909,1071.818182,1074.545455,1077.272727,1080.000000,1082.727273,1085.454545,1088.181818,1090.909091,1093.636364,1096.363636,1099.090909,1101.818182,1104.545455,1107.272727,1110.000000,1112.727273,1115.454545,1118.181818,1120.909091,1123.636364,1126.363636,1129.090909,1131.818182,1134.545455,1137.272727,1140.000000,1142.727273,1145.454545,1148.181818,1150.909091,1153.636364,1156.363636,1159.090909,1161.818182,1164.545455,1167.272727,1170.000000,1172.727273,1175.454545,1178.181818,1180.909091,1183.636364,1186.363636,1189.090909,1191.818182,1194.545455,1197.272727,1200.000000","0.748870,0.747667,0.746466,0.745266,0.744067,0.742868,0.741671,0.740474,0.739279,0.738084,0.736891,0.735698,0.734506,0.733316,0.732126,0.730937,0.729749,0.728563,0.727377,0.726192,0.725008,0.723825,0.722643,0.721462,0.720282,0.719103,0.717924,0.716747,0.715571,0.714396,0.713221,0.712048,0.710876,0.709704,0.708534,0.707364,0.706196,0.705028,0.703861,0.702696,0.701531,0.700367,0.699204,0.698043,0.696882,0.695722,0.694563,0.693405,0.692248,0.691092,0.689937,0.688783,0.687629,0.686477,0.685326,0.684176,0.683026,0.681878,0.680731,0.679584,0.678439,0.677294,0.676151,0.675008,0.673866,0.672726,0.671586,0.670447,0.669309,0.668173,0.667037,0.665902,0.664768,0.663635,0.662503,0.661372,0.660242,0.659113,0.657985,0.656857,0.655731,0.654606,0.653482,0.652358,0.651236,0.650114,0.648994,0.647874,0.646756,0.645638,0.644522,0.643406,0.642291,0.641178,0.640065,0.638953,0.637842,0.636732,0.635623,0.634515"
0.5BeF2-0.5LiF,"654.000000,657.494949,660.989899,664.484848,667.979798,671.474747,674.969697,678.464646,681.959596,685.454545,688.949495,692.444444,695.939394,699.434343,702.929293,706.424242,709.919192,713.414141,716.909091,720.404040,723.898990,727.393939,730.888889,734.383838,737.878788,741.373737,744.868687,748.363636,751.858586,755.353535,758.848485,762.343434,765.838384,769.333333,772.828283,776.323232,779.818182,783.313131,786.808081,790.303030,793.797980,797.292929,800.787879,804.282828,807.777778,811.272727,814.767677,818.262626,821.757576,825.252525,828.747475,832.242424,835.737374,839.232323,842.727273,846.222222,849.717172,853.212121,856.707071,860.202020,863.696970,867.191919,870.686869,874.181818,877.676768,881.171717,884.666667,888.161616,891.656566,895.151515,898.646465,902.141414,905.636364,909.131313,912.626263,916.121212,919.616162,923.111111,926.606061,930.101010,933.595960,937.090909,940.585859,944.080808,947.575758,951.070707,954.565657,958.060606,961.555556,965.050505,968.545455,972.040404,975.535354,979.030303,982.525253,986.020202,989.515152,993.010101,996.505051,1000.000000","0.764980,0.764234,0.763487,0.762739,0.761990,0.761240,0.760488,0.759735,0.758981,0.758226,0.757470,0.756712,0.755954,0.755194,0.754433,0.753671,0.752907,0.752142,0.751376,0.750609,0.749841,0.749071,0.748301,0.747529,0.746755,0.745981,0.745205,0.744428,0.743650,0.742870,0.742090,0.741308,0.740524,0.739740,0.738954,0.738167,0.737379,0.736589,0.735798,0.735006,0.734212,0.733418,0.732622,0.731824,0.731025,0.730225,0.729424,0.728622,0.727818,0.727012,0.726206,0.725398,0.724589,0.723778,0.722966,0.722153,0.721338,0.720522,0.719705,0.718886,0.718066,0.717245,0.716422,0.715598,0.714772,0.713945,0.713117,0.712287,0.711456,0.710624,0.709790,0.708955,0.708118,0.707280,0.706441,0.705600,0.704758,0.703914,0.703069,0.702222,0.701374,0.700525,0.699674,0.698822,0.697968,0.697113,0.696256,0.695398,0.694539,0.693678,0.692816,0.691952,0.691087,0.690220,0.689351,0.688482,0.687611,0.686738,0.685864,0.684988"
0.34BeF2-0.66LiF,"713.150000,718.067677,722.985354,727.903030,732.820707,737.738384,742.656061,747.573737,752.491414,757.409091,762.326768,767.244444,772.162121,777.079798,781.997475,786.915152,791.832828,796.750505,801.668182,806.585859,811.503535,816.421212,821.338889,826.256566,831.174242,836.091919,841.009596,845.927273,850.844949,855.762626,860.680303,865.597980,870.515657,875.433333,880.351010,885.268687,890.186364,895.104040,900.021717,904.939394,909.857071,914.774747,919.692424,924.610101,929.527778,934.445455,939.363131,944.280808,949.198485,954.116162,959.033838,963.951515,968.869192,973.786869,978.704545,983.622222,988.539899,993.457576,998.375253,1003.292929,1008.210606,1013.128283,1018.045960,1022.963636,1027.881313,1032.798990,1037.716667,1042.634343,1047.552020,1052.469697,1057.387374,1062.305051,1067.222727,1072.140404,1077.058081,1081.975758,1086.893434,1091.811111,1096.728788,1101.646465,1106.564141,1111.481818,1116.399495,1121.317172,1126.234848,1131.152525,1136.070202,1140.987879,1145.905556,1150.823232,1155.740909,1160.658586,1165.576263,1170.493939,1175.411616,1180.329293,1185.246970,1190.164646,1195.082323,1200.000000","1.208639,1.205356,1.202077,1.198803,1.195533,1.192267,1.189006,1.185749,1.182497,1.179249,1.176005,1.172766,1.169531,1.166300,1.163074,1.159852,1.156635,1.153422,1.150213,1.147009,1.143809,1.140613,1.137422,1.134235,1.131053,1.127875,1.124701,1.121531,1.118366,1.115206,1.112050,1.108898,1.105750,1.102607,1.099468,1.096334,1.093204,1.090078,1.086957,1.083840,1.080728,1.077620,1.074516,1.071417,1.068322,1.065231,1.062145,1.059063,1.055985,1.052912,1.049843,1.046779,1.043719,1.040663,1.037612,1.034565,1.031522,1.028484,1.025451,1.022421,1.019396,1.016375,1.013359,1.010347,1.007340,1.004336,1.001338,0.998343,0.995353,0.992367,0.989386,0.986409,0.983437,0.980468,0.977504,0.974545,0.971590,0.968639,0.965693,0.962751,0.959813,0.956880,0.953951,0.951027,0.948107,0.945191,0.942280,0.939373,0.936470,0.933572,0.930678,0.927788,0.924903,0.922022,0.919146,0.916274,0.913406,0.910543,0.907684,0.904830"
0.5LiCl-0.5KCl,"738.000000,741.656566,745.313131,748.969697,752.626263,756.282828,759.939394,763.595960,767.252525,770.909091,774.565657,778.222222,781.878788,785.535354,789.191919,792.848485,796.505051,800.161616,803.818182,807.474747,811.131313,814.787879,818.444444,822.101010,825.757576,829.414141,833.070707,836.727273,840.383838,844.040404,847.696970,851.353535,855.010101,858.666667,862.323232,865.979798,869.636364,873.292929,876.949495,880.606061,884.262626,887.919192,891.575758,895.232323,898.888889,902.545455,906.202020,909.858586,913.515152,917.171717,920.828283,924.484848,928.141414,931.797980,935.454545,939.111111,942.767677,946.424242,950.080808,953.737374,957.393939,961.050505,964.707071,968.363636,972.020202,975.676768,979.333333,982.989899,986.646465,990.303030,993.959596,997.616162,1001.272727,1004.929293,1008.585859,1012.242424,1015.898990,1019.555556,1023.212121,1026.868687,1030.525253,1034.181818,1037.838384,1041.494949,1045.151515,1048.808081,1052.464646,1056.121212,1059.777778,1063.434343,1067.090909,1070.747475,1074.404040,1078.060606,1081.717172,1085.373737,1089.030303,1092.686869,1096.343434,1100.000000","0.359051,0.358052,0.357054,0.356058,0.355063,0.354069,0.353077,0.352085,0.351096,0.350107,0.349120,0.348134,0.347149,0.346166,0.345184,0.344204,0.343224,0.342247,0.341270,0.340295,0.339321,0.338348,0.337376,0.336406,0.335438,0.334470,0.333504,0.332539,0.331576,0.330614,0.329653,0.328693,0.327735,0.326778,0.325823,0.324869,0.323916,0.322964,0.322014,0.321065,0.320117,0.319171,0.318226,0.317282,0.316340,0.315399,0.314459,0.313521,0.312584,0.311648,0.310713,0.309780,0.308848,0.307918,0.306989,0.306061,0.305134,0.304209,0.303285,0.302362,0.301441,0.300521,0.299603,0.298685,0.297769,0.296855,0.295941,0.295029,0.294118,0.293209,0.292301,0.291394,0.290489,0.289585,0.288682,0.287780,0.286880,0.285981,0.285084,0.284188,0.283293,0.282399,0.281507,0.280616,0.279726,0.278838,0.277951,0.277065,0.276181,0.275298,0.274416,0.273536,0.272657,0.271779,0.270902,0.270027,0.269154,0.268281,0.267410,0.266540"
0.637LiCl-0.363KCl,"665.150000,669.542424,673.934848,678.327273,682.719697,687.112121,691.504545,695.896970,700.289394,704.681818,709.074242,713.466667,717.859091,722.251515,726.643939,731.036364,735.428788,739.821212,744.213636,748.606061,752.998485,757.390909,761.783333,766.175758,770.568182,774.960606,779.353030,783.745455,788.137879,792.530303,796.922727,801.315152,805.707576,810.100000,814.492424,818.884848,823.277273,827.669697,832.062121,836.454545,840.846970,845.239394,849.631818,854.024242,858.416667,862.809091,867.201515,871.593939,875.986364,880.378788,884.771212,889.163636,893.556061,897.948485,902.340909,906.733333,911.125758,915.518182,919.910606,924.303030,928.695455,933.087879,937.480303,941.872727,946.265152,950.657576,955.050000,959.442424,963.834848,968.227273,972.619697,977.012121,981.404545,985.796970,990.189394,994.581818,998.974242,1003.366667,1007.759091,1012.151515,1016.543939,1020.936364,1025.328788,1029.721212,1034.113636,1038.506061,1042.898485,1047.290909,1051.683333,1056.075758,1060.468182,1064.860606,1069.253030,1073.645455,1078.037879,1082.430303,1086.822727,1091.215152,1095.607576,1100.000000","0.444706,0.443280,0.441857,0.440436,0.439016,0.437600,0.436185,0.434772,0.433362,0.431953,0.430547,0.429143,0.427742,0.426342,0.424945,0.423549,0.422156,0.420766,0.419377,0.417990,0.416606,0.415224,0.413844,0.412466,0.411090,0.409716,0.408345,0.406976,0.405609,0.404244,0.402881,0.401521,0.400162,0.398806,0.397452,0.396100,0.394751,0.393403,0.392058,0.390715,0.389374,0.388035,0.386698,0.385364,0.384031,0.382701,0.381373,0.380047,0.378724,0.377402,0.376083,0.374766,0.373451,0.372138,0.370827,0.369519,0.368213,0.366909,0.365607,0.364307,0.363009,0.361714,0.360420,0.359129,0.357840,0.356554,0.355269,0.353987,0.352706,0.351428,0.350152,0.348879,0.347607,0.346338,0.345070,0.343805,0.342542,0.341282,0.340023,0.338767,0.337512,0.336260,0.335010,0.333763,0.332517,0.331274,0.330033,0.328794,0.327557,0.326322,0.325089,0.323859,0.322631,0.321405,0.320181,0.318959,0.317740,0.316522,0.315307,0.314094"
0.5NaCl-0.5KCl,"930.000000,932.727273,935.454545,938.181818,940.909091,943.636364,946.363636,949.090909,951.818182,954.545455,957.272727,960.000000,962.727273,965.454545,968.181818,970.909091,973.636364,976.363636,979.090909,981.818182,984.545455,987.272727,990.000000,992.727273,995.454545,998.181818,1000.909091,1003.636364,1006.363636,1009.090909,1011.818182,1014.545455,1017.272727,1020.000000,1022.727273,1025.454545,1028.181818,1030.909091,1033.636364,1036.363636,1039.090909,1041.818182,1044.545455,1047.272727,1050.000000,1052.727273,1055.454545,1058.181818,1060.909091,1063.636364,1066.363636,1069.090909,1071.818182,1074.545455,1077.272727,1080.000000,1082.727273,1085.454545,1088.181818,1090.909091,1093.636364,1096.363636,1099.090909,1101.818182,1104.545455,1107.272727,1110.000000,1112.727273,1115.454545,1118.181818,1120.909091,1123.636364,1126.363636,1129.090909,1131.818182,1134.545455,1137.272727,1140.000000,1142.727273,1145.454545,1148.181818,1150.909091,1153.636364,1156.363636,1159.090909,1161.818182,1164.545455,1167.272727,1170.000000,1172.727273,1175.454545,1178.181818,1180.909091,1183.636364,1186.363636,1189.090909,1191.818182,1194.545455,1197.272727,1200.000000","0.298711,0.298016,0.297322,0.296629,0.295937,0.295245,0.294555,0.293865,0.293175,0.292487,0.291799,0.291112,0.290426,0.289741,0.289057,0.288373,0.287690,0.287008,0.286326,0.285646,0.284966,0.284287,0.283609,0.282931,0.282255,0.281579,0.280904,0.280229,0.279556,0.278883,0.278211,0.277540,0.276870,0.276200,0.275531,0.274863,0.274196,0.273529,0.272864,0.272199,0.271534,0.270871,0.270209,0.269547,0.268886,0.268226,0.267566,0.266907,0.266250,0.265593,0.264936,0.264281,0.263626,0.262972,0.262319,0.261666,0.261015,0.260364,0.259714,0.259065,0.258416,0.257769,0.257122,0.256476,0.255830,0.255186,0.254542,0.253899,0.253257,0.252615,0.251975,0.251335,0.250696,0.250057,0.249420,0.248783,0.248147,0.247512,0.246878,0.246244,0.245611,0.244979,0.244348,0.243718,0.243088,0.242459,0.241831,0.241204,0.240577,0.239951,0.239326,0.238702,0.238079,0.237456,0.236834,0.236213,0.235593,0.234973,0.234355,0.233737"
0.3CaCl2-0.7LiCl,"771.150000,776.491919,781.833838,787.175758,792.517677,797.859596,803.201515,808.543434,813.885354,819.227273,824.569192,829.911111,835.253030,840.594949,845.936869,851.278788,856.620707,861.962626,867.304545,872.646465,877.988384,883.330303,888.672222,894.014141,899.356061,904.697980,910.039899,915.381818,920.723737,926.065657,931.407576,936.749495,942.091414,947.433333,952.775253,958.117172,963.459091,968.801010,974.142929,979.484848,984.826768,990.168687,995.510606,1000.852525,1006.194444,1011.536364,1016.878283,1022.220202,1027.562121,1032.904040,1038.245960,1043.587879,1048.929798,1054.271717,1059.613636,1064.955556,1070.297475,1075.639394,1080.981313,1086.323232,1091.665152,1097.007071,1102.348990,1107.690909,1113.032828,1118.374747,1123.716667,1129.058586,1134.400505,1139.742424,1145.084343,1150.426263,1155.768182,1161.110101,1166.452020,1171.793939,1177.135859,1182.477778,1187.819697,1193.161616,1198.503535,1203.845455,1209.187374,1214.529293,1219.871212,1225.213131,1230.555051,1235.896970,1241.238889,1246.580808,1251.922727,1257.264646,1262.606566,1267.948485,1273.290404,1278.632323,1283.974242,1289.316162,1294.658081,1300.000000","0.432129,0.431003,0.429877,0.428751,0.427624,0.426497,0.425370,0.424243,0.423115,0.421987,0.420858,0.419729,0.418600,0.417471,0.416342,0.415212,0.414082,0.412951,0.411821,0.410690,0.409559,0.408428,0.407296,0.406164,0.405032,0.403900,0.402767,0.401635,0.400502,0.399369,0.398235,0.397102,0.395968,0.394834,0.393700,0.392566,0.391432,0.390297,0.389162,0.388027,0.386892,0.385757,0.384622,0.383486,0.382351,0.381215,0.380079,0.378944,0.377808,0.376671,0.375535,0.374399,0.373263,0.372126,0.370990,0.369853,0.368716,0.367580,0.366443,0.365306,0.364169,0.363033,0.361896,0.360759,0.359622,0.358485,0.357348,0.356212,0.355075,0.353938,0.352801,0.351664,0.350528,0.349391,0.348255,0.347118,0.345982,0.344845,0.343709,0.342573,0.341437,0.340301,0.339165,0.338029,0.336894,0.335758,0.334623,0.333488,0.332353,0.331218,0.330083,0.328949,0.327815,0.326681,0.325547,0.324413,0.323280,0.322147,0.321014,0.319881"
0.5097CaCl2-0.4903NaCl,"779.150000,784.411111,789.672222,794.933333,800.194444,805.455556,810.716667,815.977778,821.238889,826.500000,831.761111,837.022222,842.283333,847.544444,852.805556,858.066667,863.327778,868.588889,873.850000,879.111111,884.372222,889.633333,894.894444,900.155556,905.416667,910.677778,915.938889,921.200000,926.461111,931.722222,936.983333,942.244444,947.505556,952.766667,958.027778,963.288889,968.550000,973.811111,979.072222,984.333333,989.594444,994.855556,1000.116667,1005.377778,1010.638889,1015.900000,1021.161111,1026.422222,1031.683333,1036.944444,1042.205556,1047.466667,1052.727778,1057.988889,1063.250000,1068.511111,1073.772222,1079.033333,1084.294444,1089.555556,1094.816667,1100.077778,1105.338889,1110.600000,1115.861111,1121.122222,1126.383333,1131.644444,1136.905556,1142.166667,1147.427778,1152.688889,1157.950000,1163.211111,1168.472222,1173.733333,1178.994444,1184.255556,1189.516667,1194.777778,1200.038889,1205.300000,1210.561111,1215.822222,1221.083333,1226.344444,1231.605556,1236.866667,1242.127778,1247.388889,1252.650000,1257.911111,1263.172222,1268.433333,1273.694444,1278.955556,1284.216667,1289.477778,1294.738889,1300.000000","0.434086,0.433125,0.432163,0.431200,0.430235,0.429268,0.428300,0.427331,0.426360,0.425388,0.424414,0.423439,0.422462,0.421484,0.420504,0.419523,0.418541,0.417556,0.416571,0.415584,0.414595,0.413605,0.412614,0.411620,0.410626,0.409630,0.408632,0.407633,0.406633,0.405631,0.404627,0.403622,0.402616,0.401608,0.400598,0.399587,0.398574,0.397560,0.396545,0.395528,0.394509,0.393489,0.392467,0.391444,0.390420,0.389394,0.388366,0.387337,0.386307,0.385274,0.384241,0.383206,0.382169,0.381131,0.380092,0.379051,0.378008,0.376964,0.375919,0.374872,0.373823,0.372773,0.371722,0.370669,0.369614,0.368558,0.367501,0.366442,0.365382,0.364320,0.363257,0.362192,0.361126,0.360059,0.358990,0.357919,0.356847,0.355774,0.354699,0.353623,0.352545,0.351466,0.350386,0.349304,0.348220,0.347136,0.346050,0.344962,0.343873,0.342783,0.341691,0.340598,0.339504,0.338408,0.337311,0.336212,0.335112,0.334011,0.332909,0.331805"
0.282CaCl2-0.718KCl,"921.150000,924.976768,928.803535,932.630303,936.457071,940.283838,944.110606,947.937374,951.764141,955.590909,959.417677,963.244444,967.071212,970.897980,974.724747,978.551515,982.378283,986.205051,990.031818,993.858586,997.685354,1001.512121,1005.338889,1009.165657,1012.992424,1016.819192,1020.645960,1024.472727,1028.299495,1032.126263,1035.953030,1039.779798,1043.606566,1047.433333,1051.260101,1055.086869,1058.913636,1062.740404,1066.567172,1070.393939,1074.220707,1078.047475,1081.874242,1085.701010,1089.527778,1093.354545,1097.181313,1101.008081,1104.834848,1108.661616,1112.488384,1116.315152,1120.141919,1123.968687,1127.795455,1131.622222,1135.448990,1139.275758,1143.102525,1146.929293,1150.756061,1154.582828,1158.409596,1162.236364,1166.063131,1169.889899,1173.716667,1177.543434,1181.370202,1185.196970,1189.023737,1192.850505,1196.677273,1200.504040,1204.330808,1208.157576,1211.984343,1215.811111,1219.637879,1223.464646,1227.291414,1231.118182,1234.944949,1238.771717,1242.598485,1246.425253,1250.252020,1254.078788,1257.905556,1261.732323,1265.559091,1269.385859,1273.212626,1277.039394,1280.866162,1284.692929,1288.519697,1292.346465,1296.173232,1300.000000","0.419878,0.418755,0.417631,0.416509,0.415386,0.414265,0.413143,0.412022,0.410902,0.409781,0.408662,0.407543,0.406424,0.405306,0.404188,0.403070,0.401954,0.400837,0.399721,0.398606,0.397491,0.396377,0.395263,0.394149,0.393037,0.391924,0.390812,0.389701,0.388590,0.387480,0.386371,0.385262,0.384153,0.383045,0.381938,0.380831,0.379725,0.378619,0.377514,0.376409,0.375306,0.374202,0.373100,0.371998,0.370896,0.369795,0.368695,0.367595,0.366497,0.365398,0.364301,0.363204,0.362107,0.361012,0.359917,0.358822,0.357729,0.356636,0.355543,0.354452,0.353361,0.352271,0.351181,0.350093,0.349004,0.347917,0.346831,0.345745,0.344660,0.343575,0.342492,0.341409,0.340327,0.339245,0.338165,0.337085,0.336006,0.334928,0.333850,0.332773,0.331698,0.330623,0.329548,0.328475,0.327402,0.326331,0.325260,0.324189,0.323120,0.322052,0.320984,0.319918,0.318852,0.317787,0.316723,0.315659,0.314597,0.313536,0.312475,0.311415"
