Salt Composition,PDF Source,Melting Temp (K),Min Measured Temp (K),KTM at Melt Temp (W/m-K),"KTM, Mix Data at Melt Temp (W/m-K)",PGM at Melt Temp (W/m-K),"PGM, Mix Data at Melt Temp (W/m-K)",SCM at Melt Temp (W/m-K),"SCM, Mix Data at Melt Temp (W/m-K)",Ideal at Melt Temp (W/m-K),KTM at Min Meas Temp (W/m-K),"KTM, Mix Data at Min Meas Temp (W/m-K)",PGM at Min Meas Temp (W/m-K),"PGM, Mix Data at Min Meas Temp (W/m-K)",SCM at Min Meas Temp (W/m-K),"SCM, Mix Data at Min Meas Temp (W/m-K)",Ideal at Min Meas Temp (W/m-K),TC Experimental (W/m-K),TC Experimental at Min Temp (W/m-K),Exp. Reference,TC MSTDB (W/m-K),MSTDB Reference,GECM c_m (J/kg-K),GECM c' (J/kg-K²),GECM_Mix c_m (J/kg-K),GECM_Mix c' (J/kg-K²),GECM v_m (m/s),GECM v' (m/s/K),GECM_Mix v_m (m/s),GECM_Mix v' (m/s/K)
LiF,"Walz, 2019",1121.2,1121.2,1.3498414938304035,,0.8019450301906333,,1.3235354497072063,,,1.3498414938304035,,0.8019450301906333,,1.3235354497072063,,,1.2606752416644216,1.2606752416644216,"LiF (Golyshev, 1992),LiF (Smirnov, 1987),LiF (Khlebnikov, 1981)",,,,,,,,,,
NaF,"Walz, 2019",1268.0,1276.21082621082,0.8422681010582656,,0.5304769596052816,,0.8570942923678516,,,0.8401461218964612,,0.5271033370545427,,0.8516435134405381,,,1.1791520455216316,1.2144361992027366,"NaF (Smirnov, 1987),NaF (Polyakov, 1975)",,,,,,,,,,
KF,"Walz, 2019",1131.2,1130.59701492537,0.582682279373085,,0.36409719101091303,,0.5716627044075692,,,0.582682279373085,,0.36409719101091303,,0.5716627044075692,,,0.6227717233045612,0.6220082536135566,"KF (Smirnov, 1987)",,,,,,,,,,
LiCl,"Walz, 2019",883.0,965.57734204793,0.6863194737503763,,0.4103841859095046,,0.6575885365932045,,,0.6676339357096985,,0.38646537419784766,,0.6192616786621211,,,0.655514260876022,0.6217153840641262,"LiCl (Nagasaka, 1992)",,,,,,,,,,
NaCl,"Lu, 2021",1073.8,1087.31808731808,0.4868128814214467,,0.3101707534064545,,0.5040780479312691,,,0.48405829986611143,,0.3066451024358436,,0.4983482902431752,,,0.4910425958710354,0.48678483778454273,"NaCl (Harada, 1992),NaCl (Nagasaka 1992)",,,,,,,,,,
KCl,"Walz, 2019",1042.7,1052.16387766878,0.37423569928907074,,0.2618683483575507,,0.4155000578207996,,,0.3721919168127263,,0.2592678344569153,,0.41137388647227713,,,0.3674982151291514,0.365931545208152,"KCl (Harada, 1992),KCl (Nagasaka, 1992)",,,,,,,,,,
MgCl2,"Roy, 2021",987.0,986.86210640608,0.4382922031013544,,0.2886105780414558,,0.5458738730153777,,,0.4382922031013544,,0.2886105780414558,,0.5458738730153777,,,0.543906857813548,0.5436619718309852,"MgCl2 (Filatov, 2005)",,,,,,,,,,
CaCl2,"Bu, 2021",1045.0,1070.0,0.44873599331705166,,0.3731108996127813,,0.3731108996127813,,,0.445755322843395,,0.3711639259579812,,0.3711639259579812,,,0.971442614285718,1.175001685714288,"CaCl2 (Janz, 1978)",,,,,,,,,,
SrCl2,"McGreevy, 1987",1146.0,,0.3835117079037486,,0.33599408249358725,,0.5738632844606777,,,,,,,,,,,,,,,,,,,,,,
0.6LiF-0.4NaF,"Grizzi, 2024",930.0,933.1,1.0140564520567226,1.1663014868299586,0.7911222629013577,0.7210339254521472,0.7911222629013577,0.7210339254521472,,1.0132574137371915,1.1652108731167745,0.7896428582151883,0.7198763887049283,0.7896428582151883,0.7198763887049283,,0.867137392379166,0.8654494501747503,"0.6LiF-0.4NaF (Ruth, 2023)",,,,,,,,,,
0.5LiF-0.5BeF2,"Sun, 2024",654.0,,0.985322437731337,1.042735929809302,0.7027071670073798,0.73244829805017,0.7027071670073798,0.73244829805017,,,,,,,,,,,,,,,,,,,,,
0.66LiF-0.34BeF2,"Fayfar, 2024",713.15,742.0,1.002661371716169,1.460407957398056,0.7786966749614952,1.1262574064430007,0.7786966749614953,1.1262574064430007,,0.9991334699728357,1.4533535712786863,0.7725160553261031,1.1079629318986446,0.7725160553261031,1.1079629318986446,,1.1000358441053206,1.1034852938728432,"0.66LiF-0.34BeF2 (Redkin, 2022),0.66LiF-0.34BeF2 (Kato, 1983),0.66LiF-0.34BeF2 (Bobrova, 2023)",,,,,,,,,,
0.66LiF-0.34BeF2,"Yin, 2025",713.15,742.0,1.002661371716169,1.460407957398056,0.7786966749614952,1.1262574064430007,0.7786966749614953,1.1262574064430007,,0.9991334699728357,1.4533535712786863,0.7725160553261031,1.1079629318986446,0.7725160553261031,1.1079629318986446,,1.1000358441053206,1.1034852938728432,"0.66LiF-0.34BeF2 (Redkin, 2022),0.66LiF-0.34BeF2 (Kato, 1983),0.66LiF-0.34BeF2 (Bobrova, 2023)",,,,,,,,,,
0.625LiF-0.3125BeF2-0.0625ThF4,"Yin, 2025",713.15,742.0,0.2517245896691438,0.2517245896691438,0.648509547887137,0.648509547887137,0.648509547887137,0.648509547887137,,0.24995297922829612,0.24995297922829612,0.6438091765447241,0.6438091765447241,0.6438091765447241,0.6438091765447241,,1.1000358441053206,1.1034852938728432,"0.66LiF-0.34BeF2 (Redkin, 2022),0.66LiF-0.34BeF2 (Kato, 1983),0.66LiF-0.34BeF2 (Bobrova, 2023)",,,,,,,,,,
0.6LiF-0.3BeF2-0.1ThF4,"Yin, 2025",713.15,742.0,0.1618521265743302,0.1618521265743302,0.5990950516566959,0.5990950516566959,0.5990950516566959,0.5990950516566959,,0.16047507139521175,0.16047507139521175,0.5949929291091964,0.5949929291091964,0.5949929291091964,0.5949929291091964,,1.1000358441053206,1.1034852938728432,"0.66LiF-0.34BeF2 (Redkin, 2022),0.66LiF-0.34BeF2 (Kato, 1983),0.66LiF-0.34BeF2 (Bobrova, 2023)",,,,,,,,,,
0.5455LiF-0.2727BeF2-0.1818ThF4,"Yin, 2025",713.15,742.0,0.11031325669361199,0.11031325669361199,0.5285106276185557,0.5285106276185557,0.5285106276185556,0.5285106276185557,,0.10941995279539211,0.10941995279539211,0.5252638412568666,0.5252638412568666,0.5252638412568666,0.5252638412568666,,1.1000358441053206,1.1034852938728432,"0.66LiF-0.34BeF2 (Redkin, 2022),0.66LiF-0.34BeF2 (Kato, 1983),0.66LiF-0.34BeF2 (Bobrova, 2023)",,,,,,,,,,
0.5LiCl-0.5KCl,"Jiang, 2016",738.0,,0.43721954149500714,0.4602809141894981,0.3767843088579645,0.3827751812680511,0.3767843088579645,0.3827751812680511,,,,,,,,,,,,,,,,,,,,,
0.637LiCl-0.363KCl,"Jiang, 2016",665.15,761.045324622294,0.4768359179170598,0.5107590657998056,0.4133420704803493,0.4326899591495579,0.4133420704803493,0.4326899591495579,,0.4588154667997439,0.4919995913227133,0.3851719185285836,0.40266146772632033,0.3851719185285836,0.40266146772632033,,0.6250565413644549,0.5834274935842585,"0.582LiCl-0.418KCl (Merritt, 2022)",,,,,,,,,,
0.5NaCl-0.5KCl,"Manga, 2013",930.0,933.497536945812,0.41485046880626714,0.42530953176926817,0.31329500700567714,0.31145037356249505,0.3132950070056772,0.31145037356249505,,0.4143215070787494,0.42476723404618305,0.3125692131649505,0.31072606308942907,0.3125692131649505,0.31072606308942907,,0.4478036572080714,0.44602244689130427,"0.51NaCl-0.49KCl (Ruth, 2024),0.44NaCl-0.56KCl (Birri, 2023),0.44NaCl-0.56KCl (Birri, 2022)",,,,,,,,,,
