Composition,Method,Temperature_K,Thermal_Conductivity_W_mK
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",784.15,0.26707531128353545
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",788.350505050505,0.26652796047913996
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",792.5510101010101,0.26598040681702423
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",796.7515151515152,0.26543265065743354
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",800.9520202020202,0.2648846923677978
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",805.1525252525253,0.26433653232278836
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",809.3530303030303,0.26378817090437673
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",813.5535353535354,0.26323960850189176
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",817.7540404040403,0.262690845512079
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",821.9545454545454,0.26214188233915847
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",826.1550505050504,0.2615927193948841
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",830.3555555555555,0.26104335709860316
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",834.5560606060606,0.2604937958773155
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",838.7565656565656,0.2599440361657332
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",842.9570707070707,0.25939407840634127
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",847.1575757575757,0.25884392304945736
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",851.3580808080808,0.25829357055329316
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",855.5585858585858,0.2577430213840146
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",859.7590909090909,0.257192276015804
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",863.959595959596,0.2566413349309207
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",868.160101010101,0.2560901986197632
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",872.3606060606061,0.25553886758093186
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",876.5611111111111,0.25498734232129017
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",880.7616161616161,0.25443562335602815
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",884.9621212121212,0.25388371120872544
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",889.1626262626262,0.25333160641141367
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",893.3631313131312,0.25277930950464067
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",897.5636363636363,0.25222682103753397
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",901.7641414141414,0.251674141567865
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",905.9646464646464,0.25112127166211284
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",910.1651515151515,0.2505682118955298
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",914.3656565656565,0.250014962852205
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",918.5661616161616,0.24946152512513073
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",922.7666666666667,0.24890789931626692
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",926.9671717171717,0.24835408603660716
0.64NaCl-0.36UCl3 1250K,"Present Model, Mix Data",931.1676767676768,0.24780008590624458
