Composition,Method,Temperature_K,Thermal_Conductivity_W_mK
"0.78NaF-0.22UF4, AIMD","Present Model, Mix Data",900.0,0.5335393340720519
"0.78NaF-0.22UF4, AIMD","Present Model, Mix Data",903.030303030303,0.5329442981128758
"0.78NaF-0.22UF4, AIMD","Present Model, Mix Data",906.060606060606,0.532348644389722
"0.78NaF-0.22UF4, AIMD","Present Model, Mix Data",909.0909090909091,0.5317523725286796
"0.78NaF-0.22UF4, AIMD","Present Model, Mix Data",912.1212121212121,0.5311554821626387
"0.78NaF-0.22UF4, AIMD","Present Model, Mix Data",915.1515151515151,0.5305579729313424
"0.78NaF-0.22UF4, AIMD","Present Model, Mix Data",918.1818181818181,0.5299598444814371
"0.78NaF-0.22UF4, AIMD","Present Model, Mix Data",921.2121212121212,0.5293610964665278
"0.78NaF-0.22UF4, AIMD","Present Model, Mix Data",924.2424242424242,0.528761728547228
"0.78NaF-0.22UF4, AIMD","Present Model, Mix Data",927.2727272727273,0.528161740391214
"0.78NaF-0.22UF4, AIMD","Present Model, Mix Data",930.3030303030303,0.527561131673277
"0.78NaF-0.22UF4, AIMD","Present Model, Mix Data",933.3333333333334,0.5269599020753764
"0.78NaF-0.22UF4, AIMD","Present Model, Mix Data",936.3636363636364,0.5263580512866926
"0.78NaF-0.22UF4, AIMD","Present Model, Mix Data",939.3939393939394,0.52575557900368
"0.78NaF-0.22UF4, AIMD","Present Model, Mix Data",942.4242424242424,0.5251524849301211
"0.78NaF-0.22UF4, AIMD","Present Model, Mix Data",945.4545454545455,0.524548768777179
"0.78NaF-0.22UF4, AIMD","Present Model, Mix Data",948.4848484848485,0.5239444302634516
"0.78NaF-0.22UF4, AIMD","Present Model, Mix Data",951.5151515151515,0.5233394691150248
"0.78NaF-0.22UF4, AIMD","Present Model, Mix Data",954.5454545454545,0.5227338850655271
"0.78NaF-0.22UF4, AIMD","Present Model, Mix Data",957.5757575757576,0.5221276778561823
"0.78NaF-0.22UF4, AIMD","Present Model, Mix Data",960.6060606060606,0.5215208472358647
"0.78NaF-0.22UF4, AIMD","Present Model, Mix Data",963.6363636363636,0.5209133929611526
"0.78NaF-0.22UF4, AIMD","Present Model, Mix Data",966.6666666666666,0.520305314796383
"0.78NaF-0.22UF4, AIMD","Present Model, Mix Data",969.6969696969697,0.5196966125137052
