Composition,Method,Temperature_K,Thermal_Conductivity_W_mK
0.78NaF-0.22UF4 1200K,"Present Model, Mix Data",900.0,0.5296067602119265
0.78NaF-0.22UF4 1200K,"Present Model, Mix Data",903.030303030303,0.5290161101015708
0.78NaF-0.22UF4 1200K,"Present Model, Mix Data",906.060606060606,0.5284248467806081
0.78NaF-0.22UF4 1200K,"Present Model, Mix Data",909.0909090909091,0.5278329698778835
0.78NaF-0.22UF4 1200K,"Present Model, Mix Data",912.1212121212121,0.5272404790289936
0.78NaF-0.22UF4 1200K,"Present Model, Mix Data",915.1515151515151,0.5266473738763361
0.78NaF-0.22UF4 1200K,"Present Model, Mix Data",918.1818181818181,0.5260536540691623
0.78NaF-0.22UF4 1200K,"Present Model, Mix Data",921.2121212121212,0.5254593192636302
0.78NaF-0.22UF4 1200K,"Present Model, Mix Data",924.2424242424242,0.5248643691228548
0.78NaF-0.22UF4 1200K,"Present Model, Mix Data",927.2727272727273,0.524268803316962
0.78NaF-0.22UF4 1200K,"Present Model, Mix Data",930.3030303030303,0.5236726215231401
0.78NaF-0.22UF4 1200K,"Present Model, Mix Data",933.3333333333334,0.5230758234256925
0.78NaF-0.22UF4 1200K,"Present Model, Mix Data",936.3636363636364,0.5224784087160906
0.78NaF-0.22UF4 1200K,"Present Model, Mix Data",939.3939393939394,0.5218803770930263
0.78NaF-0.22UF4 1200K,"Present Model, Mix Data",942.4242424242424,0.5212817282624653
0.78NaF-0.22UF4 1200K,"Present Model, Mix Data",945.4545454545455,0.5206824619376996
0.78NaF-0.22UF4 1200K,"Present Model, Mix Data",948.4848484848485,0.5200825778394014
0.78NaF-0.22UF4 1200K,"Present Model, Mix Data",951.5151515151515,0.5194820756956754
0.78NaF-0.22UF4 1200K,"Present Model, Mix Data",954.5454545454545,0.5188809552421135
0.78NaF-0.22UF4 1200K,"Present Model, Mix Data",957.5757575757576,0.5182792162218468
0.78NaF-0.22UF4 1200K,"Present Model, Mix Data",960.6060606060606,0.5176768583856007
0.78NaF-0.22UF4 1200K,"Present Model, Mix Data",963.6363636363636,0.5170738814917478
0.78NaF-0.22UF4 1200K,"Present Model, Mix Data",966.6666666666666,0.5164702853063619
0.78NaF-0.22UF4 1200K,"Present Model, Mix Data",969.6969696969697,0.5158660696032719
0.78NaF-0.22UF4 1200K,"Present Model, Mix Data",972.7272727272727,0.5152612341641165
0.78NaF-0.22UF4 1200K,"Present Model, Mix Data",975.7575757575758,0.5146557787783973
0.78NaF-0.22UF4 1200K,"Present Model, Mix Data",978.7878787878788,0.5140497032435342
