Composition,Method,Temperature_K,Thermal_Conductivity_W_mK
KTM,Gheribi-KT24,923.0,0.1897450600230591
KTM,Gheribi-KT24,926.8080808080808,0.18939052709407883
KTM,Gheribi-KT24,930.6161616161617,0.18903594842068772
KTM,Gheribi-KT24,934.4242424242424,0.188681323864137
KTM,Gheribi-KT24,938.2323232323232,0.1883266532851163
KTM,Gheribi-KT24,942.040404040404,0.18797193654375105
KTM,Gheribi-KT24,945.8484848484849,0.18761717349959833
KTM,Gheribi-KT24,949.6565656565657,0.187262364011646
KTM,Gheribi-KT24,953.4646464646464,0.18690750793830818
KTM,Gheribi-KT24,957.2727272727273,0.18655260513742294
KTM,Gheribi-KT24,961.0808080808081,0.1861976554662494
KTM,Gheribi-KT24,964.8888888888889,0.1858426587814646
KTM,Gheribi-KT24,968.6969696969697,0.18548761493916105
KTM,Gheribi-KT24,972.5050505050505,0.18513252379484268
KTM,Gheribi-KT24,976.3131313131313,0.18477738520342296
KTM,Gheribi-KT24,980.1212121212121,0.18442219901922147
KTM,Gheribi-KT24,983.929292929293,0.18406696509596004
KTM,Gheribi-KT24,987.7373737373737,0.18371168328676143
KTM,Gheribi-KT24,991.5454545454545,0.18335635344414467
KTM,Gheribi-KT24,995.3535353535353,0.18300097542002244
KTM,Gheribi-KT24,999.1616161616162,0.18264554906569835
KTM,Gheribi-KT24,1002.969696969697,0.1822900742318637
KTM,Gheribi-KT24,1006.7777777777778,0.1819345507685936
KTM,Gheribi-KT24,1010.5858585858585,0.18157897852534477
KTM,Gheribi-KT24,1014.3939393939394,0.18122335735095152
KTM,Gheribi-KT24,1018.2020202020202,0.1808676870936233
KTM,Gheribi-KT24,1022.010101010101,0.18051196760094093
KTM,Gheribi-KT24,1025.8181818181818,0.18015619871985317
KTM,Gheribi-KT24,1029.6262626262626,0.17980038029667436
KTM,Gheribi-KT24,1033.4343434343434,0.17944451217708016
KTM,Gheribi-KT24,1037.2424242424242,0.17908859420610423
KTM,Gheribi-KT24,1041.050505050505,0.1787326262281365
KTM,Gheribi-KT24,1044.858585858586,0.17837660808691708
KTM,Gheribi-KT24,1048.6666666666667,0.1780205396255353
KTM,Gheribi-KT24,1052.4747474747473,0.1776644206864252
KTM,Gheribi-KT24,1056.2828282828282,0.17730825111136217
KTM,Gheribi-KT24,1060.090909090909,0.17695203074145976
KTM,Gheribi-KT24,1063.8989898989898,0.17659575941716588
KTM,Gheribi-KT24,1067.7070707070707,0.17623943697825978
KTM,Gheribi-KT24,1071.5151515151515,0.1758830632638479
KTM,Gheribi-KT24,1075.3232323232323,0.1755266381123611
KTM,Gheribi-KT24,1079.1313131313132,0.17517016136155092
KTM,Gheribi-KT24,1082.939393939394,0.17481363284848478
KTM,Gheribi-KT24,1086.7474747474748,0.1744570524095447
KTM,Gheribi-KT24,1090.5555555555557,0.17410041988042133
KTM,Gheribi-KT24,1094.3636363636363,0.17374373509611182
KTM,Gheribi-KT24,1098.171717171717,0.17338699789091602
KTM,Gheribi-KT24,1101.979797979798,0.17303020809843184
KTM,Gheribi-KT24,1105.7878787878788,0.17267336555155222
KTM,Gheribi-KT24,1109.5959595959596,0.17231647008246184
