Composition,Method,Temperature_K,Thermal_Conductivity_W_mK
PGM,Zhao-PGM,923.0,0.5821484602605648
PGM,Zhao-PGM,926.8080808080808,0.5810565589098219
PGM,Zhao-PGM,930.6161616161617,0.5799640859747277
PGM,Zhao-PGM,934.4242424242424,0.5788710446372288
PGM,Zhao-PGM,938.2323232323232,0.577777438101562
PGM,Zhao-PGM,942.040404040404,0.5766832695942777
PGM,Zhao-PGM,945.8484848484849,0.5755885423642648
PGM,Zhao-PGM,949.6565656565657,0.5744932596827731
PGM,Zhao-PGM,953.4646464646464,0.5733974248434365
PGM,Zhao-PGM,957.2727272727273,0.572301041162294
PGM,Zhao-PGM,961.0808080808081,0.5712041119778103
PGM,Zhao-PGM,964.8888888888889,0.5701066406508963
PGM,Zhao-PGM,968.6969696969697,0.5690086305649286
PGM,Zhao-PGM,972.5050505050505,0.5679100851257665
PGM,Zhao-PGM,976.3131313131313,0.5668110077617713
PGM,Zhao-PGM,980.1212121212121,0.565711401923822
PGM,Zhao-PGM,983.929292929293,0.5646112710853322
PGM,Zhao-PGM,987.7373737373737,0.5635106187422637
PGM,Zhao-PGM,991.5454545454545,0.5624094484131429
PGM,Zhao-PGM,995.3535353535353,0.5613077636390728
PGM,Zhao-PGM,999.1616161616162,0.5602055679837461
PGM,Zhao-PGM,1002.969696969697,0.5591028650334569
PGM,Zhao-PGM,1006.7777777777778,0.557999658397112
PGM,Zhao-PGM,1010.5858585858585,0.5568959517062406
PGM,Zhao-PGM,1014.3939393939394,0.5557917486150039
PGM,Zhao-PGM,1018.2020202020202,0.5546870528002034
PGM,Zhao-PGM,1022.010101010101,0.5535818679612878
PGM,Zhao-PGM,1025.8181818181818,0.5524761978203607
PGM,Zhao-PGM,1029.6262626262626,0.5513700461221855
PGM,Zhao-PGM,1033.4343434343434,0.5502634166341905
PGM,Zhao-PGM,1037.2424242424242,0.5491563131464727
PGM,Zhao-PGM,1041.050505050505,0.5480487394718014
PGM,Zhao-PGM,1044.858585858586,0.5469406994456198
PGM,Zhao-PGM,1048.6666666666667,0.5458321969260461
PGM,Zhao-PGM,1052.4747474747473,0.5447232357938746
PGM,Zhao-PGM,1056.2828282828282,0.5436138199525742
PGM,Zhao-PGM,1060.090909090909,0.5425039533282874
PGM,Zhao-PGM,1063.8989898989898,0.5413936398698278
PGM,Zhao-PGM,1067.7070707070707,0.5402828835486767
PGM,Zhao-PGM,1071.5151515151515,0.5391716883589783
PGM,Zhao-PGM,1075.3232323232323,0.5380600583175355
PGM,Zhao-PGM,1079.1313131313132,0.5369479974638021
PGM,Zhao-PGM,1082.939393939394,0.5358355098598767
PGM,Zhao-PGM,1086.7474747474748,0.534722599590495
PGM,Zhao-PGM,1090.5555555555557,0.5336092707630191
PGM,Zhao-PGM,1094.3636363636363,0.5324955275074287
PGM,Zhao-PGM,1098.171717171717,0.5313813739763097
PGM,Zhao-PGM,1101.979797979798,0.5302668143448418
PGM,Zhao-PGM,1105.7878787878788,0.5291518528107858
PGM,Zhao-PGM,1109.5959595959596,0.5280364935944699
PGM,Zhao-PGM,1113.4040404040404,0.5269207409387742
PGM,Zhao-PGM,1117.2121212121212,0.5258045991091141
PGM,Zhao-PGM,1121.020202020202,0.5246880723934253
PGM,Zhao-PGM,1124.828282828283,0.5235711651021433
PGM,Zhao-PGM,1128.6363636363635,0.5224538815681864
PGM,Zhao-PGM,1132.4444444444443,0.521336226146934
PGM,Zhao-PGM,1136.2525252525252,0.520218203216207
PGM,Zhao-PGM,1140.060606060606,0.5190998171762452
PGM,Zhao-PGM,1143.8686868686868,0.5179810724496832
PGM,Zhao-PGM,1147.6767676767677,0.5168619734815282
PGM,Zhao-PGM,1151.4848484848485,0.5157425247391331
PGM,Zhao-PGM,1155.2929292929293,0.514622730712171
PGM,Zhao-PGM,1159.1010101010102,0.513502595912608
PGM,Zhao-PGM,1162.909090909091,0.5123821248746748
PGM,Zhao-PGM,1166.7171717171718,0.5112613221548377
PGM,Zhao-PGM,1170.5252525252524,0.5101401923317672
PGM,Zhao-PGM,1174.3333333333333,0.5090187400063076
PGM,Zhao-PGM,1178.141414141414,0.5078969698014439
PGM,Zhao-PGM,1181.949494949495,0.5067748863622689
PGM,Zhao-PGM,1185.7575757575758,0.5056524943559477
PGM,Zhao-PGM,1189.5656565656566,0.504529798471682
PGM,Zhao-PGM,1193.3737373737374,0.5034068034206747
PGM,Zhao-PGM,1197.1818181818182,0.5022835139360902
PGM,Zhao-PGM,1200.9898989898988,0.5011599347730168
PGM,Zhao-PGM,1204.7979797979797,0.500036070708426
PGM,Zhao-PGM,1208.6060606060605,0.49891192654113153
PGM,Zhao-PGM,1212.4141414141413,0.4977875070917478
PGM,Zhao-PGM,1216.2222222222222,0.49666281720264527
PGM,Zhao-PGM,1220.030303030303,0.4955378617379077
PGM,Zhao-PGM,1223.8383838383838,0.49441264558328557
PGM,Zhao-PGM,1227.6464646464647,0.49328717364615005
PGM,Zhao-PGM,1231.4545454545455,0.492161450855445
PGM,Zhao-PGM,1235.2626262626263,0.4910354821616385
PGM,Zhao-PGM,1239.0707070707072,0.48990927253667316
PGM,Zhao-PGM,1242.878787878788,0.4887828269739148
PGM,Zhao-PGM,1246.6868686868686,0.4876561504881005
PGM,Zhao-PGM,1250.4949494949494,0.4865292481152856
PGM,Zhao-PGM,1254.3030303030303,0.4854021249127894
PGM,Zhao-PGM,1258.111111111111,0.4842747859591396
PGM,Zhao-PGM,1261.919191919192,0.4831472363540158
PGM,Zhao-PGM,1265.7272727272727,0.4820194812181923
PGM,Zhao-PGM,1269.5353535353536,0.48089152569347887
PGM,Zhao-PGM,1273.3434343434344,0.4797633749426615
PGM,Zhao-PGM,1277.151515151515,0.47863503414944064
PGM,Zhao-PGM,1280.9595959595958,0.47750650851836973
PGM,Zhao-PGM,1284.7676767676767,0.4763778032747916
PGM,Zhao-PGM,1288.5757575757575,0.475248923664775
PGM,Zhao-PGM,1292.3838383838383,0.4741198749550481
PGM,Zhao-PGM,1296.1919191919192,0.47299066243293225
PGM,Zhao-PGM,1300.0,0.4718612914062751
