Salt,Temperatures_K,Thermal_Conductivity_W_mK
1.0LiF,"1121.200000,1124.016162,1126.832323,1129.648485,1132.464646,1135.280808,1138.096970,1140.913131,1143.729293,1146.545455,1149.361616,1152.177778,1154.993939,1157.810101,1160.626263,1163.442424,1166.258586,1169.074747,1171.890909,1174.707071,1177.523232,1180.339394,1183.155556,1185.971717,1188.787879,1191.604040,1194.420202,1197.236364,1200.052525,1202.868687,1205.684848,1208.501010,1211.317172,1214.133333,1216.949495,1219.765657,1222.581818,1225.397980,1228.214141,1231.030303,1233.846465,1236.662626,1239.478788,1242.294949,1245.111111,1247.927273,1250.743434,1253.559596,1256.375758,1259.191919,1262.008081,1264.824242,1267.640404,1270.456566,1273.272727,1276.088889,1278.905051,1281.721212,1284.537374,1287.353535,1290.169697,1292.985859,1295.802020,1298.618182,1301.434343,1304.250505,1307.066667,1309.882828,1312.698990,1315.515152,1318.331313,1321.147475,1323.963636,1326.779798,1329.595960,1332.412121,1335.228283,1338.044444,1340.860606,1343.676768,1346.492929,1349.309091,1352.125253,1354.941414,1357.757576,1360.573737,1363.389899,1366.206061,1369.022222,1371.838384,1374.654545,1377.470707,1380.286869,1383.103030,1385.919192,1388.735354,1391.551515,1394.367677,1397.183838,1400.000000","0.801945,0.800303,0.798662,0.797023,0.795385,0.793749,0.792115,0.790482,0.788850,0.787221,0.785592,0.783966,0.782341,0.780717,0.779095,0.777475,0.775856,0.774239,0.772624,0.771010,0.769397,0.767786,0.766177,0.764569,0.762963,0.761359,0.759756,0.758154,0.756554,0.754956,0.753359,0.751764,0.750171,0.748579,0.746988,0.745400,0.743812,0.742227,0.740643,0.739060,0.737479,0.735900,0.734322,0.732746,0.731171,0.729598,0.728026,0.726456,0.724888,0.723321,0.721756,0.720192,0.718630,0.717070,0.715511,0.713954,0.712398,0.710844,0.709291,0.707740,0.706190,0.704643,0.703096,0.701552,0.700008,0.698467,0.696927,0.695388,0.693851,0.692316,0.690782,0.689250,0.687720,0.686191,0.684663,0.683137,0.681613,0.680090,0.678569,0.677049,0.675531,0.674015,0.672500,0.670987,0.669475,0.667965,0.666457,0.664950,0.663444,0.661940,0.660438,0.658937,0.657438,0.655941,0.654445,0.652950,0.651458,0.649966,0.648477,0.646989"
1.0NaF,"1268.000000,1268.323232,1268.646465,1268.969697,1269.292929,1269.616162,1269.939394,1270.262626,1270.585859,1270.909091,1271.232323,1271.555556,1271.878788,1272.202020,1272.525253,1272.848485,1273.171717,1273.494949,1273.818182,1274.141414,1274.464646,1274.787879,1275.111111,1275.434343,1275.757576,1276.080808,1276.404040,1276.727273,1277.050505,1277.373737,1277.696970,1278.020202,1278.343434,1278.666667,1278.989899,1279.313131,1279.636364,1279.959596,1280.282828,1280.606061,1280.929293,1281.252525,1281.575758,1281.898990,1282.222222,1282.545455,1282.868687,1283.191919,1283.515152,1283.838384,1284.161616,1284.484848,1284.808081,1285.131313,1285.454545,1285.777778,1286.101010,1286.424242,1286.747475,1287.070707,1287.393939,1287.717172,1288.040404,1288.363636,1288.686869,1289.010101,1289.333333,1289.656566,1289.979798,1290.303030,1290.626263,1290.949495,1291.272727,1291.595960,1291.919192,1292.242424,1292.565657,1292.888889,1293.212121,1293.535354,1293.858586,1294.181818,1294.505051,1294.828283,1295.151515,1295.474747,1295.797980,1296.121212,1296.444444,1296.767677,1297.090909,1297.414141,1297.737374,1298.060606,1298.383838,1298.707071,1299.030303,1299.353535,1299.676768,1300.000000","0.530477,0.530342,0.530207,0.530072,0.529936,0.529801,0.529666,0.529531,0.529396,0.529261,0.529126,0.528991,0.528856,0.528721,0.528586,0.528452,0.528317,0.528182,0.528047,0.527912,0.527777,0.527642,0.527508,0.527373,0.527238,0.527103,0.526969,0.526834,0.526699,0.526565,0.526430,0.526295,0.526161,0.526026,0.525891,0.525757,0.525622,0.525488,0.525353,0.525219,0.525084,0.524950,0.524815,0.524681,0.524546,0.524412,0.524278,0.524143,0.524009,0.523874,0.523740,0.523606,0.523472,0.523337,0.523203,0.523069,0.522935,0.522800,0.522666,0.522532,0.522398,0.522264,0.522130,0.521995,0.521861,0.521727,0.521593,0.521459,0.521325,0.521191,0.521057,0.520923,0.520789,0.520655,0.520521,0.520387,0.520254,0.520120,0.519986,0.519852,0.519718,0.519584,0.519451,0.519317,0.519183,0.519049,0.518916,0.518782,0.518648,0.518514,0.518381,0.518247,0.518114,0.517980,0.517846,0.517713,0.517579,0.517446,0.517312,0.517179"
1.0KF,"1131.200000,1132.905051,1134.610101,1136.315152,1138.020202,1139.725253,1141.430303,1143.135354,1144.840404,1146.545455,1148.250505,1149.955556,1151.660606,1153.365657,1155.070707,1156.775758,1158.480808,1160.185859,1161.890909,1163.595960,1165.301010,1167.006061,1168.711111,1170.416162,1172.121212,1173.826263,1175.531313,1177.236364,1178.941414,1180.646465,1182.351515,1184.056566,1185.761616,1187.466667,1189.171717,1190.876768,1192.581818,1194.286869,1195.991919,1197.696970,1199.402020,1201.107071,1202.812121,1204.517172,1206.222222,1207.927273,1209.632323,1211.337374,1213.042424,1214.747475,1216.452525,1218.157576,1219.862626,1221.567677,1223.272727,1224.977778,1226.682828,1228.387879,1230.092929,1231.797980,1233.503030,1235.208081,1236.913131,1238.618182,1240.323232,1242.028283,1243.733333,1245.438384,1247.143434,1248.848485,1250.553535,1252.258586,1253.963636,1255.668687,1257.373737,1259.078788,1260.783838,1262.488889,1264.193939,1265.898990,1267.604040,1269.309091,1271.014141,1272.719192,1274.424242,1276.129293,1277.834343,1279.539394,1281.244444,1282.949495,1284.654545,1286.359596,1288.064646,1289.769697,1291.474747,1293.179798,1294.884848,1296.589899,1298.294949,1300.000000","0.364097,0.363599,0.363102,0.362605,0.362108,0.361611,0.361115,0.360619,0.360124,0.359629,0.359134,0.358640,0.358145,0.357652,0.357158,0.356665,0.356172,0.355680,0.355187,0.354696,0.354204,0.353713,0.353222,0.352732,0.352241,0.351752,0.351262,0.350773,0.350284,0.349796,0.349307,0.348820,0.348332,0.347845,0.347358,0.346872,0.346385,0.345900,0.345414,0.344929,0.344444,0.343960,0.343475,0.342992,0.342508,0.342025,0.341542,0.341060,0.340577,0.340096,0.339614,0.339133,0.338652,0.338172,0.337691,0.337212,0.336732,0.336253,0.335774,0.335296,0.334817,0.334340,0.333862,0.333385,0.332908,0.332432,0.331955,0.331480,0.331004,0.330529,0.330054,0.329579,0.329105,0.328631,0.328158,0.327685,0.327212,0.326739,0.326267,0.325795,0.325324,0.324853,0.324382,0.323911,0.323441,0.322971,0.322502,0.322033,0.321564,0.321095,0.320627,0.320159,0.319692,0.319224,0.318758,0.318291,0.317825,0.317359,0.316894,0.316428"
1.0LiCl,"883.000000,887.717172,892.434343,897.151515,901.868687,906.585859,911.303030,916.020202,920.737374,925.454545,930.171717,934.888889,939.606061,944.323232,949.040404,953.757576,958.474747,963.191919,967.909091,972.626263,977.343434,982.060606,986.777778,991.494949,996.212121,1000.929293,1005.646465,1010.363636,1015.080808,1019.797980,1024.515152,1029.232323,1033.949495,1038.666667,1043.383838,1048.101010,1052.818182,1057.535354,1062.252525,1066.969697,1071.686869,1076.404040,1081.121212,1085.838384,1090.555556,1095.272727,1099.989899,1104.707071,1109.424242,1114.141414,1118.858586,1123.575758,1128.292929,1133.010101,1137.727273,1142.444444,1147.161616,1151.878788,1156.595960,1161.313131,1166.030303,1170.747475,1175.464646,1180.181818,1184.898990,1189.616162,1194.333333,1199.050505,1203.767677,1208.484848,1213.202020,1217.919192,1222.636364,1227.353535,1232.070707,1236.787879,1241.505051,1246.222222,1250.939394,1255.656566,1260.373737,1265.090909,1269.808081,1274.525253,1279.242424,1283.959596,1288.676768,1293.393939,1298.111111,1302.828283,1307.545455,1312.262626,1316.979798,1321.696970,1326.414141,1331.131313,1335.848485,1340.565657,1345.282828,1350.000000","0.410384,0.409037,0.407692,0.406349,0.405009,0.403670,0.402334,0.401000,0.399668,0.398338,0.397010,0.395684,0.394361,0.393040,0.391721,0.390404,0.389089,0.387776,0.386465,0.385157,0.383851,0.382547,0.381245,0.379945,0.378647,0.377352,0.376058,0.374767,0.373478,0.372191,0.370906,0.369624,0.368343,0.367065,0.365789,0.364515,0.363243,0.361973,0.360705,0.359440,0.358177,0.356915,0.355656,0.354400,0.353145,0.351892,0.350642,0.349394,0.348148,0.346904,0.345662,0.344422,0.343185,0.341949,0.340716,0.339485,0.338256,0.337029,0.335805,0.334582,0.333362,0.332144,0.330928,0.329714,0.328502,0.327293,0.326085,0.324880,0.323677,0.322476,0.321277,0.320080,0.318886,0.317693,0.316503,0.315315,0.314129,0.312945,0.311764,0.310584,0.309407,0.308232,0.307058,0.305888,0.304719,0.303552,0.302388,0.301225,0.300065,0.298907,0.297751,0.296598,0.295446,0.294297,0.293149,0.292004,0.290861,0.289720,0.288582,0.287445"
1.0NaCl,"1073.800000,1077.094949,1080.389899,1083.684848,1086.979798,1090.274747,1093.569697,1096.864646,1100.159596,1103.454545,1106.749495,1110.044444,1113.339394,1116.634343,1119.929293,1123.224242,1126.519192,1129.814141,1133.109091,1136.404040,1139.698990,1142.993939,1146.288889,1149.583838,1152.878788,1156.173737,1159.468687,1162.763636,1166.058586,1169.353535,1172.648485,1175.943434,1179.238384,1182.533333,1185.828283,1189.123232,1192.418182,1195.713131,1199.008081,1202.303030,1205.597980,1208.892929,1212.187879,1215.482828,1218.777778,1222.072727,1225.367677,1228.662626,1231.957576,1235.252525,1238.547475,1241.842424,1245.137374,1248.432323,1251.727273,1255.022222,1258.317172,1261.612121,1264.907071,1268.202020,1271.496970,1274.791919,1278.086869,1281.381818,1284.676768,1287.971717,1291.266667,1294.561616,1297.856566,1301.151515,1304.446465,1307.741414,1311.036364,1314.331313,1317.626263,1320.921212,1324.216162,1327.511111,1330.806061,1334.101010,1337.395960,1340.690909,1343.985859,1347.280808,1350.575758,1353.870707,1357.165657,1360.460606,1363.755556,1367.050505,1370.345455,1373.640404,1376.935354,1380.230303,1383.525253,1386.820202,1390.115152,1393.410101,1396.705051,1400.000000","0.310171,0.309288,0.308406,0.307525,0.306645,0.305767,0.304890,0.304014,0.303139,0.302265,0.301393,0.300522,0.299652,0.298783,0.297916,0.297050,0.296185,0.295321,0.294458,0.293597,0.292736,0.291877,0.291020,0.290163,0.289308,0.288454,0.287601,0.286749,0.285899,0.285049,0.284201,0.283354,0.282509,0.281664,0.280821,0.279979,0.279138,0.278299,0.277460,0.276623,0.275787,0.274952,0.274119,0.273287,0.272455,0.271626,0.270797,0.269969,0.269143,0.268318,0.267494,0.266672,0.265850,0.265030,0.264211,0.263393,0.262577,0.261761,0.260947,0.260134,0.259323,0.258512,0.257703,0.256895,0.256088,0.255282,0.254478,0.253675,0.252873,0.252072,0.251272,0.250474,0.249677,0.248881,0.248086,0.247293,0.246500,0.245709,0.244919,0.244131,0.243343,0.242557,0.241772,0.240988,0.240205,0.239424,0.238644,0.237865,0.237087,0.236311,0.235535,0.234761,0.233988,0.233217,0.232446,0.231677,0.230909,0.230142,0.229376,0.228612"
1.0KCl,"1042.700000,1046.309091,1049.918182,1053.527273,1057.136364,1060.745455,1064.354545,1067.963636,1071.572727,1075.181818,1078.790909,1082.400000,1086.009091,1089.618182,1093.227273,1096.836364,1100.445455,1104.054545,1107.663636,1111.272727,1114.881818,1118.490909,1122.100000,1125.709091,1129.318182,1132.927273,1136.536364,1140.145455,1143.754545,1147.363636,1150.972727,1154.581818,1158.190909,1161.800000,1165.409091,1169.018182,1172.627273,1176.236364,1179.845455,1183.454545,1187.063636,1190.672727,1194.281818,1197.890909,1201.500000,1205.109091,1208.718182,1212.327273,1215.936364,1219.545455,1223.154545,1226.763636,1230.372727,1233.981818,1237.590909,1241.200000,1244.809091,1248.418182,1252.027273,1255.636364,1259.245455,1262.854545,1266.463636,1270.072727,1273.681818,1277.290909,1280.900000,1284.509091,1288.118182,1291.727273,1295.336364,1298.945455,1302.554545,1306.163636,1309.772727,1313.381818,1316.990909,1320.600000,1324.209091,1327.818182,1331.427273,1335.036364,1338.645455,1342.254545,1345.863636,1349.472727,1353.081818,1356.690909,1360.300000,1363.909091,1367.518182,1371.127273,1374.736364,1378.345455,1381.954545,1385.563636,1389.172727,1392.781818,1396.390909,1400.000000","0.261868,0.261000,0.260133,0.259268,0.258404,0.257541,0.256680,0.255820,0.254962,0.254105,0.253249,0.252395,0.251542,0.250690,0.249840,0.248992,0.248145,0.247299,0.246454,0.245611,0.244770,0.243929,0.243091,0.242253,0.241417,0.240582,0.239749,0.238917,0.238087,0.237258,0.236430,0.235604,0.234779,0.233956,0.233134,0.232313,0.231494,0.230676,0.229860,0.229045,0.228231,0.227419,0.226608,0.225798,0.224990,0.224184,0.223378,0.222575,0.221772,0.220971,0.220172,0.219373,0.218576,0.217781,0.216987,0.216194,0.215403,0.214613,0.213825,0.213038,0.212252,0.211468,0.210685,0.209904,0.209124,0.208345,0.207568,0.206792,0.206018,0.205245,0.204473,0.203703,0.202934,0.202166,0.201400,0.200636,0.199873,0.199111,0.198350,0.197591,0.196834,0.196077,0.195323,0.194569,0.193817,0.193066,0.192317,0.191569,0.190823,0.190078,0.189334,0.188592,0.187851,0.187112,0.186374,0.185637,0.184902,0.184168,0.183436,0.182705"
1.0MgCl2,"987.000000,991.171717,995.343434,999.515152,1003.686869,1007.858586,1012.030303,1016.202020,1020.373737,1024.545455,1028.717172,1032.888889,1037.060606,1041.232323,1045.404040,1049.575758,1053.747475,1057.919192,1062.090909,1066.262626,1070.434343,1074.606061,1078.777778,1082.949495,1087.121212,1091.292929,1095.464646,1099.636364,1103.808081,1107.979798,1112.151515,1116.323232,1120.494949,1124.666667,1128.838384,1133.010101,1137.181818,1141.353535,1145.525253,1149.696970,1153.868687,1158.040404,1162.212121,1166.383838,1170.555556,1174.727273,1178.898990,1183.070707,1187.242424,1191.414141,1195.585859,1199.757576,1203.929293,1208.101010,1212.272727,1216.444444,1220.616162,1224.787879,1228.959596,1233.131313,1237.303030,1241.474747,1245.646465,1249.818182,1253.989899,1258.161616,1262.333333,1266.505051,1270.676768,1274.848485,1279.020202,1283.191919,1287.363636,1291.535354,1295.707071,1299.878788,1304.050505,1308.222222,1312.393939,1316.565657,1320.737374,1324.909091,1329.080808,1333.252525,1337.424242,1341.595960,1345.767677,1349.939394,1354.111111,1358.282828,1362.454545,1366.626263,1370.797980,1374.969697,1379.141414,1383.313131,1387.484848,1391.656566,1395.828283,1400.000000","0.288611,0.288405,0.288199,0.287993,0.287787,0.287582,0.287376,0.287170,0.286964,0.286758,0.286553,0.286347,0.286141,0.285935,0.285729,0.285523,0.285318,0.285112,0.284906,0.284700,0.284494,0.284289,0.284083,0.283877,0.283671,0.283465,0.283260,0.283054,0.282848,0.282642,0.282436,0.282231,0.282025,0.281819,0.281613,0.281407,0.281202,0.280996,0.280790,0.280584,0.280378,0.280172,0.279967,0.279761,0.279555,0.279349,0.279143,0.278938,0.278732,0.278526,0.278320,0.278114,0.277909,0.277703,0.277497,0.277291,0.277085,0.276880,0.276674,0.276468,0.276262,0.276056,0.275851,0.275645,0.275439,0.275233,0.275027,0.274822,0.274616,0.274410,0.274204,0.273998,0.273792,0.273587,0.273381,0.273175,0.272969,0.272763,0.272558,0.272352,0.272146,0.271940,0.271734,0.271529,0.271323,0.271117,0.270911,0.270705,0.270500,0.270294,0.270088,0.269882,0.269676,0.269471,0.269265,0.269059,0.268853,0.268647,0.268442,0.268236"
1.0CaCl2,"1045.000000,1047.575758,1050.151515,1052.727273,1055.303030,1057.878788,1060.454545,1063.030303,1065.606061,1068.181818,1070.757576,1073.333333,1075.909091,1078.484848,1081.060606,1083.636364,1086.212121,1088.787879,1091.363636,1093.939394,1096.515152,1099.090909,1101.666667,1104.242424,1106.818182,1109.393939,1111.969697,1114.545455,1117.121212,1119.696970,1122.272727,1124.848485,1127.424242,1130.000000,1132.575758,1135.151515,1137.727273,1140.303030,1142.878788,1145.454545,1148.030303,1150.606061,1153.181818,1155.757576,1158.333333,1160.909091,1163.484848,1166.060606,1168.636364,1171.212121,1173.787879,1176.363636,1178.939394,1181.515152,1184.090909,1186.666667,1189.242424,1191.818182,1194.393939,1196.969697,1199.545455,1202.121212,1204.696970,1207.272727,1209.848485,1212.424242,1215.000000,1217.575758,1220.151515,1222.727273,1225.303030,1227.878788,1230.454545,1233.030303,1235.606061,1238.181818,1240.757576,1243.333333,1245.909091,1248.484848,1251.060606,1253.636364,1256.212121,1258.787879,1261.363636,1263.939394,1266.515152,1269.090909,1271.666667,1274.242424,1276.818182,1279.393939,1281.969697,1284.545455,1287.121212,1289.696970,1292.272727,1294.848485,1297.424242,1300.000000","0.373111,0.372916,0.372722,0.372527,0.372332,0.372137,0.371943,0.371748,0.371553,0.371359,0.371164,0.370969,0.370775,0.370580,0.370385,0.370190,0.369996,0.369801,0.369606,0.369412,0.369217,0.369022,0.368828,0.368633,0.368438,0.368243,0.368049,0.367854,0.367659,0.367465,0.367270,0.367075,0.366881,0.366686,0.366491,0.366296,0.366102,0.365907,0.365712,0.365518,0.365323,0.365128,0.364934,0.364739,0.364544,0.364350,0.364155,0.363960,0.363765,0.363571,0.363376,0.363181,0.362987,0.362792,0.362597,0.362403,0.362208,0.362013,0.361818,0.361624,0.361429,0.361234,0.361040,0.360845,0.360650,0.360456,0.360261,0.360066,0.359871,0.359677,0.359482,0.359287,0.359093,0.358898,0.358703,0.358509,0.358314,0.358119,0.357925,0.357730,0.357535,0.357340,0.357146,0.356951,0.356756,0.356562,0.356367,0.356172,0.355978,0.355783,0.355588,0.355393,0.355199,0.355004,0.354809,0.354615,0.354420,0.354225,0.354031,0.353836"
1.0SrCl2,"1146.000000,1147.555556,1149.111111,1150.666667,1152.222222,1153.777778,1155.333333,1156.888889,1158.444444,1160.000000,1161.555556,1163.111111,1164.666667,1166.222222,1167.777778,1169.333333,1170.888889,1172.444444,1174.000000,1175.555556,1177.111111,1178.666667,1180.222222,1181.777778,1183.333333,1184.888889,1186.444444,1188.000000,1189.555556,1191.111111,1192.666667,1194.222222,1195.777778,1197.333333,1198.888889,1200.444444,1202.000000,1203.555556,1205.111111,1206.666667,1208.222222,1209.777778,1211.333333,1212.888889,1214.444444,1216.000000,1217.555556,1219.111111,1220.666667,1222.222222,1223.777778,1225.333333,1226.888889,1228.444444,1230.000000,1231.555556,1233.111111,1234.666667,1236.222222,1237.777778,1239.333333,1240.888889,1242.444444,1244.000000,1245.555556,1247.111111,1248.666667,1250.222222,1251.777778,1253.333333,1254.888889,1256.444444,1258.000000,1259.555556,1261.111111,1262.666667,1264.222222,1265.777778,1267.333333,1268.888889,1270.444444,1272.000000,1273.555556,1275.111111,1276.666667,1278.222222,1279.777778,1281.333333,1282.888889,1284.444444,1286.000000,1287.555556,1289.111111,1290.666667,1292.222222,1293.777778,1295.333333,1296.888889,1298.444444,1300.000000","0.335994,0.335883,0.335773,0.335662,0.335551,0.335440,0.335330,0.335219,0.335108,0.334997,0.334887,0.334776,0.334665,0.334554,0.334444,0.334333,0.334222,0.334111,0.334000,0.333890,0.333779,0.333668,0.333557,0.333447,0.333336,0.333225,0.333114,0.333004,0.332893,0.332782,0.332671,0.332561,0.332450,0.332339,0.332228,0.332118,0.332007,0.331896,0.331785,0.331675,0.331564,0.331453,0.331342,0.331232,0.331121,0.331010,0.330899,0.330789,0.330678,0.330567,0.330456,0.330346,0.330235,0.330124,0.330013,0.329903,0.329792,0.329681,0.329570,0.329460,0.329349,0.329238,0.329127,0.329017,0.328906,0.328795,0.328684,0.328574,0.328463,0.328352,0.328241,0.328130,0.328020,0.327909,0.327798,0.327687,0.327577,0.327466,0.327355,0.327244,0.327134,0.327023,0.326912,0.326801,0.326691,0.326580,0.326469,0.326358,0.326248,0.326137,0.326026,0.325915,0.325805,0.325694,0.325583,0.325472,0.325362,0.325251,0.325140,0.325029"
0.6LiF-0.4NaF,"930.000000,932.727273,935.454545,938.181818,940.909091,943.636364,946.363636,949.090909,951.818182,954.545455,957.272727,960.000000,962.727273,965.454545,968.181818,970.909091,973.636364,976.363636,979.090909,981.818182,984.545455,987.272727,990.000000,992.727273,995.454545,998.181818,1000.909091,1003.636364,1006.363636,1009.090909,1011.818182,1014.545455,1017.272727,1020.000000,1022.727273,1025.454545,1028.181818,1030.909091,1033.636364,1036.363636,1039.090909,1041.818182,1044.545455,1047.272727,1050.000000,1052.727273,1055.454545,1058.181818,1060.909091,1063.636364,1066.363636,1069.090909,1071.818182,1074.545455,1077.272727,1080.000000,1082.727273,1085.454545,1088.181818,1090.909091,1093.636364,1096.363636,1099.090909,1101.818182,1104.545455,1107.272727,1110.000000,1112.727273,1115.454545,1118.181818,1120.909091,1123.636364,1126.363636,1129.090909,1131.818182,1134.545455,1137.272727,1140.000000,1142.727273,1145.454545,1148.181818,1150.909091,1153.636364,1156.363636,1159.090909,1161.818182,1164.545455,1167.272727,1170.000000,1172.727273,1175.454545,1178.181818,1180.909091,1183.636364,1186.363636,1189.090909,1191.818182,1194.545455,1197.272727,1200.000000","0.791122,0.789643,0.788165,0.786688,0.785213,0.783739,0.782266,0.780794,0.779324,0.777855,0.776388,0.774922,0.773457,0.771994,0.770532,0.769071,0.767611,0.766153,0.764696,0.763241,0.761787,0.760334,0.758883,0.757432,0.755984,0.754536,0.753090,0.751645,0.750202,0.748759,0.747319,0.745879,0.744441,0.743004,0.741569,0.740134,0.738702,0.737270,0.735840,0.734411,0.732983,0.731557,0.730132,0.728709,0.727287,0.725866,0.724446,0.723028,0.721611,0.720195,0.718781,0.717368,0.715957,0.714546,0.713138,0.711730,0.710324,0.708919,0.707515,0.706113,0.704712,0.703312,0.701914,0.700517,0.699122,0.697727,0.696334,0.694943,0.693552,0.692163,0.690776,0.689390,0.688005,0.686621,0.685239,0.683858,0.682478,0.681100,0.679723,0.678347,0.676973,0.675600,0.674228,0.672858,0.671489,0.670121,0.668755,0.667390,0.666026,0.664664,0.663303,0.661943,0.660584,0.659227,0.657872,0.656517,0.655164,0.653813,0.652462,0.651113"
