Salt,Temperatures_K,Thermal_Conductivity_W_mK
0.5454LiF-0.3636NaF-0.091UF4,"923.000000,926.808081,930.616162,934.424242,938.232323,942.040404,945.848485,949.656566,953.464646,957.272727,961.080808,964.888889,968.696970,972.505051,976.313131,980.121212,983.929293,987.737374,991.545455,995.353535,999.161616,1002.969697,1006.777778,1010.585859,1014.393939,1018.202020,1022.010101,1025.818182,1029.626263,1033.434343,1037.242424,1041.050505,1044.858586,1048.666667,1052.474747,1056.282828,1060.090909,1063.898990,1067.707071,1071.515152,1075.323232,1079.131313,1082.939394,1086.747475,1090.555556,1094.363636,1098.171717,1101.979798,1105.787879,1109.595960,1113.404040,1117.212121,1121.020202,1124.828283,1128.636364,1132.444444,1136.252525,1140.060606,1143.868687,1147.676768,1151.484848,1155.292929,1159.101010,1162.909091,1166.717172,1170.525253,1174.333333,1178.141414,1181.949495,1185.757576,1189.565657,1193.373737,1197.181818,1200.989899,1204.797980,1208.606061,1212.414141,1216.222222,1220.030303,1223.838384,1227.646465,1231.454545,1235.262626,1239.070707,1242.878788,1246.686869,1250.494949,1254.303030,1258.111111,1261.919192,1265.727273,1269.535354,1273.343434,1277.151515,1280.959596,1284.767677,1288.575758,1292.383838,1296.191919,1300.000000","0.580835,0.579745,0.578655,0.577565,0.576474,0.575382,0.574290,0.573197,0.572104,0.571010,0.569915,0.568820,0.567725,0.566629,0.565532,0.564435,0.563337,0.562239,0.561140,0.560041,0.558941,0.557841,0.556741,0.555639,0.554538,0.553435,0.552333,0.551230,0.550126,0.549022,0.547917,0.546812,0.545707,0.544601,0.543494,0.542387,0.541280,0.540172,0.539064,0.537955,0.536846,0.535736,0.534626,0.533516,0.532405,0.531294,0.530182,0.529070,0.527958,0.526845,0.525732,0.524618,0.523504,0.522390,0.521275,0.520160,0.519044,0.517928,0.516812,0.515696,0.514579,0.513462,0.512344,0.511226,0.510108,0.508989,0.507870,0.506751,0.505631,0.504512,0.503391,0.502271,0.501150,0.500029,0.498908,0.497786,0.496664,0.495542,0.494420,0.493297,0.492174,0.491051,0.489927,0.488804,0.487680,0.486556,0.485431,0.484307,0.483182,0.482057,0.480932,0.479806,0.478681,0.477555,0.476429,0.475303,0.474177,0.473050,0.471923,0.470797"
1.0LiF,"1121.200000,1124.016162,1126.832323,1129.648485,1132.464646,1135.280808,1138.096970,1140.913131,1143.729293,1146.545455,1149.361616,1152.177778,1154.993939,1157.810101,1160.626263,1163.442424,1166.258586,1169.074747,1171.890909,1174.707071,1177.523232,1180.339394,1183.155556,1185.971717,1188.787879,1191.604040,1194.420202,1197.236364,1200.052525,1202.868687,1205.684848,1208.501010,1211.317172,1214.133333,1216.949495,1219.765657,1222.581818,1225.397980,1228.214141,1231.030303,1233.846465,1236.662626,1239.478788,1242.294949,1245.111111,1247.927273,1250.743434,1253.559596,1256.375758,1259.191919,1262.008081,1264.824242,1267.640404,1270.456566,1273.272727,1276.088889,1278.905051,1281.721212,1284.537374,1287.353535,1290.169697,1292.985859,1295.802020,1298.618182,1301.434343,1304.250505,1307.066667,1309.882828,1312.698990,1315.515152,1318.331313,1321.147475,1323.963636,1326.779798,1329.595960,1332.412121,1335.228283,1338.044444,1340.860606,1343.676768,1346.492929,1349.309091,1352.125253,1354.941414,1357.757576,1360.573737,1363.389899,1366.206061,1369.022222,1371.838384,1374.654545,1377.470707,1380.286869,1383.103030,1385.919192,1388.735354,1391.551515,1394.367677,1397.183838,1400.000000","1.324875,1.322161,1.319451,1.316743,1.314037,1.311334,1.308634,1.305936,1.303241,1.300549,1.297859,1.295172,1.292487,1.289805,1.287125,1.284449,1.281774,1.279103,1.276434,1.273767,1.271103,1.268442,1.265783,1.263127,1.260474,1.257823,1.255175,1.252529,1.249886,1.247245,1.244608,1.241972,1.239340,1.236710,1.234082,1.231457,1.228835,1.226215,1.223598,1.220984,1.218372,1.215763,1.213156,1.210552,1.207950,1.205352,1.202755,1.200162,1.197571,1.194982,1.192396,1.189813,1.187232,1.184654,1.182079,1.179506,1.176936,1.174368,1.171803,1.169241,1.166681,1.164123,1.161569,1.159017,1.156467,1.153920,1.151376,1.148835,1.146296,1.143759,1.141225,1.138694,1.136165,1.133639,1.131116,1.128595,1.126077,1.123561,1.121048,1.118538,1.116030,1.113524,1.111022,1.108522,1.106024,1.103529,1.101037,1.098548,1.096061,1.093576,1.091094,1.088615,1.086138,1.083664,1.081193,1.078724,1.076258,1.073794,1.071333,1.068875"
1.0NaF,"1268.000000,1268.323232,1268.646465,1268.969697,1269.292929,1269.616162,1269.939394,1270.262626,1270.585859,1270.909091,1271.232323,1271.555556,1271.878788,1272.202020,1272.525253,1272.848485,1273.171717,1273.494949,1273.818182,1274.141414,1274.464646,1274.787879,1275.111111,1275.434343,1275.757576,1276.080808,1276.404040,1276.727273,1277.050505,1277.373737,1277.696970,1278.020202,1278.343434,1278.666667,1278.989899,1279.313131,1279.636364,1279.959596,1280.282828,1280.606061,1280.929293,1281.252525,1281.575758,1281.898990,1282.222222,1282.545455,1282.868687,1283.191919,1283.515152,1283.838384,1284.161616,1284.484848,1284.808081,1285.131313,1285.454545,1285.777778,1286.101010,1286.424242,1286.747475,1287.070707,1287.393939,1287.717172,1288.040404,1288.363636,1288.686869,1289.010101,1289.333333,1289.656566,1289.979798,1290.303030,1290.626263,1290.949495,1291.272727,1291.595960,1291.919192,1292.242424,1292.565657,1292.888889,1293.212121,1293.535354,1293.858586,1294.181818,1294.505051,1294.828283,1295.151515,1295.474747,1295.797980,1296.121212,1296.444444,1296.767677,1297.090909,1297.414141,1297.737374,1298.060606,1298.383838,1298.707071,1299.030303,1299.353535,1299.676768,1300.000000","0.888906,0.888679,0.888453,0.888226,0.888000,0.887774,0.887547,0.887321,0.887095,0.886868,0.886642,0.886416,0.886190,0.885964,0.885738,0.885512,0.885286,0.885060,0.884834,0.884608,0.884382,0.884156,0.883930,0.883704,0.883478,0.883252,0.883027,0.882801,0.882575,0.882350,0.882124,0.881898,0.881673,0.881447,0.881222,0.880996,0.880771,0.880545,0.880320,0.880094,0.879869,0.879644,0.879418,0.879193,0.878968,0.878743,0.878517,0.878292,0.878067,0.877842,0.877617,0.877392,0.877167,0.876942,0.876717,0.876492,0.876267,0.876042,0.875817,0.875592,0.875368,0.875143,0.874918,0.874693,0.874469,0.874244,0.874019,0.873795,0.873570,0.873346,0.873121,0.872897,0.872672,0.872448,0.872223,0.871999,0.871774,0.871550,0.871326,0.871102,0.870877,0.870653,0.870429,0.870205,0.869981,0.869756,0.869532,0.869308,0.869084,0.868860,0.868636,0.868412,0.868189,0.867965,0.867741,0.867517,0.867293,0.867069,0.866846,0.866622"
1.0KF,"1131.200000,1132.905051,1134.610101,1136.315152,1138.020202,1139.725253,1141.430303,1143.135354,1144.840404,1146.545455,1148.250505,1149.955556,1151.660606,1153.365657,1155.070707,1156.775758,1158.480808,1160.185859,1161.890909,1163.595960,1165.301010,1167.006061,1168.711111,1170.416162,1172.121212,1173.826263,1175.531313,1177.236364,1178.941414,1180.646465,1182.351515,1184.056566,1185.761616,1187.466667,1189.171717,1190.876768,1192.581818,1194.286869,1195.991919,1197.696970,1199.402020,1201.107071,1202.812121,1204.517172,1206.222222,1207.927273,1209.632323,1211.337374,1213.042424,1214.747475,1216.452525,1218.157576,1219.862626,1221.567677,1223.272727,1224.977778,1226.682828,1228.387879,1230.092929,1231.797980,1233.503030,1235.208081,1236.913131,1238.618182,1240.323232,1242.028283,1243.733333,1245.438384,1247.143434,1248.848485,1250.553535,1252.258586,1253.963636,1255.668687,1257.373737,1259.078788,1260.783838,1262.488889,1264.193939,1265.898990,1267.604040,1269.309091,1271.014141,1272.719192,1274.424242,1276.129293,1277.834343,1279.539394,1281.244444,1282.949495,1284.654545,1286.359596,1288.064646,1289.769697,1291.474747,1293.179798,1294.884848,1296.589899,1298.294949,1300.000000","0.588123,0.587319,0.586515,0.585712,0.584910,0.584108,0.583306,0.582506,0.581705,0.580905,0.580106,0.579307,0.578509,0.577711,0.576914,0.576118,0.575322,0.574526,0.573731,0.572937,0.572143,0.571349,0.570557,0.569764,0.568973,0.568181,0.567391,0.566601,0.565811,0.565022,0.564233,0.563445,0.562658,0.561871,0.561085,0.560299,0.559514,0.558729,0.557945,0.557161,0.556378,0.555595,0.554813,0.554032,0.553251,0.552470,0.551690,0.550911,0.550132,0.549354,0.548576,0.547799,0.547022,0.546246,0.545470,0.544695,0.543921,0.543147,0.542373,0.541600,0.540828,0.540056,0.539285,0.538514,0.537744,0.536974,0.536205,0.535436,0.534668,0.533900,0.533133,0.532367,0.531601,0.530836,0.530071,0.529306,0.528543,0.527779,0.527017,0.526255,0.525493,0.524732,0.523971,0.523211,0.522452,0.521693,0.520934,0.520177,0.519419,0.518662,0.517906,0.517150,0.516395,0.515641,0.514887,0.514133,0.513380,0.512627,0.511875,0.511124"
1.0LiCl,"883.000000,887.717172,892.434343,897.151515,901.868687,906.585859,911.303030,916.020202,920.737374,925.454545,930.171717,934.888889,939.606061,944.323232,949.040404,953.757576,958.474747,963.191919,967.909091,972.626263,977.343434,982.060606,986.777778,991.494949,996.212121,1000.929293,1005.646465,1010.363636,1015.080808,1019.797980,1024.515152,1029.232323,1033.949495,1038.666667,1043.383838,1048.101010,1052.818182,1057.535354,1062.252525,1066.969697,1071.686869,1076.404040,1081.121212,1085.838384,1090.555556,1095.272727,1099.989899,1104.707071,1109.424242,1114.141414,1118.858586,1123.575758,1128.292929,1133.010101,1137.727273,1142.444444,1147.161616,1151.878788,1156.595960,1161.313131,1166.030303,1170.747475,1175.464646,1180.181818,1184.898990,1189.616162,1194.333333,1199.050505,1203.767677,1208.484848,1213.202020,1217.919192,1222.636364,1227.353535,1232.070707,1236.787879,1241.505051,1246.222222,1250.939394,1255.656566,1260.373737,1265.090909,1269.808081,1274.525253,1279.242424,1283.959596,1288.676768,1293.393939,1298.111111,1302.828283,1307.545455,1312.262626,1316.979798,1321.696970,1326.414141,1331.131313,1335.848485,1340.565657,1345.282828,1350.000000","0.680963,0.678728,0.676496,0.674268,0.672043,0.669822,0.667605,0.665391,0.663181,0.660974,0.658771,0.656571,0.654375,0.652183,0.649994,0.647809,0.645627,0.643449,0.641274,0.639103,0.636935,0.634771,0.632611,0.630454,0.628301,0.626151,0.624005,0.621862,0.619723,0.617588,0.615456,0.613328,0.611203,0.609082,0.606964,0.604850,0.602740,0.600633,0.598529,0.596430,0.594333,0.592241,0.590152,0.588066,0.585984,0.583906,0.581831,0.579760,0.577692,0.575628,0.573567,0.571510,0.569457,0.567407,0.565361,0.563318,0.561279,0.559243,0.557211,0.555183,0.553158,0.551136,0.549119,0.547104,0.545094,0.543087,0.541083,0.539083,0.537087,0.535094,0.533105,0.531119,0.529137,0.527158,0.525183,0.523212,0.521244,0.519280,0.517319,0.515362,0.513408,0.511458,0.509512,0.507569,0.505629,0.503693,0.501761,0.499833,0.497908,0.495986,0.494068,0.492154,0.490243,0.488336,0.486432,0.484532,0.482635,0.480742,0.478853,0.476967"
1.0NaCl,"1073.800000,1077.094949,1080.389899,1083.684848,1086.979798,1090.274747,1093.569697,1096.864646,1100.159596,1103.454545,1106.749495,1110.044444,1113.339394,1116.634343,1119.929293,1123.224242,1126.519192,1129.814141,1133.109091,1136.404040,1139.698990,1142.993939,1146.288889,1149.583838,1152.878788,1156.173737,1159.468687,1162.763636,1166.058586,1169.353535,1172.648485,1175.943434,1179.238384,1182.533333,1185.828283,1189.123232,1192.418182,1195.713131,1199.008081,1202.303030,1205.597980,1208.892929,1212.187879,1215.482828,1218.777778,1222.072727,1225.367677,1228.662626,1231.957576,1235.252525,1238.547475,1241.842424,1245.137374,1248.432323,1251.727273,1255.022222,1258.317172,1261.612121,1264.907071,1268.202020,1271.496970,1274.791919,1278.086869,1281.381818,1284.676768,1287.971717,1291.266667,1294.561616,1297.856566,1301.151515,1304.446465,1307.741414,1311.036364,1314.331313,1317.626263,1320.921212,1324.216162,1327.511111,1330.806061,1334.101010,1337.395960,1340.690909,1343.985859,1347.280808,1350.575758,1353.870707,1357.165657,1360.460606,1363.755556,1367.050505,1370.345455,1373.640404,1376.935354,1380.230303,1383.525253,1386.820202,1390.115152,1393.410101,1396.705051,1400.000000","0.498004,0.496586,0.495170,0.493755,0.492343,0.490933,0.489524,0.488118,0.486714,0.485311,0.483910,0.482512,0.481115,0.479720,0.478328,0.476937,0.475548,0.474161,0.472776,0.471393,0.470012,0.468633,0.467255,0.465880,0.464507,0.463135,0.461766,0.460398,0.459033,0.457669,0.456308,0.454948,0.453590,0.452234,0.450880,0.449529,0.448179,0.446831,0.445484,0.444140,0.442798,0.441458,0.440120,0.438783,0.437449,0.436116,0.434786,0.433457,0.432131,0.430806,0.429483,0.428163,0.426844,0.425527,0.424212,0.422899,0.421588,0.420279,0.418972,0.417666,0.416363,0.415062,0.413763,0.412465,0.411170,0.409876,0.408585,0.407295,0.406007,0.404721,0.403438,0.402156,0.400876,0.399598,0.398322,0.397048,0.395776,0.394506,0.393237,0.391971,0.390707,0.389444,0.388184,0.386926,0.385669,0.384414,0.383162,0.381911,0.380662,0.379415,0.378171,0.376928,0.375687,0.374448,0.373211,0.371975,0.370742,0.369511,0.368282,0.367054"
1.0KCl,"1042.700000,1046.309091,1049.918182,1053.527273,1057.136364,1060.745455,1064.354545,1067.963636,1071.572727,1075.181818,1078.790909,1082.400000,1086.009091,1089.618182,1093.227273,1096.836364,1100.445455,1104.054545,1107.663636,1111.272727,1114.881818,1118.490909,1122.100000,1125.709091,1129.318182,1132.927273,1136.536364,1140.145455,1143.754545,1147.363636,1150.972727,1154.581818,1158.190909,1161.800000,1165.409091,1169.018182,1172.627273,1176.236364,1179.845455,1183.454545,1187.063636,1190.672727,1194.281818,1197.890909,1201.500000,1205.109091,1208.718182,1212.327273,1215.936364,1219.545455,1223.154545,1226.763636,1230.372727,1233.981818,1237.590909,1241.200000,1244.809091,1248.418182,1252.027273,1255.636364,1259.245455,1262.854545,1266.463636,1270.072727,1273.681818,1277.290909,1280.900000,1284.509091,1288.118182,1291.727273,1295.336364,1298.945455,1302.554545,1306.163636,1309.772727,1313.381818,1316.990909,1320.600000,1324.209091,1327.818182,1331.427273,1335.036364,1338.645455,1342.254545,1345.863636,1349.472727,1353.081818,1356.690909,1360.300000,1363.909091,1367.518182,1371.127273,1374.736364,1378.345455,1381.954545,1385.563636,1389.172727,1392.781818,1396.390909,1400.000000","0.418823,0.417434,0.416048,0.414664,0.413282,0.411902,0.410525,0.409149,0.407776,0.406406,0.405037,0.403671,0.402307,0.400945,0.399586,0.398228,0.396873,0.395521,0.394170,0.392822,0.391476,0.390132,0.388790,0.387451,0.386114,0.384779,0.383446,0.382116,0.380788,0.379462,0.378138,0.376816,0.375497,0.374180,0.372866,0.371553,0.370243,0.368935,0.367629,0.366325,0.365024,0.363725,0.362428,0.361134,0.359841,0.358551,0.357263,0.355978,0.354694,0.353413,0.352134,0.350858,0.349583,0.348311,0.347041,0.345773,0.344508,0.343245,0.341984,0.340725,0.339468,0.338214,0.336962,0.335712,0.334465,0.333220,0.331976,0.330736,0.329497,0.328261,0.327027,0.325795,0.324565,0.323338,0.322112,0.320890,0.319669,0.318450,0.317234,0.316020,0.314808,0.313599,0.312392,0.311187,0.309984,0.308783,0.307585,0.306389,0.305195,0.304004,0.302814,0.301627,0.300442,0.299260,0.298079,0.296901,0.295725,0.294552,0.293380,0.292211"
1.0MgCl2,"987.000000,991.171717,995.343434,999.515152,1003.686869,1007.858586,1012.030303,1016.202020,1020.373737,1024.545455,1028.717172,1032.888889,1037.060606,1041.232323,1045.404040,1049.575758,1053.747475,1057.919192,1062.090909,1066.262626,1070.434343,1074.606061,1078.777778,1082.949495,1087.121212,1091.292929,1095.464646,1099.636364,1103.808081,1107.979798,1112.151515,1116.323232,1120.494949,1124.666667,1128.838384,1133.010101,1137.181818,1141.353535,1145.525253,1149.696970,1153.868687,1158.040404,1162.212121,1166.383838,1170.555556,1174.727273,1178.898990,1183.070707,1187.242424,1191.414141,1195.585859,1199.757576,1203.929293,1208.101010,1212.272727,1216.444444,1220.616162,1224.787879,1228.959596,1233.131313,1237.303030,1241.474747,1245.646465,1249.818182,1253.989899,1258.161616,1262.333333,1266.505051,1270.676768,1274.848485,1279.020202,1283.191919,1287.363636,1291.535354,1295.707071,1299.878788,1304.050505,1308.222222,1312.393939,1316.565657,1320.737374,1324.909091,1329.080808,1333.252525,1337.424242,1341.595960,1345.767677,1349.939394,1354.111111,1358.282828,1362.454545,1366.626263,1370.797980,1374.969697,1379.141414,1383.313131,1387.484848,1391.656566,1395.828283,1400.000000","0.517918,0.517549,0.517179,0.516810,0.516441,0.516071,0.515702,0.515333,0.514963,0.514594,0.514225,0.513855,0.513486,0.513117,0.512747,0.512378,0.512009,0.511639,0.511270,0.510901,0.510531,0.510162,0.509793,0.509423,0.509054,0.508685,0.508316,0.507946,0.507577,0.507208,0.506838,0.506469,0.506100,0.505730,0.505361,0.504992,0.504622,0.504253,0.503884,0.503514,0.503145,0.502776,0.502406,0.502037,0.501668,0.501298,0.500929,0.500560,0.500190,0.499821,0.499452,0.499082,0.498713,0.498344,0.497974,0.497605,0.497236,0.496866,0.496497,0.496128,0.495758,0.495389,0.495020,0.494650,0.494281,0.493912,0.493543,0.493173,0.492804,0.492435,0.492065,0.491696,0.491327,0.490957,0.490588,0.490219,0.489849,0.489480,0.489111,0.488741,0.488372,0.488003,0.487633,0.487264,0.486895,0.486525,0.486156,0.485787,0.485417,0.485048,0.484679,0.484309,0.483940,0.483571,0.483201,0.482832,0.482463,0.482093,0.481724,0.481355"
1.0CaCl2,"1045.000000,1047.575758,1050.151515,1052.727273,1055.303030,1057.878788,1060.454545,1063.030303,1065.606061,1068.181818,1070.757576,1073.333333,1075.909091,1078.484848,1081.060606,1083.636364,1086.212121,1088.787879,1091.363636,1093.939394,1096.515152,1099.090909,1101.666667,1104.242424,1106.818182,1109.393939,1111.969697,1114.545455,1117.121212,1119.696970,1122.272727,1124.848485,1127.424242,1130.000000,1132.575758,1135.151515,1137.727273,1140.303030,1142.878788,1145.454545,1148.030303,1150.606061,1153.181818,1155.757576,1158.333333,1160.909091,1163.484848,1166.060606,1168.636364,1171.212121,1173.787879,1176.363636,1178.939394,1181.515152,1184.090909,1186.666667,1189.242424,1191.818182,1194.393939,1196.969697,1199.545455,1202.121212,1204.696970,1207.272727,1209.848485,1212.424242,1215.000000,1217.575758,1220.151515,1222.727273,1225.303030,1227.878788,1230.454545,1233.030303,1235.606061,1238.181818,1240.757576,1243.333333,1245.909091,1248.484848,1251.060606,1253.636364,1256.212121,1258.787879,1261.363636,1263.939394,1266.515152,1269.090909,1271.666667,1274.242424,1276.818182,1279.393939,1281.969697,1284.545455,1287.121212,1289.696970,1292.272727,1294.848485,1297.424242,1300.000000","0.631325,0.630995,0.630666,0.630337,0.630007,0.629678,0.629348,0.629019,0.628689,0.628360,0.628030,0.627701,0.627372,0.627042,0.626713,0.626383,0.626054,0.625724,0.625395,0.625066,0.624736,0.624407,0.624077,0.623748,0.623418,0.623089,0.622759,0.622430,0.622101,0.621771,0.621442,0.621112,0.620783,0.620453,0.620124,0.619795,0.619465,0.619136,0.618806,0.618477,0.618147,0.617818,0.617488,0.617159,0.616830,0.616500,0.616171,0.615841,0.615512,0.615182,0.614853,0.614523,0.614194,0.613865,0.613535,0.613206,0.612876,0.612547,0.612217,0.611888,0.611559,0.611229,0.610900,0.610570,0.610241,0.609911,0.609582,0.609252,0.608923,0.608594,0.608264,0.607935,0.607605,0.607276,0.606946,0.606617,0.606288,0.605958,0.605629,0.605299,0.604970,0.604640,0.604311,0.603981,0.603652,0.603323,0.602993,0.602664,0.602334,0.602005,0.601675,0.601346,0.601016,0.600687,0.600358,0.600028,0.599699,0.599369,0.599040,0.598710"
1.0SrCl2,"1146.000000,1147.555556,1149.111111,1150.666667,1152.222222,1153.777778,1155.333333,1156.888889,1158.444444,1160.000000,1161.555556,1163.111111,1164.666667,1166.222222,1167.777778,1169.333333,1170.888889,1172.444444,1174.000000,1175.555556,1177.111111,1178.666667,1180.222222,1181.777778,1183.333333,1184.888889,1186.444444,1188.000000,1189.555556,1191.111111,1192.666667,1194.222222,1195.777778,1197.333333,1198.888889,1200.444444,1202.000000,1203.555556,1205.111111,1206.666667,1208.222222,1209.777778,1211.333333,1212.888889,1214.444444,1216.000000,1217.555556,1219.111111,1220.666667,1222.222222,1223.777778,1225.333333,1226.888889,1228.444444,1230.000000,1231.555556,1233.111111,1234.666667,1236.222222,1237.777778,1239.333333,1240.888889,1242.444444,1244.000000,1245.555556,1247.111111,1248.666667,1250.222222,1251.777778,1253.333333,1254.888889,1256.444444,1258.000000,1259.555556,1261.111111,1262.666667,1264.222222,1265.777778,1267.333333,1268.888889,1270.444444,1272.000000,1273.555556,1275.111111,1276.666667,1278.222222,1279.777778,1281.333333,1282.888889,1284.444444,1286.000000,1287.555556,1289.111111,1290.666667,1292.222222,1293.777778,1295.333333,1296.888889,1298.444444,1300.000000","0.568753,0.568565,0.568378,0.568190,0.568003,0.567815,0.567628,0.567440,0.567253,0.567065,0.566878,0.566690,0.566503,0.566315,0.566128,0.565940,0.565753,0.565565,0.565378,0.565190,0.565003,0.564816,0.564628,0.564441,0.564253,0.564066,0.563878,0.563691,0.563503,0.563316,0.563128,0.562941,0.562753,0.562566,0.562378,0.562191,0.562003,0.561816,0.561628,0.561441,0.561253,0.561066,0.560878,0.560691,0.560503,0.560316,0.560129,0.559941,0.559754,0.559566,0.559379,0.559191,0.559004,0.558816,0.558629,0.558441,0.558254,0.558066,0.557879,0.557691,0.557504,0.557316,0.557129,0.556941,0.556754,0.556566,0.556379,0.556191,0.556004,0.555816,0.555629,0.555442,0.555254,0.555067,0.554879,0.554692,0.554504,0.554317,0.554129,0.553942,0.553754,0.553567,0.553379,0.553192,0.553004,0.552817,0.552629,0.552442,0.552254,0.552067,0.551879,0.551692,0.551504,0.551317,0.551129,0.550942,0.550755,0.550567,0.550380,0.550192"
