Salt,Temperatures_K,Thermal_Conductivity_W_mK
0.6LiF-0.4NaF,"930.000000,932.727273,935.454545,938.181818,940.909091,943.636364,946.363636,949.090909,951.818182,954.545455,957.272727,960.000000,962.727273,965.454545,968.181818,970.909091,973.636364,976.363636,979.090909,981.818182,984.545455,987.272727,990.000000,992.727273,995.454545,998.181818,1000.909091,1003.636364,1006.363636,1009.090909,1011.818182,1014.545455,1017.272727,1020.000000,1022.727273,1025.454545,1028.181818,1030.909091,1033.636364,1036.363636,1039.090909,1041.818182,1044.545455,1047.272727,1050.000000,1052.727273,1055.454545,1058.181818,1060.909091,1063.636364,1066.363636,1069.090909,1071.818182,1074.545455,1077.272727,1080.000000,1082.727273,1085.454545,1088.181818,1090.909091,1093.636364,1096.363636,1099.090909,1101.818182,1104.545455,1107.272727,1110.000000,1112.727273,1115.454545,1118.181818,1120.909091,1123.636364,1126.363636,1129.090909,1131.818182,1134.545455,1137.272727,1140.000000,1142.727273,1145.454545,1148.181818,1150.909091,1153.636364,1156.363636,1159.090909,1161.818182,1164.545455,1167.272727,1170.000000,1172.727273,1175.454545,1178.181818,1180.909091,1183.636364,1186.363636,1189.090909,1191.818182,1194.545455,1197.272727,1200.000000","0.721034,0.719876,0.718720,0.717564,0.716409,0.715256,0.714103,0.712951,0.711800,0.710649,0.709500,0.708352,0.707205,0.706058,0.704913,0.703768,0.702624,0.701482,0.700340,0.699199,0.698059,0.696920,0.695782,0.694645,0.693509,0.692373,0.691239,0.690105,0.688973,0.687841,0.686711,0.685581,0.684452,0.683324,0.682197,0.681071,0.679946,0.678822,0.677699,0.676576,0.675455,0.674334,0.673215,0.672096,0.670978,0.669862,0.668746,0.667631,0.666517,0.665404,0.664292,0.663180,0.662070,0.660961,0.659852,0.658745,0.657638,0.656532,0.655428,0.654324,0.653221,0.652119,0.651018,0.649918,0.648819,0.647720,0.646623,0.645527,0.644431,0.643336,0.642243,0.641150,0.640058,0.638967,0.637878,0.636789,0.635700,0.634613,0.633527,0.632442,0.631357,0.630274,0.629191,0.628110,0.627029,0.625949,0.624871,0.623793,0.622716,0.621640,0.620565,0.619490,0.618417,0.617345,0.616273,0.615203,0.614133,0.613065,0.611997,0.610930"
0.5BeF2-0.5LiF,"654.000000,657.494949,660.989899,664.484848,667.979798,671.474747,674.969697,678.464646,681.959596,685.454545,688.949495,692.444444,695.939394,699.434343,702.929293,706.424242,709.919192,713.414141,716.909091,720.404040,723.898990,727.393939,730.888889,734.383838,737.878788,741.373737,744.868687,748.363636,751.858586,755.353535,758.848485,762.343434,765.838384,769.333333,772.828283,776.323232,779.818182,783.313131,786.808081,790.303030,793.797980,797.292929,800.787879,804.282828,807.777778,811.272727,814.767677,818.262626,821.757576,825.252525,828.747475,832.242424,835.737374,839.232323,842.727273,846.222222,849.717172,853.212121,856.707071,860.202020,863.696970,867.191919,870.686869,874.181818,877.676768,881.171717,884.666667,888.161616,891.656566,895.151515,898.646465,902.141414,905.636364,909.131313,912.626263,916.121212,919.616162,923.111111,926.606061,930.101010,933.595960,937.090909,940.585859,944.080808,947.575758,951.070707,954.565657,958.060606,961.555556,965.050505,968.545455,972.040404,975.535354,979.030303,982.525253,986.020202,989.515152,993.010101,996.505051,1000.000000","0.732448,0.731734,0.731019,0.730303,0.729585,0.728867,0.728147,0.727427,0.726705,0.725982,0.725258,0.724532,0.723806,0.723078,0.722350,0.721620,0.720889,0.720157,0.719423,0.718689,0.717953,0.717216,0.716478,0.715739,0.714999,0.714257,0.713514,0.712770,0.712025,0.711279,0.710531,0.709783,0.709033,0.708282,0.707529,0.706776,0.706021,0.705265,0.704507,0.703749,0.702989,0.702228,0.701466,0.700703,0.699938,0.699172,0.698405,0.697636,0.696866,0.696095,0.695323,0.694549,0.693775,0.692998,0.692221,0.691442,0.690662,0.689881,0.689099,0.688315,0.687529,0.686743,0.685955,0.685166,0.684376,0.683584,0.682791,0.681997,0.681201,0.680404,0.679605,0.678806,0.678005,0.677202,0.676399,0.675593,0.674787,0.673979,0.673170,0.672360,0.671548,0.670734,0.669920,0.669104,0.668286,0.667468,0.666647,0.665826,0.665003,0.664179,0.663353,0.662526,0.661697,0.660867,0.660036,0.659203,0.658369,0.657534,0.656697,0.655858"
0.34BeF2-0.66LiF,"713.150000,718.067677,722.985354,727.903030,732.820707,737.738384,742.656061,747.573737,752.491414,757.409091,762.326768,767.244444,772.162121,777.079798,781.997475,786.915152,791.832828,796.750505,801.668182,806.585859,811.503535,816.421212,821.338889,826.256566,831.174242,836.091919,841.009596,845.927273,850.844949,855.762626,860.680303,865.597980,870.515657,875.433333,880.351010,885.268687,890.186364,895.104040,900.021717,904.939394,909.857071,914.774747,919.692424,924.610101,929.527778,934.445455,939.363131,944.280808,949.198485,954.116162,959.033838,963.951515,968.869192,973.786869,978.704545,983.622222,988.539899,993.457576,998.375253,1003.292929,1008.210606,1013.128283,1018.045960,1022.963636,1027.881313,1032.798990,1037.716667,1042.634343,1047.552020,1052.469697,1057.387374,1062.305051,1067.222727,1072.140404,1077.058081,1081.975758,1086.893434,1091.811111,1096.728788,1101.646465,1106.564141,1111.481818,1116.399495,1121.317172,1126.234848,1131.152525,1136.070202,1140.987879,1145.905556,1150.823232,1155.740909,1160.658586,1165.576263,1170.493939,1175.411616,1180.329293,1185.246970,1190.164646,1195.082323,1200.000000","1.126257,1.123198,1.120143,1.117092,1.114045,1.111002,1.107963,1.104928,1.101897,1.098871,1.095848,1.092830,1.089815,1.086805,1.083798,1.080796,1.077798,1.074804,1.071814,1.068828,1.065846,1.062869,1.059895,1.056925,1.053960,1.050998,1.048041,1.045087,1.042138,1.039193,1.036252,1.033315,1.030382,1.027453,1.024528,1.021608,1.018691,1.015778,1.012870,1.009965,1.007065,1.004169,1.001277,0.998388,0.995504,0.992624,0.989748,0.986877,0.984009,0.981145,0.978286,0.975430,0.972579,0.969731,0.966888,0.964049,0.961213,0.958382,0.955555,0.952732,0.949914,0.947099,0.944288,0.941481,0.938679,0.935880,0.933086,0.930296,0.927509,0.924727,0.921949,0.919175,0.916405,0.913639,0.910877,0.908120,0.905366,0.902616,0.899871,0.897129,0.894392,0.891659,0.888930,0.886204,0.883483,0.880766,0.878053,0.875345,0.872640,0.869939,0.867242,0.864550,0.861861,0.859177,0.856497,0.853820,0.851148,0.848480,0.845816,0.843156"
0.66LiF-0.34BeF2,"713.150000,718.067677,722.985354,727.903030,732.820707,737.738384,742.656061,747.573737,752.491414,757.409091,762.326768,767.244444,772.162121,777.079798,781.997475,786.915152,791.832828,796.750505,801.668182,806.585859,811.503535,816.421212,821.338889,826.256566,831.174242,836.091919,841.009596,845.927273,850.844949,855.762626,860.680303,865.597980,870.515657,875.433333,880.351010,885.268687,890.186364,895.104040,900.021717,904.939394,909.857071,914.774747,919.692424,924.610101,929.527778,934.445455,939.363131,944.280808,949.198485,954.116162,959.033838,963.951515,968.869192,973.786869,978.704545,983.622222,988.539899,993.457576,998.375253,1003.292929,1008.210606,1013.128283,1018.045960,1022.963636,1027.881313,1032.798990,1037.716667,1042.634343,1047.552020,1052.469697,1057.387374,1062.305051,1067.222727,1072.140404,1077.058081,1081.975758,1086.893434,1091.811111,1096.728788,1101.646465,1106.564141,1111.481818,1116.399495,1121.317172,1126.234848,1131.152525,1136.070202,1140.987879,1145.905556,1150.823232,1155.740909,1160.658586,1165.576263,1170.493939,1175.411616,1180.329293,1185.246970,1190.164646,1195.082323,1200.000000","1.126257,1.123198,1.120143,1.117092,1.114045,1.111002,1.107963,1.104928,1.101897,1.098871,1.095848,1.092830,1.089815,1.086805,1.083798,1.080796,1.077798,1.074804,1.071814,1.068828,1.065846,1.062869,1.059895,1.056925,1.053960,1.050998,1.048041,1.045087,1.042138,1.039193,1.036252,1.033315,1.030382,1.027453,1.024528,1.021608,1.018691,1.015778,1.012870,1.009965,1.007065,1.004169,1.001277,0.998388,0.995504,0.992624,0.989748,0.986877,0.984009,0.981145,0.978286,0.975430,0.972579,0.969731,0.966888,0.964049,0.961213,0.958382,0.955555,0.952732,0.949914,0.947099,0.944288,0.941481,0.938679,0.935880,0.933086,0.930296,0.927509,0.924727,0.921949,0.919175,0.916405,0.913639,0.910877,0.908120,0.905366,0.902616,0.899871,0.897129,0.894392,0.891659,0.888930,0.886204,0.883483,0.880766,0.878053,0.875345,0.872640,0.869939,0.867242,0.864550,0.861861,0.859177,0.856497,0.853820,0.851148,0.848480,0.845816,0.843156"
0.625LiF-0.3125BeF2-0.0625ThF4,"713.150000,718.067677,722.985354,727.903030,732.820707,737.738384,742.656061,747.573737,752.491414,757.409091,762.326768,767.244444,772.162121,777.079798,781.997475,786.915152,791.832828,796.750505,801.668182,806.585859,811.503535,816.421212,821.338889,826.256566,831.174242,836.091919,841.009596,845.927273,850.844949,855.762626,860.680303,865.597980,870.515657,875.433333,880.351010,885.268687,890.186364,895.104040,900.021717,904.939394,909.857071,914.774747,919.692424,924.610101,929.527778,934.445455,939.363131,944.280808,949.198485,954.116162,959.033838,963.951515,968.869192,973.786869,978.704545,983.622222,988.539899,993.457576,998.375253,1003.292929,1008.210606,1013.128283,1018.045960,1022.963636,1027.881313,1032.798990,1037.716667,1042.634343,1047.552020,1052.469697,1057.387374,1062.305051,1067.222727,1072.140404,1077.058081,1081.975758,1086.893434,1091.811111,1096.728788,1101.646465,1106.564141,1111.481818,1116.399495,1121.317172,1126.234848,1131.152525,1136.070202,1140.987879,1145.905556,1150.823232,1155.740909,1160.658586,1165.576263,1170.493939,1175.411616,1180.329293,1185.246970,1190.164646,1195.082323,1200.000000","0.648510,0.647733,0.646954,0.646172,0.645387,0.644600,0.643809,0.643016,0.642220,0.641421,0.640619,0.639815,0.639007,0.638197,0.637384,0.636568,0.635749,0.634927,0.634102,0.633274,0.632444,0.631610,0.630774,0.629934,0.629092,0.628247,0.627398,0.626547,0.625692,0.624835,0.623975,0.623112,0.622245,0.621376,0.620503,0.619628,0.618749,0.617868,0.616983,0.616096,0.615205,0.614311,0.613414,0.612514,0.611611,0.610704,0.609795,0.608883,0.607967,0.607048,0.606126,0.605201,0.604273,0.603341,0.602407,0.601469,0.600528,0.599584,0.598637,0.597686,0.596733,0.595776,0.594815,0.593852,0.592885,0.591916,0.590943,0.589966,0.588987,0.588004,0.587018,0.586028,0.585036,0.584040,0.583041,0.582038,0.581033,0.580024,0.579011,0.577996,0.576977,0.575955,0.574929,0.573900,0.572868,0.571833,0.570794,0.569752,0.568706,0.567658,0.566605,0.565550,0.564491,0.563429,0.562364,0.561295,0.560223,0.559147,0.558069,0.556986"
0.60LiF-0.30BeF2-0.10ThF4,"713.150000,718.067677,722.985354,727.903030,732.820707,737.738384,742.656061,747.573737,752.491414,757.409091,762.326768,767.244444,772.162121,777.079798,781.997475,786.915152,791.832828,796.750505,801.668182,806.585859,811.503535,816.421212,821.338889,826.256566,831.174242,836.091919,841.009596,845.927273,850.844949,855.762626,860.680303,865.597980,870.515657,875.433333,880.351010,885.268687,890.186364,895.104040,900.021717,904.939394,909.857071,914.774747,919.692424,924.610101,929.527778,934.445455,939.363131,944.280808,949.198485,954.116162,959.033838,963.951515,968.869192,973.786869,978.704545,983.622222,988.539899,993.457576,998.375253,1003.292929,1008.210606,1013.128283,1018.045960,1022.963636,1027.881313,1032.798990,1037.716667,1042.634343,1047.552020,1052.469697,1057.387374,1062.305051,1067.222727,1072.140404,1077.058081,1081.975758,1086.893434,1091.811111,1096.728788,1101.646465,1106.564141,1111.481818,1116.399495,1121.317172,1126.234848,1131.152525,1136.070202,1140.987879,1145.905556,1150.823232,1155.740909,1160.658586,1165.576263,1170.493939,1175.411616,1180.329293,1185.246970,1190.164646,1195.082323,1200.000000","0.599095,0.598417,0.597737,0.597055,0.596370,0.595683,0.594993,0.594301,0.593606,0.592910,0.592210,0.591509,0.590805,0.590098,0.589389,0.588677,0.587963,0.587247,0.586528,0.585807,0.585083,0.584356,0.583627,0.582896,0.582162,0.581425,0.580686,0.579944,0.579200,0.578453,0.577704,0.576952,0.576197,0.575440,0.574680,0.573917,0.573152,0.572384,0.571614,0.570841,0.570065,0.569286,0.568505,0.567721,0.566935,0.566145,0.565353,0.564559,0.563761,0.562961,0.562158,0.561352,0.560544,0.559733,0.558919,0.558102,0.557282,0.556460,0.555635,0.554807,0.553976,0.553142,0.552306,0.551466,0.550624,0.549779,0.548931,0.548080,0.547227,0.546370,0.545511,0.544648,0.543783,0.542915,0.542044,0.541169,0.540292,0.539413,0.538530,0.537644,0.536755,0.535863,0.534969,0.534071,0.533170,0.532267,0.531360,0.530450,0.529538,0.528622,0.527703,0.526781,0.525857,0.524929,0.523998,0.523064,0.522127,0.521187,0.520244,0.519298"
0.5455LiF-0.2727BeF2-0.1818ThF4,"713.150000,718.067677,722.985354,727.903030,732.820707,737.738384,742.656061,747.573737,752.491414,757.409091,762.326768,767.244444,772.162121,777.079798,781.997475,786.915152,791.832828,796.750505,801.668182,806.585859,811.503535,816.421212,821.338889,826.256566,831.174242,836.091919,841.009596,845.927273,850.844949,855.762626,860.680303,865.597980,870.515657,875.433333,880.351010,885.268687,890.186364,895.104040,900.021717,904.939394,909.857071,914.774747,919.692424,924.610101,929.527778,934.445455,939.363131,944.280808,949.198485,954.116162,959.033838,963.951515,968.869192,973.786869,978.704545,983.622222,988.539899,993.457576,998.375253,1003.292929,1008.210606,1013.128283,1018.045960,1022.963636,1027.881313,1032.798990,1037.716667,1042.634343,1047.552020,1052.469697,1057.387374,1062.305051,1067.222727,1072.140404,1077.058081,1081.975758,1086.893434,1091.811111,1096.728788,1101.646465,1106.564141,1111.481818,1116.399495,1121.317172,1126.234848,1131.152525,1136.070202,1140.987879,1145.905556,1150.823232,1155.740909,1160.658586,1165.576263,1170.493939,1175.411616,1180.329293,1185.246970,1190.164646,1195.082323,1200.000000","0.528511,0.527974,0.527435,0.526895,0.526353,0.525809,0.525264,0.524717,0.524168,0.523617,0.523064,0.522510,0.521954,0.521396,0.520836,0.520275,0.519711,0.519146,0.518579,0.518010,0.517440,0.516867,0.516292,0.515716,0.515138,0.514558,0.513976,0.513392,0.512806,0.512218,0.511628,0.511036,0.510443,0.509847,0.509250,0.508650,0.508048,0.507445,0.506839,0.506232,0.505622,0.505010,0.504396,0.503781,0.503163,0.502543,0.501921,0.501297,0.500671,0.500043,0.499412,0.498780,0.498145,0.497508,0.496870,0.496228,0.495585,0.494940,0.494292,0.493643,0.492991,0.492336,0.491680,0.491021,0.490361,0.489698,0.489032,0.488365,0.487695,0.487023,0.486348,0.485672,0.484993,0.484311,0.483628,0.482942,0.482253,0.481563,0.480870,0.480174,0.479477,0.478777,0.478074,0.477369,0.476662,0.475952,0.475240,0.474525,0.473808,0.473089,0.472367,0.471643,0.470916,0.470186,0.469454,0.468720,0.467983,0.467244,0.466502,0.465757"
0.5LiCl-0.5KCl,"738.000000,741.656566,745.313131,748.969697,752.626263,756.282828,759.939394,763.595960,767.252525,770.909091,774.565657,778.222222,781.878788,785.535354,789.191919,792.848485,796.505051,800.161616,803.818182,807.474747,811.131313,814.787879,818.444444,822.101010,825.757576,829.414141,833.070707,836.727273,840.383838,844.040404,847.696970,851.353535,855.010101,858.666667,862.323232,865.979798,869.636364,873.292929,876.949495,880.606061,884.262626,887.919192,891.575758,895.232323,898.888889,902.545455,906.202020,909.858586,913.515152,917.171717,920.828283,924.484848,928.141414,931.797980,935.454545,939.111111,942.767677,946.424242,950.080808,953.737374,957.393939,961.050505,964.707071,968.363636,972.020202,975.676768,979.333333,982.989899,986.646465,990.303030,993.959596,997.616162,1001.272727,1004.929293,1008.585859,1012.242424,1015.898990,1019.555556,1023.212121,1026.868687,1030.525253,1034.181818,1037.838384,1041.494949,1045.151515,1048.808081,1052.464646,1056.121212,1059.777778,1063.434343,1067.090909,1070.747475,1074.404040,1078.060606,1081.717172,1085.373737,1089.030303,1092.686869,1096.343434,1100.000000","0.382775,0.381710,0.380646,0.379584,0.378523,0.377464,0.376406,0.375349,0.374294,0.373240,0.372188,0.371137,0.370087,0.369039,0.367992,0.366947,0.365903,0.364860,0.363819,0.362779,0.361741,0.360704,0.359668,0.358634,0.357602,0.356570,0.355540,0.354512,0.353485,0.352459,0.351435,0.350412,0.349390,0.348370,0.347351,0.346334,0.345318,0.344304,0.343291,0.342279,0.341269,0.340260,0.339252,0.338246,0.337242,0.336239,0.335237,0.334236,0.333237,0.332240,0.331243,0.330249,0.329255,0.328263,0.327273,0.326284,0.325296,0.324309,0.323324,0.322341,0.321359,0.320378,0.319399,0.318421,0.317444,0.316469,0.315495,0.314523,0.313552,0.312583,0.311615,0.310648,0.309683,0.308719,0.307756,0.306795,0.305836,0.304877,0.303920,0.302965,0.302011,0.301058,0.300107,0.299157,0.298209,0.297262,0.296316,0.295372,0.294429,0.293488,0.292548,0.291609,0.290672,0.289737,0.288802,0.287869,0.286938,0.286008,0.285079,0.284152"
0.637LiCl-0.363KCl,"665.150000,669.542424,673.934848,678.327273,682.719697,687.112121,691.504545,695.896970,700.289394,704.681818,709.074242,713.466667,717.859091,722.251515,726.643939,731.036364,735.428788,739.821212,744.213636,748.606061,752.998485,757.390909,761.783333,766.175758,770.568182,774.960606,779.353030,783.745455,788.137879,792.530303,796.922727,801.315152,805.707576,810.100000,814.492424,818.884848,823.277273,827.669697,832.062121,836.454545,840.846970,845.239394,849.631818,854.024242,858.416667,862.809091,867.201515,871.593939,875.986364,880.378788,884.771212,889.163636,893.556061,897.948485,902.340909,906.733333,911.125758,915.518182,919.910606,924.303030,928.695455,933.087879,937.480303,941.872727,946.265152,950.657576,955.050000,959.442424,963.834848,968.227273,972.619697,977.012121,981.404545,985.796970,990.189394,994.581818,998.974242,1003.366667,1007.759091,1012.151515,1016.543939,1020.936364,1025.328788,1029.721212,1034.113636,1038.506061,1042.898485,1047.290909,1051.683333,1056.075758,1060.468182,1064.860606,1069.253030,1073.645455,1078.037879,1082.430303,1086.822727,1091.215152,1095.607576,1100.000000","0.432690,0.431303,0.429918,0.428535,0.427154,0.425776,0.424399,0.423025,0.421652,0.420282,0.418914,0.417548,0.416184,0.414822,0.413463,0.412105,0.410750,0.409396,0.408045,0.406696,0.405349,0.404004,0.402661,0.401321,0.399982,0.398646,0.397312,0.395979,0.394649,0.393321,0.391995,0.390672,0.389350,0.388030,0.386713,0.385398,0.384084,0.382773,0.381464,0.380157,0.378853,0.377550,0.376250,0.374951,0.373655,0.372361,0.371068,0.369778,0.368491,0.367205,0.365921,0.364640,0.363360,0.362083,0.360808,0.359535,0.358264,0.356995,0.355728,0.354463,0.353201,0.351940,0.350682,0.349426,0.348172,0.346920,0.345670,0.344422,0.343176,0.341933,0.340691,0.339452,0.338215,0.336980,0.335747,0.334516,0.333287,0.332060,0.330836,0.329613,0.328393,0.327175,0.325958,0.324744,0.323533,0.322323,0.321115,0.319910,0.318706,0.317505,0.316305,0.315108,0.313913,0.312720,0.311530,0.310341,0.309154,0.307970,0.306787,0.305607"
0.5NaCl-0.5KCl,"930.000000,932.727273,935.454545,938.181818,940.909091,943.636364,946.363636,949.090909,951.818182,954.545455,957.272727,960.000000,962.727273,965.454545,968.181818,970.909091,973.636364,976.363636,979.090909,981.818182,984.545455,987.272727,990.000000,992.727273,995.454545,998.181818,1000.909091,1003.636364,1006.363636,1009.090909,1011.818182,1014.545455,1017.272727,1020.000000,1022.727273,1025.454545,1028.181818,1030.909091,1033.636364,1036.363636,1039.090909,1041.818182,1044.545455,1047.272727,1050.000000,1052.727273,1055.454545,1058.181818,1060.909091,1063.636364,1066.363636,1069.090909,1071.818182,1074.545455,1077.272727,1080.000000,1082.727273,1085.454545,1088.181818,1090.909091,1093.636364,1096.363636,1099.090909,1101.818182,1104.545455,1107.272727,1110.000000,1112.727273,1115.454545,1118.181818,1120.909091,1123.636364,1126.363636,1129.090909,1131.818182,1134.545455,1137.272727,1140.000000,1142.727273,1145.454545,1148.181818,1150.909091,1153.636364,1156.363636,1159.090909,1161.818182,1164.545455,1167.272727,1170.000000,1172.727273,1175.454545,1178.181818,1180.909091,1183.636364,1186.363636,1189.090909,1191.818182,1194.545455,1197.272727,1200.000000","0.311450,0.310726,0.310003,0.309280,0.308558,0.307837,0.307117,0.306397,0.305679,0.304961,0.304244,0.303528,0.302813,0.302098,0.301384,0.300671,0.299959,0.299248,0.298538,0.297828,0.297119,0.296411,0.295704,0.294998,0.294292,0.293588,0.292884,0.292181,0.291478,0.290777,0.290076,0.289376,0.288677,0.287979,0.287282,0.286585,0.285890,0.285195,0.284501,0.283807,0.283115,0.282423,0.281732,0.281042,0.280353,0.279665,0.278977,0.278291,0.277605,0.276920,0.276235,0.275552,0.274869,0.274187,0.273506,0.272826,0.272147,0.271468,0.270790,0.270113,0.269437,0.268762,0.268087,0.267414,0.266741,0.266069,0.265398,0.264727,0.264058,0.263389,0.262721,0.262054,0.261387,0.260722,0.260057,0.259393,0.258730,0.258068,0.257407,0.256746,0.256086,0.255427,0.254769,0.254112,0.253455,0.252799,0.252144,0.251490,0.250837,0.250185,0.249533,0.248882,0.248232,0.247583,0.246935,0.246287,0.245640,0.244994,0.244349,0.243705"
