Composition,Method,Temperature_K,Thermal_Conductivity_W_mK
SCM,Present Model,923.0,0.5808348687329907
SCM,Present Model,926.8080808080808,0.5797454312079919
SCM,Present Model,930.6161616161617,0.5786554233883959
SCM,Present Model,934.4242424242424,0.5775648484489695
SCM,Present Model,938.2323232323232,0.5764737095867191
SCM,Present Model,942.040404040404,0.5753820100209145
SCM,Present Model,945.8484848484849,0.5742897529931138
SCM,Present Model,949.6565656565657,0.5731969417671852
SCM,Present Model,953.4646464646464,0.5721035796293309
SCM,Present Model,957.2727272727273,0.5710096698881071
SCM,Present Model,961.0808080808081,0.5699152158744459
SCM,Present Model,964.8888888888889,0.568820220941674
SCM,Present Model,968.6969696969697,0.5677246884655336
SCM,Present Model,972.5050505050505,0.5666286218441988
SCM,Present Model,976.3131313131313,0.5655320244982953
SCM,Present Model,980.1212121212121,0.5644348998709151
SCM,Present Model,983.929292929293,0.5633372514276342
SCM,Present Model,987.7373737373737,0.5622390826565263
SCM,Present Model,991.5454545454545,0.5611403970681778
SCM,Present Model,995.3535353535353,0.5600411981957016
SCM,Present Model,999.1616161616162,0.5589414895947491
SCM,Present Model,1002.969696969697,0.5578412748435222
SCM,Present Model,1006.7777777777778,0.5567405575427843
SCM,Present Model,1010.5858585858585,0.5556393413158701
SCM,Present Model,1014.3939393939394,0.5545376298086956
SCM,Present Model,1018.2020202020202,0.5534354266897654
SCM,Present Model,1022.010101010101,0.552332735650181
SCM,Present Model,1025.8181818181818,0.5512295604036471
SCM,Present Model,1029.6262626262626,0.5501259046864769
SCM,Present Model,1033.4343434343434,0.5490217722575979
SCM,Present Model,1037.2424242424242,0.5479171668985551
SCM,Present Model,1041.050505050505,0.546812092413514
SCM,Present Model,1044.858585858586,0.5457065526292638
SCM,Present Model,1048.6666666666667,0.5446005513952167
SCM,Present Model,1052.4747474747473,0.5434940925834103
SCM,Present Model,1056.2828282828282,0.5423871800885055
SCM,Present Model,1060.090909090909,0.5412798178277856
SCM,Present Model,1063.8989898989898,0.540172009741154
SCM,Present Model,1067.7070707070707,0.5390637597911302
SCM,Present Model,1071.5151515151515,0.5379550719628461
SCM,Present Model,1075.3232323232323,0.5368459502640408
SCM,Present Model,1079.1313131313132,0.5357363987250532
SCM,Present Model,1082.939393939394,0.5346264213988161
SCM,Present Model,1086.7474747474748,0.5335160223608482
SCM,Present Model,1090.5555555555557,0.5324052057092432
SCM,Present Model,1094.3636363636363,0.531293975564662
SCM,Present Model,1098.171717171717,0.5301823360703201
SCM,Present Model,1101.979797979798,0.5290702913919764
SCM,Present Model,1105.7878787878788,0.5279578457179195
SCM,Present Model,1109.5959595959596,0.5268450032589547
SCM,Present Model,1113.4040404040404,0.5257317682483879
SCM,Present Model,1117.2121212121212,0.5246181449420104
SCM,Present Model,1121.020202020202,0.5235041376180818
SCM,Present Model,1124.828282828283,0.5223897505773116
SCM,Present Model,1128.6363636363635,0.521274988142841
SCM,Present Model,1132.4444444444443,0.5201598546602217
SCM,Present Model,1136.2525252525252,0.5190443544973963
SCM,Present Model,1140.060606060606,0.5179284920446753
SCM,Present Model,1143.8686868686868,0.5168122717147142
SCM,Present Model,1147.6767676767677,0.5156956979424903
SCM,Present Model,1151.4848484848485,0.5145787751852758
SCM,Present Model,1155.2929292929293,0.5134615079226132
SCM,Present Model,1159.1010101010102,0.5123439006562878
SCM,Present Model,1162.909090909091,0.5112259579102987
SCM,Present Model,1166.7171717171718,0.5101076842308306
SCM,Present Model,1170.5252525252524,0.5089890841862229
SCM,Present Model,1174.3333333333333,0.5078701623669382
SCM,Present Model,1178.141414141414,0.5067509233855296
SCM,Present Model,1181.949494949495,0.5056313718766087
SCM,Present Model,1185.7575757575758,0.5045115124968093
SCM,Present Model,1189.5656565656566,0.5033913499247523
SCM,Present Model,1193.3737373737374,0.5022708888610097
SCM,Present Model,1197.1818181818182,0.501150134028066
SCM,Present Model,1200.9898989898988,0.5000290901702796
SCM,Present Model,1204.7979797979797,0.4989077620538433
SCM,Present Model,1208.6060606060605,0.49778615446674224
SCM,Present Model,1212.4141414141413,0.49666427221871357
SCM,Present Model,1216.2222222222222,0.4955421201412008
SCM,Present Model,1220.030303030303,0.4944197030873124
SCM,Present Model,1223.8383838383838,0.49329702593177444
SCM,Present Model,1227.6464646464647,0.49217409357088454
SCM,Present Model,1231.4545454545455,0.4910509109224649
SCM,Present Model,1235.2626262626263,0.4899274829258129
SCM,Present Model,1239.0707070707072,0.48880381454165234
SCM,Present Model,1242.878787878788,0.48767991075208156
SCM,Present Model,1246.6868686868686,0.4865557765605223
SCM,Present Model,1250.4949494949494,0.48543141699166625
SCM,Present Model,1254.3030303030303,0.48430683709142086
SCM,Present Model,1258.111111111111,0.4831820419268546
SCM,Present Model,1261.919191919192,0.4820570365861398
SCM,Present Model,1265.7272727272727,0.48093182617849606
SCM,Present Model,1269.5353535353536,0.4798064158341307
SCM,Present Model,1273.3434343434344,0.47868081070418034
SCM,Present Model,1277.151515151515,0.4775550159606484
SCM,Present Model,1280.9595959595958,0.4764290367963447
SCM,Present Model,1284.7676767676767,0.4753028784248212
SCM,Present Model,1288.5757575757575,0.47417654608030924
SCM,Present Model,1292.3838383838383,0.47305004501765263
SCM,Present Model,1296.1919191919192,0.4719233805122424
SCM,Present Model,1300.0,0.4707965578599491
