Composition,Method,Temperature_K,Thermal_Conductivity_W_mK
UF4,Present Model,1309.0,0.5408486315525857
UF4,Present Model,1310.9292929292928,0.5407229768253969
UF4,Present Model,1312.858585858586,0.5405973220982082
UF4,Present Model,1314.7878787878788,0.5404716673710196
UF4,Present Model,1316.7171717171718,0.5403460126438308
UF4,Present Model,1318.6464646464647,0.5402203579166421
UF4,Present Model,1320.5757575757575,0.5400947031894535
UF4,Present Model,1322.5050505050506,0.5399690484622649
UF4,Present Model,1324.4343434343434,0.5398433937350763
UF4,Present Model,1326.3636363636363,0.5397177390078876
UF4,Present Model,1328.2929292929293,0.5395920842806989
UF4,Present Model,1330.2222222222222,0.5394664295535102
UF4,Present Model,1332.1515151515152,0.5393407748263216
UF4,Present Model,1334.080808080808,0.5392151200991329
UF4,Present Model,1336.010101010101,0.5390894653719441
UF4,Present Model,1337.939393939394,0.5389638106447555
UF4,Present Model,1339.8686868686868,0.5388381559175668
UF4,Present Model,1341.79797979798,0.5387125011903781
UF4,Present Model,1343.7272727272727,0.5385868464631894
UF4,Present Model,1345.6565656565656,0.5384611917360008
UF4,Present Model,1347.5858585858587,0.5383355370088121
UF4,Present Model,1349.5151515151515,0.5382098822816235
UF4,Present Model,1351.4444444444443,0.5380842275544349
UF4,Present Model,1353.3737373737374,0.5379585728272462
UF4,Present Model,1355.3030303030303,0.5378329181000574
UF4,Present Model,1357.2323232323233,0.5377072633728688
UF4,Present Model,1359.1616161616162,0.53758160864568
UF4,Present Model,1361.090909090909,0.5374559539184915
UF4,Present Model,1363.020202020202,0.5373302991913028
UF4,Present Model,1364.949494949495,0.5372046444641141
UF4,Present Model,1366.878787878788,0.5370789897369256
UF4,Present Model,1368.8080808080808,0.5369533350097367
UF4,Present Model,1370.7373737373737,0.5368276802825481
UF4,Present Model,1372.6666666666667,0.5367020255553595
UF4,Present Model,1374.5959595959596,0.5365763708281708
UF4,Present Model,1376.5252525252524,0.5364507161009822
UF4,Present Model,1378.4545454545455,0.5363250613737934
UF4,Present Model,1380.3838383838383,0.5361994066466048
UF4,Present Model,1382.3131313131314,0.5360737519194162
UF4,Present Model,1384.2424242424242,0.5359480971922274
UF4,Present Model,1386.171717171717,0.5358224424650387
UF4,Present Model,1388.1010101010102,0.5356967877378501
UF4,Present Model,1390.030303030303,0.5355711330106614
UF4,Present Model,1391.9595959595958,0.5354454782834728
UF4,Present Model,1393.888888888889,0.535319823556284
UF4,Present Model,1395.8181818181818,0.5351941688290954
UF4,Present Model,1397.7474747474748,0.5350685141019067
UF4,Present Model,1399.6767676767677,0.5349428593747181
UF4,Present Model,1401.6060606060605,0.5348172046475295
UF4,Present Model,1403.5353535353536,0.5346915499203407
UF4,Present Model,1405.4646464646464,0.534565895193152
UF4,Present Model,1407.3939393939395,0.5344402404659634
UF4,Present Model,1409.3232323232323,0.5343145857387748
UF4,Present Model,1411.2525252525252,0.534188931011586
UF4,Present Model,1413.1818181818182,0.5340632762843973
UF4,Present Model,1415.111111111111,0.5339376215572088
UF4,Present Model,1417.0404040404042,0.5338119668300201
UF4,Present Model,1418.969696969697,0.5336863121028312
UF4,Present Model,1420.8989898989898,0.5335606573756427
UF4,Present Model,1422.828282828283,0.533435002648454
UF4,Present Model,1424.7575757575758,0.5333093479212655
UF4,Present Model,1426.6868686868686,0.5331836931940767
UF4,Present Model,1428.6161616161617,0.533058038466888
UF4,Present Model,1430.5454545454545,0.5329323837396993
UF4,Present Model,1432.4747474747476,0.5328067290125107
UF4,Present Model,1434.4040404040404,0.5326810742853221
UF4,Present Model,1436.3333333333333,0.5325554195581332
UF4,Present Model,1438.2626262626263,0.5324297648309446
UF4,Present Model,1440.1919191919192,0.5323041101037559
UF4,Present Model,1442.121212121212,0.5321784553765674
UF4,Present Model,1444.050505050505,0.5320528006493787
UF4,Present Model,1445.979797979798,0.53192714592219
UF4,Present Model,1447.909090909091,0.5318014911950013
UF4,Present Model,1449.8383838383838,0.5316758364678126
UF4,Present Model,1451.7676767676767,0.5315501817406241
UF4,Present Model,1453.6969696969697,0.5314245270134353
UF4,Present Model,1455.6262626262626,0.5312988722862467
UF4,Present Model,1457.5555555555557,0.5311732175590581
UF4,Present Model,1459.4848484848485,0.5310475628318694
UF4,Present Model,1461.4141414141413,0.5309219081046808
UF4,Present Model,1463.3434343434344,0.5307962533774919
UF4,Present Model,1465.2727272727273,0.5306705986503033
UF4,Present Model,1467.2020202020203,0.5305449439231147
UF4,Present Model,1469.1313131313132,0.5304192891959258
UF4,Present Model,1471.060606060606,0.5302936344687372
UF4,Present Model,1472.989898989899,0.5301679797415486
UF4,Present Model,1474.919191919192,0.53004232501436
UF4,Present Model,1476.8484848484848,0.5299166702871713
UF4,Present Model,1478.7777777777778,0.5297910155599826
UF4,Present Model,1480.7070707070707,0.529665360832794
UF4,Present Model,1482.6363636363635,0.5295397061056053
UF4,Present Model,1484.5656565656566,0.5294140513784166
UF4,Present Model,1486.4949494949494,0.529288396651228
UF4,Present Model,1488.4242424242425,0.5291627419240393
UF4,Present Model,1490.3535353535353,0.5290370871968506
UF4,Present Model,1492.2828282828282,0.5289114324696618
UF4,Present Model,1494.2121212121212,0.5287857777424734
UF4,Present Model,1496.141414141414,0.5286601230152846
UF4,Present Model,1498.0707070707072,0.5285344682880958
UF4,Present Model,1500.0,0.5284088135609073
