Salt,Temperatures_K,Thermal_Conductivity_W_mK
0.5454LiF-0.3636NaF-0.091UF4,"923.000000,926.808081,930.616162,934.424242,938.232323,942.040404,945.848485,949.656566,953.464646,957.272727,961.080808,964.888889,968.696970,972.505051,976.313131,980.121212,983.929293,987.737374,991.545455,995.353535,999.161616,1002.969697,1006.777778,1010.585859,1014.393939,1018.202020,1022.010101,1025.818182,1029.626263,1033.434343,1037.242424,1041.050505,1044.858586,1048.666667,1052.474747,1056.282828,1060.090909,1063.898990,1067.707071,1071.515152,1075.323232,1079.131313,1082.939394,1086.747475,1090.555556,1094.363636,1098.171717,1101.979798,1105.787879,1109.595960,1113.404040,1117.212121,1121.020202,1124.828283,1128.636364,1132.444444,1136.252525,1140.060606,1143.868687,1147.676768,1151.484848,1155.292929,1159.101010,1162.909091,1166.717172,1170.525253,1174.333333,1178.141414,1181.949495,1185.757576,1189.565657,1193.373737,1197.181818,1200.989899,1204.797980,1208.606061,1212.414141,1216.222222,1220.030303,1223.838384,1227.646465,1231.454545,1235.262626,1239.070707,1242.878788,1246.686869,1250.494949,1254.303030,1258.111111,1261.919192,1265.727273,1269.535354,1273.343434,1277.151515,1280.959596,1284.767677,1288.575758,1292.383838,1296.191919,1300.000000","0.582148,0.581057,0.579964,0.578871,0.577777,0.576683,0.575589,0.574493,0.573397,0.572301,0.571204,0.570107,0.569009,0.567910,0.566811,0.565711,0.564611,0.563511,0.562409,0.561308,0.560206,0.559103,0.558000,0.556896,0.555792,0.554687,0.553582,0.552476,0.551370,0.550263,0.549156,0.548049,0.546941,0.545832,0.544723,0.543614,0.542504,0.541394,0.540283,0.539172,0.538060,0.536948,0.535836,0.534723,0.533609,0.532496,0.531381,0.530267,0.529152,0.528036,0.526921,0.525805,0.524688,0.523571,0.522454,0.521336,0.520218,0.519100,0.517981,0.516862,0.515743,0.514623,0.513503,0.512382,0.511261,0.510140,0.509019,0.507897,0.506775,0.505652,0.504530,0.503407,0.502284,0.501160,0.500036,0.498912,0.497788,0.496663,0.495538,0.494413,0.493287,0.492161,0.491035,0.489909,0.488783,0.487656,0.486529,0.485402,0.484275,0.483147,0.482019,0.480892,0.479763,0.478635,0.477507,0.476378,0.475249,0.474120,0.472991,0.471861"
0.6LiF-0.4NaF,"930.000000,932.727273,935.454545,938.181818,940.909091,943.636364,946.363636,949.090909,951.818182,954.545455,957.272727,960.000000,962.727273,965.454545,968.181818,970.909091,973.636364,976.363636,979.090909,981.818182,984.545455,987.272727,990.000000,992.727273,995.454545,998.181818,1000.909091,1003.636364,1006.363636,1009.090909,1011.818182,1014.545455,1017.272727,1020.000000,1022.727273,1025.454545,1028.181818,1030.909091,1033.636364,1036.363636,1039.090909,1041.818182,1044.545455,1047.272727,1050.000000,1052.727273,1055.454545,1058.181818,1060.909091,1063.636364,1066.363636,1069.090909,1071.818182,1074.545455,1077.272727,1080.000000,1082.727273,1085.454545,1088.181818,1090.909091,1093.636364,1096.363636,1099.090909,1101.818182,1104.545455,1107.272727,1110.000000,1112.727273,1115.454545,1118.181818,1120.909091,1123.636364,1126.363636,1129.090909,1131.818182,1134.545455,1137.272727,1140.000000,1142.727273,1145.454545,1148.181818,1150.909091,1153.636364,1156.363636,1159.090909,1161.818182,1164.545455,1167.272727,1170.000000,1172.727273,1175.454545,1178.181818,1180.909091,1183.636364,1186.363636,1189.090909,1191.818182,1194.545455,1197.272727,1200.000000","0.721034,0.719876,0.718720,0.717564,0.716409,0.715256,0.714103,0.712951,0.711800,0.710649,0.709500,0.708352,0.707205,0.706058,0.704913,0.703768,0.702624,0.701482,0.700340,0.699199,0.698059,0.696920,0.695782,0.694645,0.693509,0.692373,0.691239,0.690105,0.688973,0.687841,0.686711,0.685581,0.684452,0.683324,0.682197,0.681071,0.679946,0.678822,0.677699,0.676576,0.675455,0.674334,0.673215,0.672096,0.670978,0.669862,0.668746,0.667631,0.666517,0.665404,0.664292,0.663180,0.662070,0.660961,0.659852,0.658745,0.657638,0.656532,0.655428,0.654324,0.653221,0.652119,0.651018,0.649918,0.648819,0.647720,0.646623,0.645527,0.644431,0.643336,0.642243,0.641150,0.640058,0.638967,0.637878,0.636789,0.635700,0.634613,0.633527,0.632442,0.631357,0.630274,0.629191,0.628110,0.627029,0.625949,0.624871,0.623793,0.622716,0.621640,0.620565,0.619490,0.618417,0.617345,0.616273,0.615203,0.614133,0.613065,0.611997,0.610930"
0.5BeF2-0.5LiF,"654.000000,657.494949,660.989899,664.484848,667.979798,671.474747,674.969697,678.464646,681.959596,685.454545,688.949495,692.444444,695.939394,699.434343,702.929293,706.424242,709.919192,713.414141,716.909091,720.404040,723.898990,727.393939,730.888889,734.383838,737.878788,741.373737,744.868687,748.363636,751.858586,755.353535,758.848485,762.343434,765.838384,769.333333,772.828283,776.323232,779.818182,783.313131,786.808081,790.303030,793.797980,797.292929,800.787879,804.282828,807.777778,811.272727,814.767677,818.262626,821.757576,825.252525,828.747475,832.242424,835.737374,839.232323,842.727273,846.222222,849.717172,853.212121,856.707071,860.202020,863.696970,867.191919,870.686869,874.181818,877.676768,881.171717,884.666667,888.161616,891.656566,895.151515,898.646465,902.141414,905.636364,909.131313,912.626263,916.121212,919.616162,923.111111,926.606061,930.101010,933.595960,937.090909,940.585859,944.080808,947.575758,951.070707,954.565657,958.060606,961.555556,965.050505,968.545455,972.040404,975.535354,979.030303,982.525253,986.020202,989.515152,993.010101,996.505051,1000.000000","0.732448,0.731734,0.731019,0.730303,0.729585,0.728867,0.728147,0.727427,0.726705,0.725982,0.725258,0.724532,0.723806,0.723078,0.722350,0.721620,0.720889,0.720157,0.719423,0.718689,0.717953,0.717216,0.716478,0.715739,0.714999,0.714257,0.713514,0.712770,0.712025,0.711279,0.710531,0.709783,0.709033,0.708282,0.707529,0.706776,0.706021,0.705265,0.704507,0.703749,0.702989,0.702228,0.701466,0.700703,0.699938,0.699172,0.698405,0.697636,0.696866,0.696095,0.695323,0.694549,0.693775,0.692998,0.692221,0.691442,0.690662,0.689881,0.689099,0.688315,0.687529,0.686743,0.685955,0.685166,0.684376,0.683584,0.682791,0.681997,0.681201,0.680404,0.679605,0.678806,0.678005,0.677202,0.676399,0.675593,0.674787,0.673979,0.673170,0.672360,0.671548,0.670734,0.669920,0.669104,0.668286,0.667468,0.666647,0.665826,0.665003,0.664179,0.663353,0.662526,0.661697,0.660867,0.660036,0.659203,0.658369,0.657534,0.656697,0.655858"
0.34BeF2-0.66LiF,"713.150000,718.067677,722.985354,727.903030,732.820707,737.738384,742.656061,747.573737,752.491414,757.409091,762.326768,767.244444,772.162121,777.079798,781.997475,786.915152,791.832828,796.750505,801.668182,806.585859,811.503535,816.421212,821.338889,826.256566,831.174242,836.091919,841.009596,845.927273,850.844949,855.762626,860.680303,865.597980,870.515657,875.433333,880.351010,885.268687,890.186364,895.104040,900.021717,904.939394,909.857071,914.774747,919.692424,924.610101,929.527778,934.445455,939.363131,944.280808,949.198485,954.116162,959.033838,963.951515,968.869192,973.786869,978.704545,983.622222,988.539899,993.457576,998.375253,1003.292929,1008.210606,1013.128283,1018.045960,1022.963636,1027.881313,1032.798990,1037.716667,1042.634343,1047.552020,1052.469697,1057.387374,1062.305051,1067.222727,1072.140404,1077.058081,1081.975758,1086.893434,1091.811111,1096.728788,1101.646465,1106.564141,1111.481818,1116.399495,1121.317172,1126.234848,1131.152525,1136.070202,1140.987879,1145.905556,1150.823232,1155.740909,1160.658586,1165.576263,1170.493939,1175.411616,1180.329293,1185.246970,1190.164646,1195.082323,1200.000000","1.126257,1.123198,1.120143,1.117092,1.114045,1.111002,1.107963,1.104928,1.101897,1.098871,1.095848,1.092830,1.089815,1.086805,1.083798,1.080796,1.077798,1.074804,1.071814,1.068828,1.065846,1.062869,1.059895,1.056925,1.053960,1.050998,1.048041,1.045087,1.042138,1.039193,1.036252,1.033315,1.030382,1.027453,1.024528,1.021608,1.018691,1.015778,1.012870,1.009965,1.007065,1.004169,1.001277,0.998388,0.995504,0.992624,0.989748,0.986877,0.984009,0.981145,0.978286,0.975430,0.972579,0.969731,0.966888,0.964049,0.961213,0.958382,0.955555,0.952732,0.949914,0.947099,0.944288,0.941481,0.938679,0.935880,0.933086,0.930296,0.927509,0.924727,0.921949,0.919175,0.916405,0.913639,0.910877,0.908120,0.905366,0.902616,0.899871,0.897129,0.894392,0.891659,0.888930,0.886204,0.883483,0.880766,0.878053,0.875345,0.872640,0.869939,0.867242,0.864550,0.861861,0.859177,0.856497,0.853820,0.851148,0.848480,0.845816,0.843156"
0.5LiCl-0.5KCl,"738.000000,741.656566,745.313131,748.969697,752.626263,756.282828,759.939394,763.595960,767.252525,770.909091,774.565657,778.222222,781.878788,785.535354,789.191919,792.848485,796.505051,800.161616,803.818182,807.474747,811.131313,814.787879,818.444444,822.101010,825.757576,829.414141,833.070707,836.727273,840.383838,844.040404,847.696970,851.353535,855.010101,858.666667,862.323232,865.979798,869.636364,873.292929,876.949495,880.606061,884.262626,887.919192,891.575758,895.232323,898.888889,902.545455,906.202020,909.858586,913.515152,917.171717,920.828283,924.484848,928.141414,931.797980,935.454545,939.111111,942.767677,946.424242,950.080808,953.737374,957.393939,961.050505,964.707071,968.363636,972.020202,975.676768,979.333333,982.989899,986.646465,990.303030,993.959596,997.616162,1001.272727,1004.929293,1008.585859,1012.242424,1015.898990,1019.555556,1023.212121,1026.868687,1030.525253,1034.181818,1037.838384,1041.494949,1045.151515,1048.808081,1052.464646,1056.121212,1059.777778,1063.434343,1067.090909,1070.747475,1074.404040,1078.060606,1081.717172,1085.373737,1089.030303,1092.686869,1096.343434,1100.000000","0.382775,0.381710,0.380646,0.379584,0.378523,0.377464,0.376406,0.375349,0.374294,0.373240,0.372188,0.371137,0.370087,0.369039,0.367992,0.366947,0.365903,0.364860,0.363819,0.362779,0.361741,0.360704,0.359668,0.358634,0.357602,0.356570,0.355540,0.354512,0.353485,0.352459,0.351435,0.350412,0.349390,0.348370,0.347351,0.346334,0.345318,0.344304,0.343291,0.342279,0.341269,0.340260,0.339252,0.338246,0.337242,0.336239,0.335237,0.334236,0.333237,0.332240,0.331243,0.330249,0.329255,0.328263,0.327273,0.326284,0.325296,0.324309,0.323324,0.322341,0.321359,0.320378,0.319399,0.318421,0.317444,0.316469,0.315495,0.314523,0.313552,0.312583,0.311615,0.310648,0.309683,0.308719,0.307756,0.306795,0.305836,0.304877,0.303920,0.302965,0.302011,0.301058,0.300107,0.299157,0.298209,0.297262,0.296316,0.295372,0.294429,0.293488,0.292548,0.291609,0.290672,0.289737,0.288802,0.287869,0.286938,0.286008,0.285079,0.284152"
0.637LiCl-0.363KCl,"665.150000,669.542424,673.934848,678.327273,682.719697,687.112121,691.504545,695.896970,700.289394,704.681818,709.074242,713.466667,717.859091,722.251515,726.643939,731.036364,735.428788,739.821212,744.213636,748.606061,752.998485,757.390909,761.783333,766.175758,770.568182,774.960606,779.353030,783.745455,788.137879,792.530303,796.922727,801.315152,805.707576,810.100000,814.492424,818.884848,823.277273,827.669697,832.062121,836.454545,840.846970,845.239394,849.631818,854.024242,858.416667,862.809091,867.201515,871.593939,875.986364,880.378788,884.771212,889.163636,893.556061,897.948485,902.340909,906.733333,911.125758,915.518182,919.910606,924.303030,928.695455,933.087879,937.480303,941.872727,946.265152,950.657576,955.050000,959.442424,963.834848,968.227273,972.619697,977.012121,981.404545,985.796970,990.189394,994.581818,998.974242,1003.366667,1007.759091,1012.151515,1016.543939,1020.936364,1025.328788,1029.721212,1034.113636,1038.506061,1042.898485,1047.290909,1051.683333,1056.075758,1060.468182,1064.860606,1069.253030,1073.645455,1078.037879,1082.430303,1086.822727,1091.215152,1095.607576,1100.000000","0.432690,0.431303,0.429918,0.428535,0.427154,0.425776,0.424399,0.423025,0.421652,0.420282,0.418914,0.417548,0.416184,0.414822,0.413463,0.412105,0.410750,0.409396,0.408045,0.406696,0.405349,0.404004,0.402661,0.401321,0.399982,0.398646,0.397312,0.395979,0.394649,0.393321,0.391995,0.390672,0.389350,0.388030,0.386713,0.385398,0.384084,0.382773,0.381464,0.380157,0.378853,0.377550,0.376250,0.374951,0.373655,0.372361,0.371068,0.369778,0.368491,0.367205,0.365921,0.364640,0.363360,0.362083,0.360808,0.359535,0.358264,0.356995,0.355728,0.354463,0.353201,0.351940,0.350682,0.349426,0.348172,0.346920,0.345670,0.344422,0.343176,0.341933,0.340691,0.339452,0.338215,0.336980,0.335747,0.334516,0.333287,0.332060,0.330836,0.329613,0.328393,0.327175,0.325958,0.324744,0.323533,0.322323,0.321115,0.319910,0.318706,0.317505,0.316305,0.315108,0.313913,0.312720,0.311530,0.310341,0.309154,0.307970,0.306787,0.305607"
0.5NaCl-0.5KCl,"930.000000,932.727273,935.454545,938.181818,940.909091,943.636364,946.363636,949.090909,951.818182,954.545455,957.272727,960.000000,962.727273,965.454545,968.181818,970.909091,973.636364,976.363636,979.090909,981.818182,984.545455,987.272727,990.000000,992.727273,995.454545,998.181818,1000.909091,1003.636364,1006.363636,1009.090909,1011.818182,1014.545455,1017.272727,1020.000000,1022.727273,1025.454545,1028.181818,1030.909091,1033.636364,1036.363636,1039.090909,1041.818182,1044.545455,1047.272727,1050.000000,1052.727273,1055.454545,1058.181818,1060.909091,1063.636364,1066.363636,1069.090909,1071.818182,1074.545455,1077.272727,1080.000000,1082.727273,1085.454545,1088.181818,1090.909091,1093.636364,1096.363636,1099.090909,1101.818182,1104.545455,1107.272727,1110.000000,1112.727273,1115.454545,1118.181818,1120.909091,1123.636364,1126.363636,1129.090909,1131.818182,1134.545455,1137.272727,1140.000000,1142.727273,1145.454545,1148.181818,1150.909091,1153.636364,1156.363636,1159.090909,1161.818182,1164.545455,1167.272727,1170.000000,1172.727273,1175.454545,1178.181818,1180.909091,1183.636364,1186.363636,1189.090909,1191.818182,1194.545455,1197.272727,1200.000000","0.311450,0.310726,0.310003,0.309280,0.308558,0.307837,0.307117,0.306397,0.305679,0.304961,0.304244,0.303528,0.302813,0.302098,0.301384,0.300671,0.299959,0.299248,0.298538,0.297828,0.297119,0.296411,0.295704,0.294998,0.294292,0.293588,0.292884,0.292181,0.291478,0.290777,0.290076,0.289376,0.288677,0.287979,0.287282,0.286585,0.285890,0.285195,0.284501,0.283807,0.283115,0.282423,0.281732,0.281042,0.280353,0.279665,0.278977,0.278291,0.277605,0.276920,0.276235,0.275552,0.274869,0.274187,0.273506,0.272826,0.272147,0.271468,0.270790,0.270113,0.269437,0.268762,0.268087,0.267414,0.266741,0.266069,0.265398,0.264727,0.264058,0.263389,0.262721,0.262054,0.261387,0.260722,0.260057,0.259393,0.258730,0.258068,0.257407,0.256746,0.256086,0.255427,0.254769,0.254112,0.253455,0.252799,0.252144,0.251490,0.250837,0.250185,0.249533,0.248882,0.248232,0.247583,0.246935,0.246287,0.245640,0.244994,0.244349,0.243705"
0.3CaCl2-0.7LiCl,"771.150000,776.491919,781.833838,787.175758,792.517677,797.859596,803.201515,808.543434,813.885354,819.227273,824.569192,829.911111,835.253030,840.594949,845.936869,851.278788,856.620707,861.962626,867.304545,872.646465,877.988384,883.330303,888.672222,894.014141,899.356061,904.697980,910.039899,915.381818,920.723737,926.065657,931.407576,936.749495,942.091414,947.433333,952.775253,958.117172,963.459091,968.801010,974.142929,979.484848,984.826768,990.168687,995.510606,1000.852525,1006.194444,1011.536364,1016.878283,1022.220202,1027.562121,1032.904040,1038.245960,1043.587879,1048.929798,1054.271717,1059.613636,1064.955556,1070.297475,1075.639394,1080.981313,1086.323232,1091.665152,1097.007071,1102.348990,1107.690909,1113.032828,1118.374747,1123.716667,1129.058586,1134.400505,1139.742424,1145.084343,1150.426263,1155.768182,1161.110101,1166.452020,1171.793939,1177.135859,1182.477778,1187.819697,1193.161616,1198.503535,1203.845455,1209.187374,1214.529293,1219.871212,1225.213131,1230.555051,1235.896970,1241.238889,1246.580808,1251.922727,1257.264646,1262.606566,1267.948485,1273.290404,1278.632323,1283.974242,1289.316162,1294.658081,1300.000000","0.412132,0.411059,0.409985,0.408910,0.407836,0.406761,0.405686,0.404611,0.403535,0.402459,0.401383,0.400307,0.399230,0.398153,0.397076,0.395998,0.394920,0.393842,0.392764,0.391685,0.390607,0.389528,0.388448,0.387369,0.386289,0.385209,0.384129,0.383049,0.381969,0.380888,0.379807,0.378726,0.377645,0.376563,0.375482,0.374400,0.373318,0.372236,0.371154,0.370072,0.368989,0.367906,0.366824,0.365741,0.364658,0.363575,0.362491,0.361408,0.360325,0.359241,0.358157,0.357074,0.355990,0.354906,0.353822,0.352738,0.351654,0.350570,0.349486,0.348402,0.347318,0.346233,0.345149,0.344065,0.342981,0.341896,0.340812,0.339728,0.338644,0.337559,0.336475,0.335391,0.334307,0.333223,0.332139,0.331055,0.329971,0.328888,0.327804,0.326720,0.325637,0.324554,0.323470,0.322387,0.321304,0.320221,0.319138,0.318056,0.316973,0.315891,0.314809,0.313727,0.312645,0.311564,0.310482,0.309401,0.308320,0.307239,0.306159,0.305078"
0.5097CaCl2-0.4903NaCl,"779.150000,784.411111,789.672222,794.933333,800.194444,805.455556,810.716667,815.977778,821.238889,826.500000,831.761111,837.022222,842.283333,847.544444,852.805556,858.066667,863.327778,868.588889,873.850000,879.111111,884.372222,889.633333,894.894444,900.155556,905.416667,910.677778,915.938889,921.200000,926.461111,931.722222,936.983333,942.244444,947.505556,952.766667,958.027778,963.288889,968.550000,973.811111,979.072222,984.333333,989.594444,994.855556,1000.116667,1005.377778,1010.638889,1015.900000,1021.161111,1026.422222,1031.683333,1036.944444,1042.205556,1047.466667,1052.727778,1057.988889,1063.250000,1068.511111,1073.772222,1079.033333,1084.294444,1089.555556,1094.816667,1100.077778,1105.338889,1110.600000,1115.861111,1121.122222,1126.383333,1131.644444,1136.905556,1142.166667,1147.427778,1152.688889,1157.950000,1163.211111,1168.472222,1173.733333,1178.994444,1184.255556,1189.516667,1194.777778,1200.038889,1205.300000,1210.561111,1215.822222,1221.083333,1226.344444,1231.605556,1236.866667,1242.127778,1247.388889,1252.650000,1257.911111,1263.172222,1268.433333,1273.694444,1278.955556,1284.216667,1289.477778,1294.738889,1300.000000","0.434467,0.433506,0.432543,0.431579,0.430613,0.429646,0.428677,0.427707,0.426735,0.425762,0.424787,0.423811,0.422834,0.421854,0.420874,0.419892,0.418908,0.417923,0.416937,0.415949,0.414960,0.413969,0.412976,0.411982,0.410987,0.409990,0.408991,0.407992,0.406990,0.405987,0.404983,0.403977,0.402969,0.401960,0.400950,0.399938,0.398925,0.397910,0.396893,0.395875,0.394856,0.393835,0.392812,0.391788,0.390763,0.389736,0.388708,0.387678,0.386646,0.385613,0.384579,0.383543,0.382505,0.381466,0.380426,0.379384,0.378340,0.377295,0.376249,0.375201,0.374152,0.373101,0.372048,0.370994,0.369939,0.368882,0.367824,0.366764,0.365703,0.364640,0.363576,0.362511,0.361444,0.360375,0.359305,0.358234,0.357161,0.356086,0.355011,0.353934,0.352855,0.351775,0.350694,0.349611,0.348526,0.347441,0.346354,0.345265,0.344175,0.343084,0.341991,0.340897,0.339802,0.338705,0.337607,0.336508,0.335407,0.334305,0.333201,0.332096"
0.282CaCl2-0.718KCl,"921.150000,924.976768,928.803535,932.630303,936.457071,940.283838,944.110606,947.937374,951.764141,955.590909,959.417677,963.244444,967.071212,970.897980,974.724747,978.551515,982.378283,986.205051,990.031818,993.858586,997.685354,1001.512121,1005.338889,1009.165657,1012.992424,1016.819192,1020.645960,1024.472727,1028.299495,1032.126263,1035.953030,1039.779798,1043.606566,1047.433333,1051.260101,1055.086869,1058.913636,1062.740404,1066.567172,1070.393939,1074.220707,1078.047475,1081.874242,1085.701010,1089.527778,1093.354545,1097.181313,1101.008081,1104.834848,1108.661616,1112.488384,1116.315152,1120.141919,1123.968687,1127.795455,1131.622222,1135.448990,1139.275758,1143.102525,1146.929293,1150.756061,1154.582828,1158.409596,1162.236364,1166.063131,1169.889899,1173.716667,1177.543434,1181.370202,1185.196970,1189.023737,1192.850505,1196.677273,1200.504040,1204.330808,1208.157576,1211.984343,1215.811111,1219.637879,1223.464646,1227.291414,1231.118182,1234.944949,1238.771717,1242.598485,1246.425253,1250.252020,1254.078788,1257.905556,1261.732323,1265.559091,1269.385859,1273.212626,1277.039394,1280.866162,1284.692929,1288.519697,1292.346465,1296.173232,1300.000000","0.322761,0.321897,0.321034,0.320171,0.319308,0.318446,0.317584,0.316722,0.315861,0.315000,0.314139,0.313279,0.312419,0.311559,0.310700,0.309841,0.308982,0.308124,0.307266,0.306409,0.305552,0.304695,0.303839,0.302983,0.302128,0.301273,0.300418,0.299564,0.298710,0.297857,0.297004,0.296151,0.295299,0.294447,0.293596,0.292745,0.291895,0.291045,0.290196,0.289347,0.288498,0.287650,0.286802,0.285955,0.285108,0.284262,0.283417,0.282571,0.281727,0.280882,0.280039,0.279195,0.278353,0.277510,0.276669,0.275827,0.274987,0.274147,0.273307,0.272468,0.271629,0.270791,0.269954,0.269117,0.268280,0.267445,0.266609,0.265775,0.264940,0.264107,0.263274,0.262441,0.261610,0.260778,0.259948,0.259118,0.258288,0.257459,0.256631,0.255804,0.254977,0.254150,0.253324,0.252499,0.251675,0.250851,0.250028,0.249205,0.248383,0.247562,0.246741,0.245921,0.245102,0.244283,0.243465,0.242648,0.241831,0.241015,0.240200,0.239386"
